x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030
50,10.968026,7.537959,22.167616,5.867343,2.389094,0,0.3843632,0,0,6.947928,0,0,1.8390517,0.9302375,0,0,0,0,6.6807065,1.4406956,0,0,5.8454847,0,0,7.3744226,0,0,0,7.1748815,0.9652174
51,8.32132,1.7963672,30.836592,0,0,0,1.3801823,0,0,3.9929311,0,0,0,0,0,0,5.6450753,0,0.23342893,0,0,0,0.07121533,0,0,23.456652,7.5263047,5.2360473,14.553711,9.05693,26.424364
52,0,1.4538548,32.610474,10.019594,1.6818609,4.227882,3.8043578,0.69540995,1.2035922,5.0699496,5.421226,4.122589,0,3.5313869,0,0,8.215602,8.493074,26.209997,0,24.266092,0,16.273895,10.746392,0,30.913248,8.184996,31.213129,35.962704,28.253288,29.93755
53,6.0581617,5.878858,29.789404,7.0583825,2.3755958,0,15.385976,1.197693,0,7.4049582,3.16426,0.5789187,0,0.74319947,8.971807,0,14.321961,0.86684436,22.711199,1.1822236,16.642883,0.21710366,6.8146067,14.754867,0,37.64645,10.5243635,24.989233,34.354218,17.120222,13.24505
54,9.670607,11.071321,0,2.508922,10.730951,0,0,1.5864,0,0,0,0,5.2385426,0,3.7189598,9.4731655,0.36453307,3.5379465,13.58284,0,0,0.61843324,0.8072872,0,0,8.826245,18.538275,0,12.0075865,16.394352,0
55,0,0,26.928125,0,13.009167,3.462527,0.908814,12.742449,6.06407,7.8757415,9.087374,0,7.0962543,0,0,6.2813854,5.5242186,7.2425137,8.939019,0,9.740906,4.967671,9.915453,8.885764,0.95682204,41.605656,19.5511,25.073706,31.243383,16.727869,21.796228
56,0.28000438,0,0,0,8.693992,2.8092325,3.4507837,2.717102,0,5.650914,11.556472,0,0,5.7157354,5.275145,8.175181,9.669832,0,2.941087,3.246837,20.003126,15.295698,8.003538,0.611733,7.8411417,15.031529,12.82496,15.1691675,17.17407,22.685564,6.0639834
57,0,0,0,2.6905065,7.4475975,4.5600257,3.3915048,3.1232421,1.4304624,0,17.416224,1.081094,0,0.4716892,3.3233852,8.857114,0.007948418,0,0,4.929119,18.254461,12.658271,12.573222,1.958172,0,16.245178,19.7321,8.921712,7.6805124,8.538814,13.130998
58,0,0,0,0.16611084,4.7832193,3.2199428,7.8443503,0,0,2.5158346,1.101175,1.4115798,0,2.4526784,2.177537,4.885779,0,0,4.925879,0,6.951728,17.518692,6.9215293,3.4246602,0,14.042871,13.731303,4.65117,5.6138196,16.056631,5.507401
59,0.32669836,11.458562,0,0,0,0,0,0,0,3.7059758,0,0,0,0.6793324,0,0,9.099076,0,0,0,0,0,0,0,1.7999232,20.4491,0.326909,0,2.9199934,1.8900045,0
