x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050
943,0,0.27535412,0,0,0,0,11.260949,0,0,0,0,0.81828845,0,0,4.6059556,1.5606632,0,0,0,0.00102815,0,1.0332075,2.1759093,1.0465943,1.6839576,3.08811,0.44224873,11.176286,1.4211746,0,2.1958342,0,0,2.6182377,0,0.53708977,1.4999642,1.1511537,0,2.3461077,0,0.3850805,1.4014505,1.5646749,0.5153615,0.7606126,0.3193226,0,0.45252278,0,0
944,0.37772146,0.38373172,0.0669378,0,0.7051136,0,0,0,0,1.3547245,1.8114781,0.16930164,5.2772985,0,0,0,1.5683426,0,0,0.73951966,4.1141653,0.55122995,0,0,0.6770114,0,0,0,0,0.14124838,0,0,0,1.4568809,4.3263664,0.1442942,1.7432321,0.2947264,0,4.028034,0,0,2.8586612,0,1.8521804,0,0,1.8431702,0,0,0
945,0,0,0,2.4551492,0,5.14102,12.056521,0,0,0,0,1.2341003,0,1.813335,0.72614354,0,0,0,0,0,0.9686921,0,1.3583707,1.0458976,0,3.1710737,0,0,0,0,0,0,0.43072194,0,0,0,0,0,0.79783183,0.99904263,0,0,0,0,0,0,0,0,0,0.6386729,0.12640111
946,0,0,0,0.34425288,0,2.8058853,8.844285,0,5.950708,0,0,0,0,0,0,0,0,4.422193,1.4193058,0,9.486621,1.6852434,3.0569515,9.980527,1.9023024,0,0,18.02892,0,0,1.0547118,0,2.3635113,4.6827717,0,0,0,0,0,9.865788,5.331791,6.5230665,0,0,0,0,0,0,0,0,10.721942
947,0,0,0,0,0,7.4264526,15.34818,0,3.3877044,0,0,0,0,0,6.423789,0,0,0,7.0191593,0,3.4608457,4.708639,2.666292,2.7158399,0.3451017,0,0,8.024964,0.7406089,0,7.096836,5.049136,0.5726427,14.45336,0,0,0,0,0,5.692419,0,0,0,0,0,0,0,0,0,0,0.8755335
948,0,0,0,0,0,0,0,0,3.6003785,0,0,0,0,0,1.0075839,8.936462,0,4.4587145,0,0,6.075993,2.9102914,0,0,0,0,0,10.6782055,0,3.4034421,1.4432456,0.32387877,6.737284,2.6085815,0,0,0,0,3.5921783,0,0,0,1.3731087,0.7229865,0,0,0,0,0,0,2.564489
949,0,0,0,0,0,4.5146484,22.686464,0,0,0,0,0,0,0,0,0.5515395,0,2.1297395,0.7898739,0,0,3.7583263,1.9991497,9.598433,1.0856757,0.058147572,0,0,0,5.743066,0,0.61435086,0.96206725,13.566144,0,0,0,0,0,7.945258,2.5986729,2.624019,0,0,0,0,0,0,0,0,0.4049724
950,1.1156381,5.235537,1.5060027,0,1.7460452,0,4.57836,0,0,1.9576498,0,2.0706317,0,0,0,0,0,0,1.162948,0.81098354,4.819471,0,0,0,0,0.56019104,1.3042079,0,0,0,0,1.6324298,0,0,0,0.5260114,0,0,0.43165648,0,0,0,5.726131,0,0.9980563,1.822015,0.68713546,6.868599,1.5981203,0,0
951,0.19694418,0,0,0.9715575,2.6327906,0,0,0.76816213,0,0.42804515,2.4465425,0,0,0,0,0,1.5117333,0,0,0.8593129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8788971,0,1.0216354,0.47272506,0.8639311,0,0,0,0,0,0,0,0,0,1.315465
952,0,0,0,4.840216,0,6.748461,0,0,1.4857438,0,0,0,0,2.6683378,6.1244392,0,0,0,0.23878938,0,0,0.058990087,0,0,0,0,0,0,2.083109,0,3.3039324,0.3979305,7.362391,5.1956816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.912476,0,0.36082137
