x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038
435,0.46185857,0,0,0,2.5247223,0,0.19905289,2.8814793,2.190624,0,2.1791215,0,0,0,0,2.0009408,0,1.1687998,0,0,0.18205854,0,0,0,0,1.8432482,1.3688004,0.29650098,0,0,1.0275671,2.0320144,1.4315592,0.40630054,0.094884284,0,1.631734,0,1.4311925
436,0,5.5390315,0,0,0,0,0,0,0,1.4139464,0,0,1.8506423,0,0.64989036,1.6670016,0.9552231,0,0,0,0,1.332704,0,0.60002774,0.14699149,0,2.1399958,0,0.9996462,0,0,0,0.5990863,0,0,1.8374346,0,0,0
437,1.4373779,0.6180149,0,0.2558729,0,0,0,0.4184868,0,0,2.0380294,0,0,1.8288461,0,0,0,0,0.24057999,1.9170448,0,0.999571,0.6024414,1.3015124,0,2.6461775,0,1.5303352,1.7380174,0,0,0,0,0,1.2708426,0,0,0,0
438,0,5.3588834,5.3232565,0,0,0,1.528625,0,0,2.1667879,0,1.8770533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.668222,0,0,0.01837625,0.117996804,1.2690606,0,0,0,0,0,0,0
439,0.977169,0,0,0,1.3143903,0,0,0,0,0.92466515,0,0,0,1.8696332,0.88084143,0,0,0,0.3354307,0,2.6326976,0,0,0,0,0,1.2572551,0,0,0.17152527,0,0,1.4477223,0.8574112,0.50895834,0,0,0,0
440,0,2.4305756,3.0788558,0,0,0.7483162,0,0,2.2357497,0,3.4707134,0,5.9704638,0,0,0,1.2230605,0,2.1440055,0.92756027,0,2.1932554,1.2430193,1.328586,0.95736957,1.1633064,0,2.2319221,3.5712502,0,0,0,0,0.008115588,1.02282,0.59807473,0,2.71525,0
441,0,4.353505,0,0.5467833,0,0,0,0,0,0,0,0,0,0,0,1.9107453,2.2957613,1.4671003,0,0,0,0,0.7465179,0,1.6025068,0,0,0,0,0,1.168791,0,1.3314284,0.8009047,0.15165633,0,0,0,1.0773405
442,0,0.3965655,0.11488593,2.1927953,1.0307912,0,0.64014274,0,0,0,1.4269294,0.730585,0,0,2.1977813,0,0,0.09310986,1.8745855,0.23919985,0.30190548,1.4247079,1.7825438,0,0,0.82968664,0,0.9212503,0,0.7309149,0,1.773389,0.23280296,0,0.34663868,0.2645199,0,1.3222824,0.03280096
443,1.4266385,0,0,0,0,0,0,0,0,0.57738435,0,0,5.434096,4.216791,1.0211121,0,0,0.25658673,0,1.2477034,2.0575638,0,1.3622421,1.0677023,0.15512675,0,0,0.5306134,0,0,0,0,0.16253984,0.10917083,0,0,0,0,0
444,0,5.265786,0,0,0,0,1.1892115,0,0,1.2694198,0,0,0.035784833,2.8029497,0.4834906,0,1.4779195,1.6877187,0,0.9568949,0,0.73703575,3.3226128,0.4997405,0.30506733,0.55348176,2.461006,0,2.420847,0.047596738,0.42746767,2.0192738,0,0,1.350498,1.6061114,0,0,0
445,0.2346527,0,0,1.0226673,2.935,0,1.3815805,2.58651,0,0,0,0,0.98328096,3.9857392,0.67336935,0,0,0,0.47539154,0,0,0.43543255,0,0,0.3167336,0,0.8936227,2.895263,2.0701435,1.750776,1.9451073,0,0.8180262,0,2.41086,1.5764667,4.3873367,0,1.4191312
446,1.761509,7.356455,0,0,0.09091384,0,0.9253066,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0512277,0,2.9598186,0.31093222,0,0,0,0.17193022,0,0,0,0.19766101,1.1771338,0,1.2336471,0,0.16762961,0,0
