x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024
92,0.79612464,1.9853493,0,0,0.7016976,0.48132277,0.5620881,0,0,0,0,0,0,0,1.3183367,6.073778,1.1454897,2.1816807,0,0.054999903,2.2620733,0,5.191272,0,3.035327
93,0,0.4270758,0.9861901,1.2246816,0,0.05655651,0,0,0,1.0613265,2.110899,0,1.6655927,0,0,7.72423,0,2.8000681,4.2648044,0.43716112,2.1271594,1.7072248,1.17705,0.58669525,10.89061
94,1.747439,0,2.7527626,0.6242986,0.05796514,0,2.4963348,3.7788084,0,0,0,0,0,0.8050362,1.9230433,17.531418,0,0,0,1.533593,3.8853843,0.56939715,1.8985233,1.0323733,0
95,0,0,0,0,0.31541824,0,0,0,0,0,0,0.77212,0.17812115,0.44118598,0.36840773,16.643923,0.884527,0,0.70397276,0,0,0,5.9038715,0,7.859274
96,0,0,0,0,0.6938996,5.194229,0.9432141,0.46851978,0.28049675,0,0,0,0,0,0,3.0206165,0.6746263,0,0,0,0.10030672,0,2.5199594,0,0
97,0,0,0,0,0,4.042816,0.49367157,0,1.299172,0,0,0,0.96916234,1.8775462,0.7464088,6.380669,0,0,0,0,3.0190983,0,0,0,0
98,0,0,0,0.21919769,0,0,0,0,0,0.17092147,0,0,0.92694217,0,0.3543029,4.9870486,0,0,0,0,0,0,0,0,2.18312
99,0.32337642,0,0,0,2.149993,0,1.2592838,1.4315774,0,0.23634802,0,0,0,0,1.2788136,4.5012503,0,2.3163946,1.8354139,0,3.3338501,0,0,1.6469914,0
100,0,0,0,1.3906441,0.51149434,0,0,0.42666143,1.2554091,0,1.2182832,0,0.2782821,0,0.21821286,0.31975734,0,0,1.9714537,0,4.3905544,0.08920637,0,0.9318746,7.447441
101,0,0,0.051447697,0.13295175,0,0.02864245,0,1.2386891,0.1771304,0,1.0571072,0.33817708,0.43386364,0,0.44935462,0,0.06401726,0.72698444,2.9466245,0,1.8963779,0,0,0.5511041,2.2121341
102,0,0,0,0,0.62780046,3.0488381,0,3.271195,0,0,0,1.3789006,0,0.5459584,0.49313977,4.247822,0,2.9963572,0,1.3282658,3.5626714,0,2.1826205,1.8691334,0
