x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021
60,0,0,0,2.7155213,0,2.0723684,0.05464648,0,0,0,0,0.3701384,0,1.6131335,0,0,0,0,0,0,0.16058525,0.37545443
61,0,0,0,0.39746243,0,0,3.0110698,0,0,0.85633,0,0,0,0.7019309,2.4701283,0.3421426,0,0,0,0,0,0
62,0,0,2.9739485,0,0,4.384278,1.8577095,0,0,0,0,6.7279863,0,0,0,1.6320399,1.5226016,4.240342,0,0,0.2435681,0
63,0.18160878,0,4.038536,0,0,3.7136416,0,0,0,0,0,0.7475292,0,0,0,3.3573225,0,1.6972246,0,0,0,0.20018762
64,0,0,3.7134597,1.498589,0,0,0,0,0.0953944,0,0.16289432,0,0,0,0,0,0,0,0,0,0,0
65,0.15838142,0,0,0,2.988686,0,0,0,0,3.999781,0,0,0.68023485,0,0,0,2.9100382,0,0,0,0,0.5153536
66,0,0,5.399436,2.1790812,0,0,0,0,0,0,0,0,0,0,2.257706,0,2.3210008,0,0.3960555,0,4.2618675,0.5605297
67,0,0,4.224307,1.7051431,1.3841318,0,0.016823126,1.2722381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0.22670656,0,0,2.5595548,0,0,1.2148986,0,4.764103,0,0,0,0,1.8914043,2.135506,0,0.81157595,0,0.16593246,5.690134,3.2918646,1.561393
69,0,3.1698925,0,0,0,0,2.626793,2.3727489,0,0.213378,0,1.206155,8.434418,0,0,1.8985856,0,0,0,5.719911,0,0
70,0,2.1878803,0,0,0,0.5964412,0,1.3233764,0,0.8581741,0,0,0,0,0.6051541,1.3391461,0,0,0,0,2.343553,0
71,0.25640205,0,0,0,0,0.34413067,0,0.9277736,1.3154497,0,1.3700145,0,1.991084,0.09464231,7.746773,0.7925534,2.1439288,0,0,0,0,1.023367
72,0,0.35762176,0,0,0,0,0,0,1.6609721,0,0,0.43867457,0,0,0,0,0,0,0,1.9495962,3.4619334,1.3889955
73,0.740422,0,0,5.909266,0.89496213,0.1147426,1.0188439,0.6053196,0,0.3390971,0.93876696,4.7925863,0,3.5337093,0,0,0,0,4.15256,6.4154196,0,0
74,0,2.8650377,0,0,0,0,0.13685708,0.48381478,0,4.691587,0,0,0.04038826,0.35224363,0,0,1.8734978,0,2.1562953,0,0,0.27110815
75,0.46152493,0,0,0,0,0,0,0,5.38319,0,3.4182131,0,0,0.001304094,0,0,2.072712,3.673567,0.3723448,0,0,0
76,0,0,3.0165832,0,0,3.1288838,0,0,1.1553061,0,0,0,1.4571059,0,0,0.1279208,0.14733757,3.5034835,5.6136055,12.15848,2.538271,0.7095399
77,0,0,0,1.9110246,0,0,0,3.2072263,0,0,2.479221,1.4136131,0.72595197,2.461326,0,0,0,0,4.4822125,1.202079,4.171389,0.7986124
78,0.11600011,0.65889823,3.1982722,0,0,0,0.8124031,0,0,0,0.751885,2.5918903,2.7976813,0,0,0.2935323,2.3629224,0,0.015483923,0,0,0
79,0.26987696,3.2423198,0,0.43910056,0,0,0,0,0,0,0,0,0,0,3.2178273,0,3.3621082,3.7391212,0,3.3771398,0.23110628,1.0166042
80,0,0,0.14418854,2.3047125,1.0039556,1.1181996,1.5325369,0,0,0.7043717,0.31610084,0,1.4941576,0,3.0581493,0,0,0.36792576,2.256992,0,0,0
81,0.49163884,0,8.499674,3.771748,0.51470387,0,0,0,1.1638578,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0.1812414,0,0,0,0,0,0,0.261122,0,0.79447055,1.0021825,0,0,0,0,0,0,0,3.7553017,0,0,0.797851
83,0,0,0.6079702,0,1.0435458,0,0,0,0,0.63987875,1.0619578,0,0.86215746,0,0.87091005,0.3721275,0.74250746,2.270745,8.002284,2.7167926,0,0.17603482
84,0.033401262,0,0,3.400389,0.4649315,0,0,1.8024718,0,0,0,0,0,0.11874701,0,0,0,0,1.0808734,0,0,1.4239166
85,0,0,3.4433,3.515682,0,0,0,0,1.2053983,0.4703394,0,0,0,0.3508304,0.42369887,0,0,0,0,0,1.1886952,0
86,1.0864012,0.26345545,0,0,0,10.255385,0,0,0,0,0,0.8031991,0,0,0,0,0,0,0,7.946946,1.6347455,1.1267604
87,0.86269426,0,0.3993249,0,0,2.2150495,0,0,0,0.37233287,1.2201629,3.018646,0,1.5273633,6.470048,0,0,0,0,1.5960444,0,0
88,0,2.4240353,0,0,0.37159547,0,1.2728689,0.7558589,5.8323092,1.0967368,2.1315181,0,0.07782355,1.1129861,3.4117448,0,0,0,0,0,0,0.46511924
89,0,2.6060636,0,0,1.6972381,0,0.10345476,0.5077356,0,0.00458354,1.4307113,0,0,0,0,0.14099485,2.433343,0,0,7.021387,0,0.1369266
90,0.76920295,0,0,0,2.1545384,4.9865746,4.2486663,0,0,2.4155781,0,0,5.818375,0.10757037,6.9177036,1.8346335,0,0.35922056,5.339362,0,0,0.123443566
91,0,0,1.7600149,0,0.68992525,0,0,0,0,0,0.04776946,0,0.10247597,0.14315042,0.71063507,0,3.1798248,0,1.3578448,6.4802704,2.3468494,0.35561037
92,0,0,1.7835482,0.048319727,0.7411639,0,0,0,0,1.632232,0.21643972,2.7138484,0,0,0,0.98269844,0,0.05620827,3.2235157,0,0.47882017,0
93,0,0.039120723,0,1.530933,0,0,0,2.4810214,0,0,0,0.7562427,0,0,2.6097505,0,1.1260693,0,0,0.81868255,0,0
94,0,0,0,0,1.6511191,0,0,0,0,0,0,0,0,0,0.49857032,0.31376308,0,0.3989281,0.30175006,0,2.653553,0
95,0,0.9914936,0,0.2961744,0,0,0.23814659,0,1.3274406,0,0,2.8122852,0,0,0.24423034,0.31205603,0,0,2.7049823,0,0,0
96,0.518637,0,1.7364957,0,1.0548186,1.7291896,0.3666735,0,2.0481057,0.24113996,0,0,0.6369746,0,0.50074375,0,0,0,0,0,0,0
97,0,0,2.4310615,0,0,3.3961544,0,0,0,2.348793,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,4.478669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,3.730859,3.3057683,0,0,0,0,0,0,0.2629216,0,0,5.391573,0,0,0,0,1.5450066,3.3412147,0,2.271494,1.448825
100,0,0,0,0,0,0,0,2.1720588,1.3279773,0,0,0,2.976468,0,4.323693,0,0.00543217,0.4945134,7.6360183,1.3962402,0,0.30365118
101,0,0,2.1265059,5.5647664,0,0,0,0.8232654,0,0,0,0,0.8362485,0,0,0,2.863982,0,7.644356,0,0,0
102,0,0,0,0,0.66879964,2.631249,4.7108874,0,0,0,0.75968975,0,0,1.8954352,0,1.7902844,0.9051721,2.2928813,0,0,1.0854319,0
103,0.047793765,0,0,2.8216345,0.3976634,1.4836344,2.956871,1.7206944,2.0879023,0,0,3.3723793,0.19329867,1.1743171,0,0,0.6530815,4.113304,0,0,3.6358669,0
104,0,1.3919044,0,0,0,0,5.301817,1.0312445,0,0,1.343589,2.580751,4.965988,0,1.2314714,0.63279706,0,1.1695933,1.8715678,3.17619,0,0
