x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023
56,0,0,0,0,0,0,0,0,0,1.4273576,0.9531513,0,0,0.36724952,1.3238134,0,2.0878847,0,0,0,1.1383312,0,16.395266,2.0402138
57,3.308941,0,0,0,0,0,0.091119446,0,2.006354,3.9994392,0,11.067051,3.3602161,0,0,0,0,1.024422,0,0,1.1716264,0,0,1.0658785
58,0,0,0,0,0,0,0,3.1769717,0.57215345,0,0.75707924,1.5660088,0,0,0,0,0,2.4138498,0,0,0,0,0,5.034281
59,0.9663011,0.6222133,0,0.75176954,0,6.7654886,0,2.039964,0,2.556344,0,5.607742,1.515387,0,0,0,0,0.60656,0.39040673,0,0,0,1.4149009,4.5198565
60,2.8480163,0.97682256,0.7497422,8.131307,0,0,0.7378856,2.4468727,4.3295064,0,0,5.718382,0,0,0,0,0,1.2066728,0,1.3457628,0,0,7.5030804,5.4376335
61,0,0,0,0,0,0,0,0.3028996,0,0,0,2.1882439,0,0.82049245,0,0,1.6802465,0,0,0,0,0,0,3.7973628
62,0,0,0,0,1.2052313,6.6382966,0,0,0.61190194,0.23438218,0,2.7260656,0,2.138999,0,0.18255162,0,0,1.8118397,0,0,0.50577635,8.499775,0
63,0,0,0.9836528,1.4130523,0,0,0,0,0,0,0.023162939,0,0.8895655,0,6.849051,0,0,1.091572,0,2.9771233,0,4.7525005,0,0
64,0.00294111,2.4144611,0,0.75740427,2.0720656,0,0,0,0.15835054,0,1.0321854,0,1.207907,2.5758238,0,0,0.12199237,0.8077331,0.76759654,0,0,0,0.4142564,0
65,0,2.2152832,0,0,0,0,0,0,0,1.3099397,0,3.8534048,0,2.7802258,0,0,0,0,0,0,0.23775586,0,0,4.017248
66,0,0,0,0.9901296,0,0,0,0,0,0.27331498,0,0,1.7954667,0,1.886667,0,4.7415595,0.14511766,0.37093267,1.5167717,0,0.06054835,0,1.6435829
67,0,2.3302176,0,4.2366366,0,0,0.81092834,0,2.6844873,0,0,3.2388732,0,0,0.21340483,0,0,0,0,0,0,0,0,0
68,0,0,3.6717043,0.9076112,0.5194371,0.79970485,2.9497988,0.6873904,1.722542,2.948259,0,0,0,0,0,3.457086,2.271289,0,2.9496021,0.9289755,0,0.683078,0,0
69,0,6.8435907,0.9074983,2.6914937,0,4.7074842,2.240475,0.6026128,0.983934,0,2.2239232,0.28427604,1.4998342,2.045657,0,0,0,0,2.1105487,0,0,2.5814133,0,0
70,3.196316,0,0,0,3.9324942,0,0,1.4979328,3.3286624,0,0,0.5310547,5.738154,0,3.247504,0.76439404,3.3446383,0,0,0,0,1.2280015,4.946277,4.3743343
71,2.2738974,0,0,2.8411536,1.4574721,3.1517298,0,0,0.61687016,3.8310392,5.215467,6.385228,0.30017233,0,0,5.6776867,0,0,0,2.80449,0,0,1.7223676,0
72,0,0,4.7297735,0.84533936,1.6928123,1.1103702,0,0,0.23690793,0,0,0,0,0,0,0,0,0,2.1223185,0,0,3.9171124,0,0
73,0,1.3677387,0,3.1700914,0,0,0.56616306,0,0,0,2.2904384,0,0,0.4210032,1.7530928,5.429143,2.6936893,0,2.6891565,0,0.07563083,1.7345196,0.21492504,0
74,2.1057057,0,0,0,0,0,0,2.1461754,2.831044,0,0,0,2.8708594,0,0,0,0,3.066818,2.3344178,3.638209,3.059904,1.1540059,0,0
75,3.8999782,0,1.3766056,2.0612018,0,0,1.1029345,0,0,1.1556163,0,3.7188647,0,3.903842,0.498487,0,0,0.42961076,0,0,1.0210366,0,6.6066384,0
76,0,3.1846206,0.1654934,0.36681998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7582778,0,0,0,0,0
77,0,4.631323,1.047476,0,0,2.6600347,0,0.014665813,0.88348097,0.5241755,0,1.1570811,0,0.89269876,0,0,0,1.403444,0.5750603,3.7614112,2.134743,0,5.2459774,4.921149
78,0,6.1995087,0,2.3475504,0,0,0.7988521,0,0,0,0,0,0,0.56199396,2.9229724,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,2.9327636,0,4.0783677,0,0.5498718,0.13360572,0.6403241,0,0,0,0,0,0,0,0,0
80,0,1.397808,0,0,0,0,2.7855172,1.263064,0,0,0,0,0.6916994,0,0,0,0,0.7805923,0,0.26459208,0,1.5170279,0,5.460444
81,2.9025114,0,0,0,0,0,2.194712,0,0,0,0,0,0.83286303,0,5.9131637,0,0,0,0,0.58862257,0,2.2575321,3.9893951,0
82,3.064036,1.1291347,1.0525726,0,0,2.9857776,0,0,0,0.6287306,0,0,0,0,0.8134106,0.591641,0,2.1816049,0,0.34146482,0,0,0,3.0599566
