x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049
394,2.4656765,0,0,4.731385,1.4294678,5.886049,0,0,2.029884,0,0,7.5764246,0,0,0,0,0,8.026909,0.23341694,0,3.1077313,0,0,0,0,0,4.494987,0,0.8772471,1.3821205,2.6369188,0,0,8.867544,3.5866039,3.8810177,0,0.9133735,0,2.2953482,0,0,0,0,0,0.1733565,1.3453923,0,1.4339554,3.0737984
395,1.2364827,0,0.07362598,0,0,0,0.9374918,0,2.7278767,0,2.554592,0,0,0,0,1.728865,0.14375137,0,0,0,2.9252582,5.464141,6.3140864,0,13.225518,1.1949704,0,0,0.7704746,0.87801653,0,1.7538517,4.732806,0,0,1.3616613,0,9.205732,0,0,0,4.558161,0,1.6474191,0.60569525,0,5.538941,4.3755946,0.4682492,1.6995183
396,0.29957715,0,3.39519,0,1.0940524,0,0,0,0,0,1.3494316,7.1265883,5.320292,0,0,0,0,4.025201,0.87462693,0,5.117339,0,0,12.803415,1.5357052,7.911415,4.591883,0,0,0,0,0,5.26078,0,0,0,0,0,0,0,0,0,0,4.088749,0,0,0.21677439,0,0,0.2764961
397,1.1301388,1.4121481,0.37222984,0,0.72005194,0,0,0,3.755615,0,3.3487203,7.3340936,5.2774997,4.0329237,3.0338674,0,0,2.0275137,3.9442894,0,1.7981617,0,0,2.5053341,0,0,0,0.03720082,0.7602349,0,0,0,0,7.3390493,0,0,4.279977,0,3.25115,3.14962,0,0.8332466,3.0927916,1.2826294,0,14.911678,0,8.807055,0,0
398,2.7969608,0,0,0,1.8716143,0,0.33349612,0,0,0.48762795,6.2207284,0,0,1.5403522,0,6.3954086,2.1737788,0,0.03446771,0,2.1637325,0,1.7367321,1.9692162,1.2997113,0,1.4845614,0,0,0.38749444,5.6671324,0,7.987172,0,0.365044,0,0,0,0,0,0,0,10.816635,3.1384802,4.1529016,3.8106005,0,0,1.1620165,0
399,4.735299,0.4131729,0,2.4500463,0.6479142,0,0,0,0,0,0,0,4.949532,0,3.7979722,3.827888,0.25388408,0,0.15508997,0,0,3.680532,0,4.9787226,2.2572002,0,3.3728049,1.0279377,1.0474328,0,0,0,0,6.1020885,0,0,0,0,0,2.7009885,0,0,4.4284897,0,0,0,0,0,4.303773,0.36446342
400,1.4511287,0,0,1.471182,1.0327084,0,0,0.47493565,0.2240239,0.5371936,2.224749,0.37716952,1.6954378,0,4.9179516,4.2358427,0,4.9333596,0,0,10.055025,6.5617614,0,0,0,5.312579,0,1.6726061,0.5311764,0,0,0,0,5.766203,0,0.9613231,7.0164275,0,1.6537197,1.8141962,0,5.6481986,0,0,0,0,0,0,0,1.2888821
401,0,2.6020024,0,0,0,0,0,0,0,0,7.263478,2.147593,1.1450418,3.9153154,2.167403,5.106244,0,0,0,0,0,0,0,7.7221494,10.605934,0,0,0,0.9548862,2.4632006,1.3279455,0,0.65462506,0.6368601,0,2.7982829,0,0,3.3547552,0,0,0.79777926,0,2.9748182,1.6687728,0,2.3160834,6.155246,0,2.828375
402,0,1.2326766,0,0,0,8.141395,0,0.39679107,0,2.7630994,1.797603,15.909533,2.40757,0,0,0,0,0,2.2245321,0,9.884664,0.89687085,6.4642925,0,0,5.709562,0,0,0,0,0,0,0,8.433797,0,0,1.3638656,2.934096,0,1.1862161,0.8527511,0,0,0.0885275,0,5.2498226,0.9431238,0,0,0
403,0,1.6734471,0,1.0048194,3.128714,0,0,0,0,2.5461493,0,2.054199,0,0.7416726,0,3.966018,0,0,0,9.918333,0,0,5.2436895,0,0,0,0,0,2.0517993,1.1534032,0,19.483603,2.758567,0,0,0,0,0,0,1.2648554,0.8689441,0,0,0,0,0,0,0,0,0
404,6.21305,0,0,0,3.8496869,0,0,0,0,0,0,0,0,3.4946194,0,0,0,5.326856,0,0,0,0,0,9.162654,0,0,0,0,0,4.4059205,0,0,0,0,0,0,0,1.740551,0,0,0,0.9231162,0,0,0,0,0,0,0,0
405,0,0.98644155,0,0,0,0,0,0.6242883,0,2.6031892,0,0,0,0,0,0,3.878416,0,0,0,4.238749,8.586257,0,0,10.914126,0,0,0.96344084,0,0,0.161214,11.869606,1.7218966,0,0,0,0,0,0,1.6716216,0,2.721296,0,0,1.8131418,1.6132579,0,5.709262,1.0453997,0.23568222
406,0,1.8628777,0,1.278237,0,0,0.7395075,0,2.8772542,6.269286,0,0,0,0,0,0,7.538258,0,0,35.85147,0,4.5016484,14.727704,0,10.998852,0,0,3.7291057,3.8984044,0,0,34.093746,19.876678,0,9.600822,0,14.112672,5.981807,2.082518,0.5536773,2.858914,0,7.6113405,0,18.038397,0,0,0,0,0
407,0,0,0,0,0,6.098485,3.2639813,0,0.7152472,6.3775826,0,0,0,0,3.1006525,0,3.8309069,0,0,4.9894776,0,2.1101446,0,0,15.812306,0,0,5.1673284,0,0,0.42551526,5.338118,6.4334335,0,0,1.1939346,0,0,0,3.0509474,0,2.251293,0,0,0,0,0,0,0.46712202,5.5876074
408,0,0,3.0553267,0,0,0,3.0027058,0,3.5669773,0,0,2.3634481,0,0,1.4689696,0,0,0.59477025,0,0,0,7.1613593,0.08762363,3.170968,0,8.947389,0,0,3.036247,0,2.0682538,0,0,0,0.3664814,2.6236887,0,0,2.9198787,0,0,0,0,1.6091212,0,0,0.77219635,0,3.7603118,0
409,0,0,2.3729682,0,1.3970413,0,0,0.5176252,0,1.4902048,0,16.759447,0.5035567,0.3316698,0.07420199,0,0,0,1.0309652,0,7.6511927,0,0,3.7727342,0,8.729662,5.1278067,1.1072798,0,1.2981955,0,0,0,0,0,1.477527,1.3052037,3.3327527,0,0,0,3.0526748,2.8867426,0,0,9.252373,0,0,0,1.7078074
410,0,0,1.5458099,0,2.5894442,0,0,0.7573182,0,0,2.9402266,9.755207,2.550611,0,0,0,0,5.325242,0.69499403,0,0,6.5181627,0,0,0,4.494823,0,0.15786578,0.56873226,2.917018,0,0,11.988481,2.9548101,0,0,0,0,0,0.48032072,0.98504394,2.4965613,8.270036,0.9106055,0,0,0,0,0,1.8348064
411,2.7269433,0.769423,0,0.40297422,2.3473613,0,4.552376,0,0,0,1.0281857,6.232043,3.0491977,3.1502657,1.9604115,0.33807364,0,1.1778972,5.5427246,0,0,0,0,17.346346,5.155622,0,1.7444453,0,0,0,0.8599492,0,2.5819426,19.470512,1.3152536,0.55776817,0,2.9670274,0,0,0,2.6203468,0,2.6611614,2.5277402,7.126246,3.1623094,8.9877205,0.048351366,0.92073816
412,0,0,0,0,0,0.61923623,0,0,0,0,7.905417,6.9368405,2.8262727,3.5313473,1.9881392,0,0,1.2441231,1.3644662,0,6.430527,0,0,0.1276395,5.038953,0.5768548,5.263601,0,0.10688058,0.035223354,0,0,0,0,0,0,0,0,5.843418,1.8130792,0,0.3524275,0,1.0119944,0,0,0,0,0,1.7821517
413,4.2679696,0,0,0,7.7223487,3.4548912,0,2.1433907,0.7293636,0,2.1140544,4.784766,6.074817,0,0,16.271809,0,14.107089,0.14264797,0,0,0,0,0,0,8.022942,2.9443364,0,0.0511332,0.1437767,0,0,0,18.106363,0,0,0,0,0,0,0.8441374,0.93945956,0,1.0370718,0,7.216894,0.5107341,0,0.13099477,0
414,11.930713,0,0,0,2.986683,0,0,0.06403023,0,0,0.21861647,5.134466,3.3100986,3.4208558,0,0,0,3.4280074,0.8635811,0,1.2319919,0,0,14.298191,0,0,1.2918522,0,0,1.1585231,0,0,0,13.833267,0,0,0,0,0,0,0,1.4941175,3.8833895,0,0,8.161409,3.301489,15.742352,0,4.219306
415,0,0,5.3813453,0.41942787,0.46007714,0,2.04091,0.7273067,2.7045226,0,0,6.0552053,5.7309003,3.327817,0,13.1657715,0,7.402249,0,0,2.4826925,0,1.84342,21.186556,0,0,0.18356094,0,0,4.8639803,0.88874006,0,0,10.730199,0,0,0,0,1.4401861,0.808214,0,0,0,0.24750859,0,0,0,8.044559,0,1.8518403
416,1.5313206,0,1.7857409,0,7.514295,3.6445596,0,0.25187278,0,0,0,18.457472,2.9176543,1.846862,0,3.5161145,0,10.101332,0,0,0,0,0.031701345,0,0,7.6995807,4.7808566,0,0,0,0,0,0,4.4425354,0,0,0,0,3.9087644,1.9139354,0,0,0,0,0,1.79845,4.9104795,0,0,0
417,4.5112753,0,1.1314411,0,1.1008697,0,0,2.285067,0,0,1.3774248,8.894401,4.282613,0,4.2958727,10.8256035,0,0.2970866,0,0,0,0,0,11.207613,0,0,0.9498051,0,0,1.2437392,1.2395281,0,0,5.501997,1.2629523,0,6.0786777,0,0,0,0,0,0,0,0,5.6528745,2.07135,1.7208135,0,2.8197181
418,0,0,0.008215618,0.52965385,0,5.8751493,0,0,0,0,2.1845129,3.320253,5.912751,2.2596693,0,6.941665,0,3.2498503,0,0,0,0,0.3265319,9.418949,0,15.914188,0,0.8403822,0,0,0,0,0,7.743332,0,0,0,0,0,0,0,0,0,0,0,0,3.4642632,9.91234,0,0
419,1.9755534,2.4724154,0,0,2.7046182,0,0,0.52108645,0,0,1.1835269,0,0,0,0,5.9598255,0,10.176159,0,0,0.21467933,0,0.9973908,2.7643638,0,0,1.9411386,0,0,2.6092494,0,0,0,0,0,0,0,0,0,0.13924746,0,5.0907016,0,0,0,0,5.9641657,0,0,0
420,0,0,0,0,0,0,0,0.45940486,1.665355,0,0,20.497866,0,2.631176,4.4536586,0,0,0,2.362641,0,0,2.927206,0,8.41217,0,0,0,0,0,0,0.13364309,0,0,14.689977,0,0.04875963,0.13659237,0,4.82853,1.0741203,1.9095366,4.314009,0,3.4827704,0,0.018085329,0,0,0,4.783538
421,0.76610523,0,3.0158813,0,4.9088354,0,9.074034,0.4624542,2.3814898,0,1.7245222,0.78760475,0,0,0,16.328396,0,7.7067432,0,0,0,0,0,20.510603,0,0,0,0,0,0,0.12086511,0,0,0,0,0,0,0,0,0,0,0.8644145,0,0,0,0,2.002242,0,0,0
422,0,3.7460394,0,0,0,0,0,0,0,7.5992417,0,0,0,0,2.331915,0,5.751104,0,0,5.8157873,0,17.044851,0.8063046,0,13.098535,0,0,3.0829701,7.5857015,0,0,10.518825,17.966444,0,5.641785,4.6182213,4.593152,5.1292863,5.839615,0,4.737656,0,24.908178,0,8.324207,0,0,0,3.9116645,0
423,0,2.0371459,0,18.665018,0,4.141663,0,0,0,3.6518464,0,0,0,0,11.338296,0,2.325827,0,0,26.6713,0,0.6566675,2.4588208,0,16.386538,0,0,10.048973,0,0,0,25.171312,3.5291562,0,7.0472617,0,1.2654871,3.6409261,5.866175,0,1.0289457,0,2.97955,0,1.6137215,0,0,0,0,0
