x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049
861,0.56426436,0,1.3798046,0,0,0,0,0,0.60354036,0.41868517,0.44072756,1.6324388,0,3.6117425,3.4687247,2.0064375,0,0,0,0.57462496,16.236628,2.6614606,9.929822,2.2594354,0.54809606,0,0,1.5742235,0.13456647,0,1.0509934,0,0,0,0,0.048865095,0,0.86241525,0,2.330391,0,6.8332577,0.086260006,0,5.7358265,0,0,1.1728302,8.478895,0
862,0,0.6554174,2.5872111,0,0,0,0,0,0,2.327834,6.9174495,0,0,1.0248343,0,0.36121982,5.3739085,9.02844,0,1.7665735,0,1.6103709,0.5980969,0.30347234,0,0,12.754684,0,0.9803443,0.96215975,0,0,4.7208223,6.1055036,0,0,0,1.6249259,0,1.4939141,0,0,0,8.622459,0,0,0,0,0,0
863,0,0.8720071,0,0,0,0.9820738,0,0,0.15411781,0,0,0,0,0,0,0,4.8856964,0,0,0,4.657528,5.7595544,0,0,0.9697304,0,0,0,0,0,0,1.0143636,2.5103042,0,0.90476716,10.039604,0.24924318,0,0,1.3020544,0,0,0,0,2.5610676,0,0,0,0,0
864,0,15.69596,0,0,0,2.1232133,6.485949,1.3075438,0,1.7574805,0,0,0,0,0,8.5074005,0.9163404,0,0,2.066205,0,4.782668,0,0,2.384873,2.8376613,0,0,0,0,0,0,1.0467938,0,0,0,0,0,0,0,11.254711,0,0,0,15.547817,0,0,0,0,0
865,0,2.3094678,0,0,0,0,16.659267,0,0,15.431822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4209092,0,0.22239707,0,0,0,0,0,0,0,0,12.821925,8.083978,0,0,0,0,0,1.4812971,0,0,0
866,0,0,2.2622995,1.6801033,0.8892072,0,5.876584,0,0,0,0,0,0,0,0,0,0,0,0,18.131638,7.320364,0,9.36555,0,0,0,0,8.07654,0,0,7.7712097,0,2.5904589,0,0,14.722413,0,0.9147885,0,0,2.4254627,0,3.7342181,0,9.392788,0,0,0.027400838,0,2.6140928
867,0,0,0,0,2.6771533,0,0,0.13939022,0,2.9899194,0,1.7096527,2.9341595,0,0,0,0,0,0,5.567143,0,0,18.655823,0.22372533,0,0,5.378699,1.838907,1.5692526,0,0.08603484,0,0,0,1.4854012,10.08111,0,0,0,0,3.9580097,0.57126254,2.1413977,0,5.9316254,0,0,0.64858913,0,6.199334
868,0,0,0,0,0,0,0.37918922,2.0405617,0,0,0,0,0,0,0,0,4.0835266,0,0.022997584,18.889198,16.018888,0,1.482154,1.7397,0,0,10.7998705,0.13328466,0,0,2.7800956,0,9.751235,0,0.8129234,3.8832169,0,0,1.1481112,0,0,0,0,7.1234484,0,0,0,0,5.539274,0
869,0,0,1.33683,1.5318598,0,1.4794935,0,0,0.71380985,0,0,2.1089604,0,3.339157,0,0,5.0512,3.1812446,0,0,3.3575864,5.298369,0,0,0,1.6126976,0,0.9625627,0,0,0,0,0,0,0,0,2.3410711,1.4284425,0,0,0.13385142,4.9263616,0,0,2.62571,0,0,0,6.3892245,3.4365637
870,1.3324589,0,0,0.7346036,0,1.1203694,0,1.3705678,0,0.9170686,0,0.009045471,0.06586112,0,2.4705312,0,0,0,0,5.814401,0,2.1247497,2.1391835,0.62866986,0,3.4732885,0,0,0,1.6137741,0,0.76693195,0,0,3.6758683,0,1.4307805,0,4.419844,0,0,0,4.2862053,0,5.889322,3.451845,0,0,0,0
871,1.1441232,1.2295257,1.2313277,0.11773503,0,1.4607766,0,0,0,0,0,0.41455713,0,0,4.920493,1.4226582,0,0,0,0.6464358,9.248145,0,0,0,0.26788437,0,0,4.603699,0,0.31425527,1.2155188,0.20204487,2.8841093,12.72528,0.017725741,9.395017,0,0.35085154,0.2827751,4.004752,0,5.286248,0,13.286488,0,2.539467,1.4414991,4.430311,0,1.7643449
872,1.5604686,0,0.26156995,0,0,0,0,0,0,0,0,3.070252,0,0,0,0,0,0,1.3757045,0,0,0,8.202666,4.5247164,0,0,12.204362,0,1.2453129,3.302027,0.4806569,0.2976135,0,0,3.9803743,0.9947403,0,0,0,0,3.3011696,0,0,0,4.9005914,0,0.5543029,0.073226236,0,0
873,0,0,0,0.39984256,0.6314903,0,0,0.7187499,3.5525703,1.360601,7.952684,1.0279926,2.254512,10.93192,0,0,2.3009124,0,0.10882857,2.3239906,0.14380795,0,12.729059,0,0,2.415874,0,3.0539634,2.2944818,0.12248919,4.7007937,0,0,4.0492396,0,13.929585,0,0,5.335093,0,0.13425209,0,0,0,3.0190306,0,5.8672833,1.3253868,0,2.4161801
874,0,0,0,0,0.68782336,0,0,1.9767206,0,0,0,0.11634851,0,0,0.6322691,0.11116682,0.4461042,2.5375261,0,7.273811,0,0,0,0,0,1.0965285,0,0,0,0,0,0,5.0887766,0,3.1002922,4.1096873,0,0,3.1470768,0.42790523,0,1.5891615,2.4360838,4.374002,0,0.9210941,1.8719003,0.21269324,0,0
875,2.3198755,0,0.9231705,0,2.3301334,0,0,0,0.49553943,0.20919187,0,0,1.5673664,18.174006,6.184172,0,0,3.9675586,6.6530976,0,1.0063766,0,0.6228994,3.806721,0,0,0,0,1.0062089,3.6871274,0,0,0.18942355,1.1412913,1.4727142,2.1611552,0,2.146849,1.859165,0,2.0233078,0.3117144,0.9470439,4.617472,1.9447494,0,6.5115566,4.93481,6.685722,1.9793123
876,0,5.653924,1.8793157,2.2236347,0,1.3357757,1.4067051,0,0.8801235,0,0.021596871,0,0,0,2.3324056,0.8487856,6.285408,0,0,0.99128747,0,0,3.6581266,1.4967453,0,1.1231599,0,0.79239124,0.8340267,0.63985556,0.51503015,0,3.4881833,0,0.41078493,7.0291514,0,0,0,0.04310904,1.2600042,0,0.8592735,1.1200176,3.3576741,0,0,3.4161208,0,4.2802052
877,3.5265727,0,0.48177564,0,15.715552,0.98274297,0,0,0,0,1.0358744,0.69341975,0,15.777284,0.3843213,0,3.2857182,3.030084,0.9253375,10.21948,8.828413,9.106804,5.9456506,0,2.0326548,1.2211838,4.2476425,0,0,5.254523,1.3374312,0,10.004199,0,0,14.291371,0,0,0.23423412,0,0,0,2.7408357,0,0,2.651612,0,3.1375456,4.4868436,0
878,0,0,0,1.6093752,0,1.5651596,0,0,0,0.3282221,7.05096,2.6343112,0,0,4.029088,0,7.783855,0,0,0,0,0,0,0,1.0502336,1.2522784,0,0,0,0,1.319754,0.878482,0,2.6701586,1.306491,7.0142236,1.6540037,0.021731649,1.7981886,0,0,7.703337,0,0,0,2.4628234,0.3935915,2.6398385,0,0
879,0,0,2.4227605,0,0,2.0222456,0,0,3.212688,0,0.48572266,0.8931213,0,1.398916,0,2.536232,6.722098,0,1.8123934,0,2.6683867,2.8622026,0,0,0.97977406,0.24048232,3.6235507,0.8899417,2.0092664,0,0,0.7423448,1.1248847,4.9981594,4.5115514,2.6138968,0.41710487,0,0,2.8922386,0,3.503512,0,0,0,2.39716,0,0,0,0
880,0,3.2395575,0,1.4185716,8.702821,0,0.000639034,0,0,2.653385,0,0,0,0,0.8796685,0.53803474,0,0.8238402,5.4825425,0,0,0,0,2.5741382,0,3.2759082,0,1.6738427,0,0,0,1.9040533,0,4.1763487,0,8.193139,2.5139687,0,4.6740828,0.46448675,2.311767,2.4254556,0,0,6.628232,0,0,0.35087287,2.469177,0
881,1.446075,0,0,1.9419434,4.6964765,3.7105,0.33845708,0,0,2.4961495,3.667263,1.5787514,1.438826,0.91258603,0,4.6280346,10.211683,0,4.926502,0,0,25.562641,0,0,4.6263943,2.0865774,0,0,0,0,0.44630033,0.17881148,0,2.3829129,0,0.72044015,0,1.3372223,2.7170877,0.9419912,0,0,0,0,0,0.3793152,0,1.9429533,0,0
882,3.289918,0,2.190891,0,6.8087006,1.1643759,0,4.634696,0,3.68897,2.4093027,0,3.9897258,8.489568,0,0,6.609552,6.6149716,5.4414587,0,3.2595391,0,0,2.1781774,0,1.2731028,13.018561,0,2.3491645,3.8246593,0,1.3196601,0,0,2.7375584,3.253092,6.7043495,1.5544796,1.8532919,0.8329095,0,1.1613472,0,0,0,0,1.7929558,0,0,0
