x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035
32,2.8956206,1.1787896,0,6.815986,0,0,0,0,0,0.85961527,0,0,0,0,0,0,0,0,0,0,0.11823641,0,0,0.5459904,0.013965007,1.214532,2.4079013,0.2905136,0,4.011274,0,0,0,0,0,0
33,0,0,0,0,7.507788,0.3758249,0,0,0,0.8424167,5.4756274,0,0,0,0,0,0,0.74654883,0,0,0,0,2.2119474,0,0,0,0,0,0,0,0,0,0,0,0.66257733,0
34,1.0794951,0,9.069414,0,0,1.5759544,2.0421875,1.4468266,0,0,0,4.046495,0,0,0,0,15.407999,0,0,1.7300147,0,0,8.703009,0,0,0,0,0,0,0,0,19.705345,0,1.1665012,0.3358558,0
35,0,0.76667804,0,0,1.6513277,0,2.0682626,0,0,3.505288,0,4.808935,1.6014148,0,0,0,2.6820986,0,1.3159248,0,0.1426554,5.7612414,0,0,0,3.2061558,0,0,0.062154092,1.4794524,0.79556906,0,0.5049774,1.8187834,1.6171532,1.2414312
36,2.7863157,0,0,0,0,0.3962567,0.045621686,1.1912566,0,0,0,0,0,0.8242037,2.2570944,3.5416303,8.634138,0,0.3736031,0,1.2507592,7.827472,5.1920805,1.7397249,0.49829233,0,0,0,1.1466815,0,0.07252279,0,1.2342882,0,0,1.5123777
37,0,3.81986,0.8562786,0,4.0840435,0,0,2.3262925,0,0.4401306,0,1.5363163,0,2.8872418,0,0,0,0,0,1.7437739,0,0,0,3.8791454,1.5190398,0,0.03843714,2.1400387,0.1658622,1.4909087,1.6938065,0,0,0,0,0
38,2.01458,0,3.5477924,0.5955802,0,0,2.1047986,0.8231646,2.75335,0.2035962,0.80334985,0,0.19001377,0,2.1675045,0,5.5913734,0,0,4.128413,0,2.3537586,1.579238,0,0,0,0.686013,1.605621,0,3.0281148,0,1.4346254,0,0,0.6429796,0
39,0,0.7238304,0.5361008,0,0,0,2.629378,0.8733169,1.3491831,1.1954658,0,0,0.7119536,1.8839005,5.5258517,0,4.440404,0,0,0.28924772,2.7116065,14.319894,13.342897,3.4583855,0.6362625,0,0,0,0,0,1.8193753,3.8643064,0,0.2182836,0,0
40,0.021889022,4.073863,0,0.89929384,0,0,0,3.2496467,2.2921052,0.5453068,0,0,0,3.1533055,0.46701506,0,0,0,0.31334752,1.3248551,0,0,0,5.4695206,0.4729771,0,0,0.721566,0.6724662,0,0,0,1.6706331,1.2122062,0,0
41,0,2.9717405,0.93611807,1.8056972,7.8990164,0.02592793,0.08017146,0,0,1.6827639,0,3.1617832,0,0,1.9082059,0,2.976165,1.3913095,0,0.44018418,0.84572816,0,1.0971695,2.8716974,0.3318891,0,0,0.086950645,0,0.7502424,0,0,0,0,0,0.55572915
42,0,0,0,0,0,0,0,0,0,0.37373424,0.4375271,1.5724027,0,0,0,0,2.9615686,0,0.17696384,0,0,0,0,4.078907,0,2.1018515,1.7848366,1.5035621,1.6028497,0,2.9040399,0,0.5585577,0,0,0
43,0,2.0581298,0,0,3.0368555,0,0,0,0,0,0.2416479,0,0,0,1.1225675,0,0,0,0,0,0,0,0,0,0,0.4841716,0,0,0,0,0,0,0,0,0,2.2030747
44,5.2403913,8.803479,7.2922273,0,1.9858445,0.08815647,1.4537127,1.9334503,0,2.16018,5.323784,0,0,0,0,0,8.389778,0,0,0,0,0,10.799096,0,0,0,0,0,0,0,0,10.550379,0,0,0,0
45,0,0.47987902,0,0.17808543,0,0,0,0,0,0.8553454,0,0,0,0,0,17.795568,0,2.1800117,0,0,0,0,0,0,2.0739675,2.3084037,3.4214907,0,0.016938819,0,0,0,0.266808,0,0,3.215095
46,0,0,0,3.0174701,0,0,0,0,0.30109805,0.11836841,2.9440794,0.057951227,0.43696612,5.20505,1.5402212,0,0,1.4028468,3.7851956,0,1.2762753,2.2641144,0,0.5803989,1.5236899,0.5265473,0.46423203,1.282186,3.470321,0,0.20053981,0,1.5555408,4.293016,0,0
47,0,0.23409107,0,0,0,0.52519494,0,0,1.4530704,0,0,2.2286224,0,0.9227758,4.1575108,5.5046415,0,1.4001107,2.0371659,0,1.1126237,0,0,0,1.6704503,1.8339002,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,3.5367973,0,0,3.4969094,0.97738457,0,2.1437695,0,0,0,0,0,0,2.135724,0.6661363,0,1.6219668,0,2.7256796,1.7626799,2.421825,0.1604655,2.6757605,0,0,0,0.92512363,0,1.4937462,3.3477955
49,0,0,0,0.19561136,3.7766438,0.4008145,0.2593716,0,0,0,2.1106656,6.8755136,0.7772552,6.5918503,0.7920135,0,0,0.6156854,0,1.8577409,0.7989199,0,0,0,0.20095474,0.2610831,0,0,0,0,0.30346656,0,0,0,0,1.0312866
50,1.6131941,0,0,0,3.5848305,0.6115319,0,0,3.167006,0.06102167,0,0.9392712,0.6373487,0.664154,0,0,0,0,0,0,0.32427692,0,0,5.739071,1.7351961,0,0.59799254,1.1062022,0,0,0,0,1.1928533,1.7443131,0,0
51,0,0,0,0,0,0,0,0,0,0,0,3.3197236,0,0,0.4598253,16.367666,0,0,0,0,0,0,0,0,0.14427221,0.54822123,4.353125,0,3.834423,0,0,0,1.1815335,2.2634177,3.361232,0
52,0,0,0.7480409,0,0,1.2586037,2.0782804,1.2455685,0.5004958,0.01737802,0,5.657028,0,3.9017687,0,0,0.70922744,1.9131895,0.6854968,1.8888752,0.12824734,0.012612849,0,1.6183908,0,0,0,0.77025163,0.10404887,0.7944295,0.9477625,0,0,0,0,0
53,1.1782103,0,0.56054753,0,7.450683,0,4.7014623,1.240804,0,0,0,0,2.0095284,2.1514928,0,0,0,0.4852562,0,1.7005877,0.61614186,3.4091892,4.6234455,0.37277824,0,0,0.63082004,0.9340485,1.9856869,1.8261653,1.8938375,0,0,0.04994309,0.42250243,0
54,0,0,0,2.0081906,0.9119758,0.47069964,0,4.311056,0.9347459,3.146551,3.6841867,0,0,3.1024451,1.281868,0,4.664509,0,0,2.5505016,0.36548096,1.6048653,2.2248785,2.3735304,0.5242937,0,0.2558914,1.8808054,0,0,0.36760402,0.49298018,0,1.1528308,0.041855894,0.6593863
55,0,0,0,0,5.4528627,0,2.5068512,0,0,0,0,0,0,2.8347495,0,0,5.629575,0,0,4.3832326,2.7183325,6.0809536,0,2.565806,0.8521661,0,0,0.14809383,0,1.5200802,0.20047897,5.1881475,0,0,0,0
