x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050
572,0,0,0,5.9179983,0.39548448,0,0,0,0,0,0,0,0,0,0,0,0,10.717065,0,5.829521,0,0,0,0,0,0,0,0,3.4798632,0,0,0,2.5043268,0,0,0,0,1.4042379,0,9.7999525,6.974052,1.2900046,0,0,7.7297397,0.45066196,0,0,0,1.7009474,0
573,4.836156,0,0,0.86568457,4.3099875,0,0,0.7071757,0,3.862858,0,0,0,0,2.942238,0,1.063177,0,0,0,0,0,0,0,1.3364453,0,0,0,0,1.8049073,0,0,0,0,4.0429897,1.4481198,5.6456265,0,0,0,0,5.212584,0,0,9.340521,0,0,0,0,6.7675304,0
574,0,1.7554138,0,0,0,0,0,0,0,0,0,13.847794,0,0,0,12.1697035,0,14.892504,0,16.598768,0,28.375391,0,0,0,0,5.640469,3.4135654,11.482901,0,3.3171456,0,5.448965,0,0,0,0,8.319145,0,1.785199,6.1101804,3.9585996,0,0,5.4583635,0,0,0,0,0,4.0961394
575,0,1.5956857,0,0.3408728,0,0,0,0,0,0,0.006919043,0,6.16894,3.1289637,0,5.1302857,0,5.6113577,0,16.578135,0,15.768586,0,0,0,0,0.7875286,0,4.7998686,0,0,0,5.980028,0,0,0,0,1.1293344,0,2.9028356,0,6.284895,0,3.3262918,0,0,0,0,3.6655715,0,1.5183108
576,0,0.30211216,0,0,0.047430374,0,0,0,0,1.5948529,0.566366,0,0,1.3427337,0,0,0,0,0.001852015,0,3.4779546,7.477902,1.080491,0,3.3676689,1.5592238,1.6190531,11.037413,0,1.7801564,2.6147797,0.7283347,0,0,0.44080177,0,0,0,0,0,1.4163256,0,5.6995873,0,0,2.2757976,0,9.418963,0,1.624751,3.6246376
577,2.5568094,2.482764,0,0,2.4224977,2.015127,0,0,0,0,0,0,0.24146122,2.1525333,1.8254019,0,0,0,0,0,0,3.5222683,0,2.3610299,1.3941882,0,1.4638871,0,0,1.9907278,1.2701347,0,0,0.115511835,0,0,1.5785003,0,0,0,0,0,0.18586013,0,0,1.1246201,0,0,0,0,0.5010502
578,0,3.2645383,0,1.9447737,0,0,0,1.056953,0,1.241614,0,2.2480292,0.12198015,0,0,0,4.143523,12.898626,0,15.784583,0,16.340406,2.6417458,0.75120133,0,1.3486851,1.779346,0,1.1318312,0,1.4667579,0,0,3.9605722,2.7334924,0,0,1.5224923,0,4.95896,4.8123417,1.1929381,5.5881443,0,0.7748246,0,0,6.8630276,10.343698,0,1.5890573
579,0.32531255,3.8285508,1.326941,0,0,0,6.8774323,0,0,3.565702,4.2118526,0,0.7914309,0.58039546,0.22888756,11.205595,1.2091868,0,2.847744,0,0,0,5.083012,3.421467,0.43735084,4.165229,0,0,1.9355967,0,0,0,3.784517,0.56291795,0.38346323,1.8848376,0,0,0,0,0,0.22967964,5.2877946,0.62519425,0,5.0918913,0,7.4777713,3.131056,1.0504334,1.4714595
580,4.897438,0.6512762,0,1.5131509,1.1152182,0,2.1877327,11.570732,0,3.8946433,0,5.1934156,4.2256575,0,0.1970591,0,1.115012,0,4.9818707,0,0,0,0.01823017,2.7920883,3.2607963,0.60921717,0,10.025781,2.4702425,0.6813637,5.147289,3.7443426,0,0,3.6830351,0,5.7126875,0,1.9864913,0,5.769037,0,0,2.478975,4.279639,0,0,0,8.192057,1.0430045,0
581,6.688662,0,0.79964936,0,0,0,8.954841,0,0,0,0,0,5.56124,2.6417756,4.1312933,0,9.858306,0,2.0388467,0,0.861199,0,0,5.4367766,3.4692626,0,0.40818658,3.5046036,0,3.6346607,0,0,0,0,0.07418647,4.610027,0,1.0416286,0.4139502,0,0,0,10.586496,4.954298,0,0,2.3817306,14.6899,1.1943487,0,0
