x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022
54,0,0,0,0.6860583,0,0,0,6.1034307,0.19675115,0,0.079190426,1.6973343,1.7123867,0,0.095595635,0,0,0,4.213848,1.1785892,3.5899634,0.54288965,1.2411778
55,0,0.6304981,0,1.5647188,0.5023913,0.5520821,0.7408205,4.1091876,6.399196,1.5359824,0.5084775,0,0.8300067,0.6246237,2.305136,0.27571654,0,0,3.6692488,0.55767447,0,0,2.083155
56,0,0,0,0,1.2000271,0.13667035,0,0.2586965,0,0,0.3977627,0,1.8849381,0,0,0.15435435,0,0.5239581,0,0,1.7055045,0,0
57,0,0,0,1.1709712,0,0,1.0163769,3.989578,1.7563056,0,0,0,0,0.2373033,0,0,0,0,0,3.042908,0,0.84295404,0
58,1.450981,0.648973,0.036387023,0,1.7578726,0,0,0,0,1.3235687,0,0.75330144,1.7179884,0.7532612,0,1.2268116,0,0,1.9135109,0,0,0,0
59,1.3567715,0,0,0,2.3219142,0,0.716778,4.33415,0,0,0,0,0,0,2.1666727,0.4843917,0,0,0,0,0,0,0
60,0,1.5397944,0,2.4917636,1.7156457,0,0.53019637,2.027992,1.8594855,0,1.2799574,0,0,0.51880765,0,0.30570808,0,0,0,1.9625386,0,2.1146772,3.948024
61,0,0,1.7636031,0,0,0,0.3071114,2.1284149,0,3.0684884,1.1374009,1.2384893,0.761598,1.2104977,0,0,0,0,3.382938,0,0,0,2.903277
62,0,0,0.12534374,0,0,0,0,0.967676,0.58838904,0,0,0,0.6038686,0,2.154049,0,0.6029701,0,0,0,0,0,4.556283
63,0,1.5408726,0.28647938,0,0,0.102926075,0.27165833,0,0,0,0,0.6805845,0.03382969,0.35213715,2.4685242,0,0,0,3.0110533,0.59289944,0,0.047979195,0
64,0.19117388,0.5433178,0,0,0.29109898,0.37033355,1.037198,0,0,0,0,1.1320904,1.5876025,0.20701675,0,0,0,0,0,0,0,0,3.7811077
65,0,0.6360542,1.6324056,0,0,0,0,0.49963963,0,0,0,0.52641654,0,0,0,1.1603405,0,0,0,0,0,0,0
66,4.6375175,0,0,1.2751027,0.4025941,0,1.1842738,0,1.841282,0,0,0,0.65122855,0,0,0,0.3394342,0,0,0,6.711447,0,0
67,0.025201242,0,0,0.6811418,0,1.1082997,1.2753309,0.8116096,8.750145,1.1244223,0,2.1310015,0,0,2.5687952,0,0.64170194,0.33450806,2.9342616,0,0,1.0039434,0
68,0.42137066,0,0.1868425,0,0.070634834,0,0.12421929,0,0,0,0,0,0,0,0,0,0,0.3485845,1.6425194,0,0,0,1.9781656
69,2.7155342,0.47184733,0,0.01994006,0,0,0.64563906,0,0,0.73346454,0.5275527,0,0,0,0.7192624,0,0,1.0125839,0,0,4.1654825,0,0
70,0,0.6884572,0,0,2.0058577,0,0,0,0,0,0.36285973,0,0,0,0,0,0.05402163,0,6.255849,0,1.3975962,0.23799701,0
71,1.6246748,0,0,2.6883557,0,0,0.08364578,0,0,0,0,0.4962077,0,0,0,0,0,0,4.065415,0,0,0,0
72,0,0,0,0,0,0.22298165,0,0,0,0,0,0,0,0,0,0.21572202,0.0890437,2.3441563,0,0,0,0,0.99557555
73,0,1.4886523,0,1.7656833,0,0.7470041,0,0,0,0.30240846,0.75888866,0.62237376,0,0.6214135,0,0,0.6643893,1.7111871,0,0,0,0.33989692,0
74,0,0,0,0,0,0,0,0,0,2.3613238,0,0,0.012461463,0,5.842305,0,1.7215639,0,0,0,2.09984,0,0
75,1.1933858,0,0,0.97608787,1.3400066,1.244411,0,0,0,0.6434307,1.0342782,0,0,0,5.2183204,0,0,0,3.218667,0,2.7459812,0.323561,1.2104555
76,0,0,0,0,0,0,0,0,0,1.4593954,0,0.59607553,0.7267686,1.408275,1.6925788,0,0.59375614,0.21999134,0,0.57616603,1.865207,0.087875016,1.3397299
77,0,0,0,0,0,0,0,0,1.995172,0,0,0.2879457,0,0,0,0,0,1.201281,0,1.4935397,0,0,0
78,0.86651033,0,1.9679145,0,0,0.40905073,0,0,0,0.9509512,0,0.44365257,0,0.91058,0,0.7108472,0,0,1.6949154,0.7190092,2.7245927,0,10.150816
79,1.7134295,0,0,0,2.7296522,0.35223147,0,0,2.8342576,0,0.89671373,0,0,0.7797085,0,0.36232165,0.009540269,0.36052427,4.44638,0,0,0.7817112,0
80,0,0,0,0,0,0.5141848,0,0.18182471,0,0,0,0,0,0.3952327,0,0,0,0,0,0.5897917,0,1.5701596,0
81,0,0.017516159,0.99836826,0,0,0.119064994,0,0,0,0,0.4419278,0,0,0,2.6156485,0,0,0,2.8105376,0,1.6180191,0,0
82,1.163644,0,0,0,0.04163228,0,0,0.015029642,0,5.480904,0,4.173358,0,1.2368977,0,0,0,0.12531725,0,0.39992735,0,0.5607937,0
83,0,0,1.2772211,0,0,0,0,0,0,0,0,0.35612234,0,0,1.0273762,0.6854925,0,0.6510412,0,1.1808808,1.2018529,0,0
84,0,1.9098206,0,0,0,0,0,0,0.97264546,0.84024847,0.5265469,1.8885757,0,0,0,0,0.12744664,0,4.144212,0.36457908,2.1393726,0,3.3909755
85,1.4350742,0.29942816,0,0,0,0,0.60451907,0,1.877001,1.8906444,0,0,0,0,0,0.739018,0.7684328,0,0,0.024317307,0.45275995,0,0
86,0,0,0,1.6006243,1.1586294,0,0.68599916,0.008204225,0.037128106,0,0.7092847,0,1.1297386,0,1.2376255,0,0.2137143,0,0,0,4.5066395,1.083712,0
87,0.6394796,0,0.1679432,0,0,0.4744761,2.2209558,2.0459983,0,0,0,0,0,0.20290272,0,0,0,1.6602231,0,0,0,0,5.4025893
88,1.6992642,0.5051708,0.12737231,1.5766197,1.3798132,0,0,1.0697223,0.6343284,0,0.91122156,0,0.2836889,0,0,0,0,0,1.5181375,0,0,0,0
89,0,0,1.2901901,0,1.4546632,0,0,0,0,0,0.70683414,0.2563789,0.120898336,1.1066395,0,0,0.93965006,1.0679225,2.9230976,0,0,0,0
90,0,0.019213295,0.07522195,0,0,0.5444542,0,0,0,0,1.0302187,0,0,0,0,1.2859153,0,0,0,1.2598109,0,1.073503,0
91,0,0,0,0.012554615,0,0.25504124,0.32515886,2.5896473,0,0,0,0.5825976,0.060480263,0,0,0,0,0,1.4006377,1.3539851,0,0.010321489,0
92,0,0.45147687,0,0,0,0,1.912523,0,0,0,0,0,0.74229133,0.32900223,0,1.0015991,0,0,0,0,7.909439,0,0
93,0,0,0,0,1.192209,0.6236808,0,0,1.5629569,0.52001345,1.4874228,0,0.5367296,0,0,0.001700587,0.472512,0,0,0.48041487,0,0,0
94,0.064509936,0.39040142,0,1.8865232,0,0,0,0,3.068207,0,0.74271005,0.17567927,0.3767065,0,2.307032,0.4012334,0,0,1.6837168,1.968397,0,0,0
95,0,0,0,0,0,0,0,0.80228925,0,0,0,1.1929548,0,1.4179976,0,0.27385634,1.0858004,0,0,0,0,0.25203612,0
96,0,0,0,0,0,0,0,0.93765837,0,0,0,0.012789758,0,0,0.04037382,0.045650885,0,0,0,0.10584681,0,0.52231795,2.1065686
97,0.30415082,0,1.6127858,0,0,0,1.3857434,0,2.1890545,0,0.15593444,0,1.5020764,0,1.7644638,1.2726613,0.075115085,0.19543381,0,0,0,0,0
98,0,0.53070337,0,0,0,0,0,0.20108992,0,0.4652183,0.21711844,0.024084654,0,0,0,0.5408081,0,0.7816534,0,0.87282807,0,0.7497608,2.5189474
99,0,0,0,0.78188556,0,0.4434335,0.33713052,0,0,0.3072133,0,0,0,0,4.722896,0,0,0.270382,0,0,9.542521,0,0
100,0,0,0,0.55178404,1.2215725,1.5139053,0,0,0,0,0,2.8146977,0,0,0,0,1.0893506,1.7278174,0,0,2.4105792,0,0
101,0.49846542,0.11077379,0,0,2.4177632,0,0,1.9312843,0,0.82468754,0.6217142,0,0,0,0,0,0,0,0,0,2.5239809,0,0
102,1.2426738,0.39984053,0.787337,0.0446201,0.3676062,0,0.11475467,1.3872936,0,0,0.72845846,0,0,0,2.229217,0.950091,0,1.2685859,2.446812,0,0,0.83157444,4.3302803
