x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022
71,0,0.835523,0,0,0.16222365,0.10306659,0,0,0,0.014783235,5.875598,0.7750919,1.0940316,0,0,0,5.274154,0.6344073,1.2116442,0,0,3.0619092,0
72,0,8.740969,0,0,0.14122444,0,0,0.669234,0,0.837849,3.7927701,0,0.057273462,0,0,0.7655107,3.0479894,0,0,0,0,1.8211733,4.777717
73,0,7.969193,0,0,0,0,0,0,0,0,0,0,1.27012,0,0,0.7061948,0,1.2067933,0,2.4828978,0.92591685,0,2.193515
74,0,7.364257,0,0,0,0,6.5944605,0,0,0.8648605,0,0,0,1.9993763,0,1.0261786,0,0.30721426,0.74096984,0,0,1.2118509,0
75,1.4437234,0,0,2.4842262,0,1.3906187,0,0.015426632,1.6299803,0,0,0,0.5004624,1.4596977,0.61706924,0.038004573,0,0,0,0.6712007,0,0,0
76,0,5.2766037,2.695244,5.0222063,0,0,0,0,0,0,0,0,0.17518216,0,2.179997,0,3.9872239,0.20640992,0,0,0.18775083,0,0
77,1.6938938,5.0130506,0,0,0.056884427,0.70827055,6.391195,2.3456998,0.95637566,0.3828432,1.5395536,1.6966151,0,0.89885634,0,0,0,1.2684453,0.45762998,0,0,0,0.6118475
78,0,0,0,2.374331,0,1.4456434,0,0,0,0,0,0,0.043942723,0,0,0,0,0,0,8.262127,0.7917177,0,4.598067
79,1.3185023,0,0,0,0.3996218,0,0,0,0,0,0,0,0,1.0063772,0,0,0.28255656,0,0,0,0,0,0
80,1.8482308,0,0,0,0,1.7911463,0,0.75716937,0,0.005628957,6.1397386,0.76145464,0,0,1.1015625,0,7.005006,0.17483428,0.74245673,8.96682,0,3.3146527,4.5736465
81,0,5.0240865,0,0,0.0946341,2.2878933,0,0,0,0,0,0,1.8507166,0.1747282,1.0582272,0,0,0,0.18870194,0,0,0,0
82,0,6.6312866,0,0,1.0137287,0,0,0,0,0,0,0.24929011,0,1.5609756,0.12854955,0,0,0,0,7.0649447,0,2.7374787,0
83,0,2.900928,2.0979588,1.825696,0,1.8593161,0,0.08212358,0,0.7673021,0,0,0,0.90515184,0.84308636,0,0,0,0,3.514378,0.23296136,1.5970381,0
84,0,1.6764212,2.3901806,2.09157,0,0,2.612921,1.4035653,0,0,0,0.9307309,0.8435884,0.37319893,0,0.5592625,0,0,0,0,0,0,0
85,1.1142584,0,4.2261367,0,0,0,0,0,0,0,0,0,0.46113005,1.7473838,0,0,7.4593964,0,0,0,0,0,0
86,2.3626032,0,0,0.4609147,0,0,0,0,0,0,0,0,0,0,0.111972235,0.70449823,2.6521814,0,1.3253348,0,2.0836577,0,0
87,0.84355414,0,1.7734681,4.9252777,0,0,1.4272665,0,0.9768407,0.537899,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0.8797903,0,0,0,0,1.4818225,0.21418874,0,0.9779477,0.5544327,0,0,0,0,0,5.1329026,11.166337
89,1.3359269,8.250939,0,1.0144824,3.203361,0.111035176,0,0,0,0,5.1460633,0,0,0,2.4352515,0,4.1665645,0.009235582,0,0,0,3.3169124,2.397162
90,0,0,0,0,0,0,0,0,0.3000652,0,0,0.49151957,0.7649463,0,0,0.63395804,1.4924362,0.00439946,1.020256,0,0,0,0.98588294
91,1.2737975,0,0,2.1392303,0,1.7256349,1.1445383,2.2639856,0,1.4340767,7.158563,0,0,0.4402631,0.46454948,0.53337145,8.964858,0,4.065005,5.7211804,0.62749517,0,10.944668
92,0.43690208,0,0,0.5455242,0,0,0,0,0.64396346,0,0,1.6473287,0,0,0,1.2414267,0,0,0,0.8114652,0,4.186708,0
93,0,0,0.2698457,0,2.438577,0,3.88375,0,0,0,0,0,0.37315047,0,0,0,0,0,0,0,0,0,0
94,0,0,6.0234995,0,0,0,1.9840162,0,0.3694178,0,0,0,0,0,0,0,0,0,0.43745363,0,0,0,0
95,0,0,1.5214715,2.61134,0,0,0,0,0.68651927,2.0695632,0.55545247,0,0,0,0,0.22211425,3.308203,0,0,0,0.89906126,0,0
96,0,0,0,0,0,0,0,1.4761868,0.64955527,1.3023635,0,0,0,0.43443567,0,0.20508997,2.3879485,1.9521921,0.5116021,0,0.22042468,0,0
97,0,2.3052564,0,0,0.46369746,0,0,1.2778714,0,0,0,0.7751936,1.020826,1.0215805,0,0.7101224,0,1.5098385,0,0,0,0,0
98,0,7.7606015,0,0,0,3.595847,3.4367254,0,0,0,0,0,0,0,1.331192,0,2.3497374,0.543805,0,12.026317,0.4826667,2.0967538,0.46107003
99,0,4.0064187,0,0,0,0,0,0,0,0,1.2313901,1.3259763,0,0,0.6458782,0,0,0,0,0,0.77392995,0.8785874,6.376351
100,2.4485044,0,0,0,0.5079535,2.0834026,0,0,0.46812376,0.663508,1.3160906,0,0.9769925,0,1.2004628,2.2079375,0,2.281935,0.7825827,0,0,7.417239,6.6152325
101,0,3.2541368,1.1470044,0,0.9690287,1.2087148,0,0.24196012,0.2255036,0.41940856,0.295086,0,0,0,3.3868294,0,0,0,0,0,0.084821686,0,0
102,4.815448,0,3.0754004,0,0,0,0,0.25973567,0.34877098,0,0,0,0,3.6970115,0,0,0,0.56653756,0,9.758543,0,0,0
103,0,0,0,0,0,0,0,0,0.14772864,0,0,0.7910833,0,0,0,0,0,0.67841464,0,0,0,0,0
104,0,11.756383,2.9507318,0,0,2.5307648,0,1.1477166,0,0,0,0,0.79554766,0.15705426,0,0,4.6768336,0,0.6086586,0,0,2.705871,0
105,0,2.5339625,0,0,1.127784,0.15404588,0,0,0,0,5.6478806,0.62300795,2.3784873,0,1.599549,0.7735329,3.4256136,0,0,0,0.7765002,4.6704545,0
106,1.6346245,0,0,3.696688,0,0.459967,3.005999,0,1.2179328,2.449017,2.8129082,0.13586348,0,1.1684608,0,0,0,1.9157739,0.72520363,0,0.2899669,0.23522013,0
107,2.769808,0,0,0.8233256,1.603265,3.05218,0,0,0,0,0,0,0,0,0.11621069,0,2.843762,0,0,2.628518,0.5030929,0,6.438058
108,0,0,0,0,0,2.9970143,0,0,1.5119711,0.8415406,0,2.6388543,0,0.37500066,0.6787465,0.46668208,0,0,0.15007418,0,0,0,1.8985187
109,0.5873059,4.376368,0.031914953,0.7795563,0,0,0,0,0,0,0,0,0,0,0.860411,0,3.1889477,0,0.16939886,0,1.4612205,0.613053,0
110,0.24211633,1.441082,0,0,0.15985242,0,0.5377828,0,0,0.53068745,0,0.64723974,0,0,0.91654587,0,0,0,0,9.244092,0,0,7.0788283
111,0,9.119153,1.3659816,0,0,0,0,0,0,0,1.6919111,0,0.21072505,0,3.1983144,0,5.572607,0,0,0,0,0,0
112,0,0,1.9778072,2.4516482,0.2996265,0,0,1.9842621,0,0,0,0,1.3478615,2.8607175,0,0,0,0.48848477,0,0,0,0,0
113,0,9.072103,1.5589975,0.83099794,0,1.5902188,0,0.24411054,1.656643,0,3.0548477,0,0,2.2124336,0,0,0,0,0,0,1.4873078,2.8842716,0
114,0,0,0,2.5009873,0.42803162,0,0,0.23627587,0,0,0,1.1071472,0.057050988,0,0,0.39197633,0,0.10205782,0.9845498,0.26997972,0,2.1359715,0.9994431
115,0,0,0,1.7760466,0,0,0.67665094,0,0,1.1278768,0,1.4379419,3.6877396,0,0,0.6858867,8.793978,0.08873437,0.88485056,0,1.2106543,4.2294593,3.4679248
116,0,0,0,0,1.5649449,2.2283301,0.5597689,0.6694748,0,0,1.4267265,0.1825352,0.3286945,0,0.06583793,0.9241825,0.6111625,0,0,0,0.1827938,1.2468925,2.9807973
117,0.30043295,2.5280442,0,0.6975554,1.090104,2.4384518,0,0.07907736,0,3.9983177,2.0665452,0,1.5080554,0,2.71906,0,0,0,0,0.340701,2.2707953,1.3174417,4.588056
118,1.8934897,0,0,0,1.374893,1.3590878,0,1.4737632,0,0,2.8587956,0,0,0,1.436422,0,0.015014962,0.62644595,0,8.662868,0.11826938,1.7683351,0
119,0,6.9943466,0,0,0,0.39485246,0.94109803,0.17550598,1.0384094,0,0.09269583,0,0,0,0,0,4.241402,0.36761644,0.15911199,0,0.32577372,0,9.587003
120,0,0,2.5598323,0,0,0,0,0.5069005,0,0,0,0.9622988,0,0,0,0,2.640019,0.33489296,0,10.142228,0,0.041724212,0
121,0,0,5.4280214,1.8833925,0,0,0,0,0,0,0,0,0,2.7279804,0,0,2.1355877,0,1.2962937,0,0,0,0
122,0,6.695903,0,0,1.5079157,0,3.3891573,0.23546351,1.6700474,0,0,0,0,1.1626495,0,0,0,0,0.85273236,0,0,0,2.7154362
123,2.7809987,0,0,2.1288304,0,0,0,0,0,0,0,0,0,0.6563864,0,0.55116135,0,0,0.120969236,0,0,0,0
124,0,4.1352572,0.96143115,0,0,0,0.82992035,0,0,2.7161968,0,0,0.4791882,0,0.98638076,0,5.8216367,0,0,0,1.4188067,5.809942,0
125,0,0,0,0,0,0,0,0.29698825,1.3000826,0,0,0.95055276,0,0,0,1.7661943,0,0,0,0,0.9612921,0,0
126,0,0,0,0,1.1024776,1.4107903,0,0,0,0,0,0,0,1.0102668,0,0,0,1.1106174,0,0,1.7168876,4.2737784,5.8652344
127,0.48041874,0,0,0,0,1.1407995,0,0,0,1.1897256,5.220212,0,0,0,2.6758175,0,0,0,0,5.143852,0.5042731,5.709491,2.6827092
128,0,20.403103,0,0,2.6767735,2.2992675,0,0,0,0,0,0,0,0.23954786,0,0.47354317,0,0,0.77180177,9.8581705,0.105782025,0,0
129,0,0,0,0,1.8231863,0,0,0,0,0,0,0,0.40124094,0,0,0,0,2.3568134,0,0,1.778056,0,0
130,0.11716942,0,3.201576,0,0,0,3.7885778,0.07362171,2.073945,0,0,0,0.07758133,1.080654,0,0.026842576,1.3027387,0,0,0,0,0,0
131,0,0,0.6754096,0.14426471,0,0,3.0865822,0,0,0,0,3.327843,1.2886735,0,0,0,2.874383,4.4480567,2.206176,0,0,0,0
132,3.4836836,0,0,0,0,0.50491875,1.6221963,0,1.3231633,0,0,0,0.9310429,0.32718667,0,0,3.6334229,0,0,0,0,1.0373149,0
133,0,0,2.1520748,0.6493088,0,0.9227849,0,0,0.34923363,0,0,0,0,1.4594479,0,0,9.441377,0.5663548,0.34820044,0.1691367,0.7998469,3.5409763,3.2380042
134,0,0,0,0,0,1.7267926,0,0,0.009338782,2.0146973,0,0,0,0,1.4361246,0,0,1.4580342,0,5.3495107,1.9504838,0,0
135,2.6738462,4.841899,0,0,0,0.62024087,1.6737562,0.03187697,2.0637376,0,0,0,1.340531,2.4878032,0,0,0,1.5482575,0.23839155,10.674742,0,1.01121,4.524223
136,0,3.8220916,0,0,0.8393102,0.97578263,0,0,0,0,2.8717966,0.77910966,0,0,1.8261193,0.062415604,0,0,0,0,0,6.8381996,1.3954855
137,0,6.688103,0,0,0.5584828,0,0,0,0,0,0.43407643,1.2851709,0,0.2973964,0,0,1.3783067,0.21559304,0.15640126,2.234277,0,0,0
138,0,0,0,0,3.8114414,0.40297893,0,0.9242794,0,0,0.22626139,0,0.23300181,0,0,0,0,0,0,4.424279,0,4.087967,9.372118
139,0,0,0,4.7425995,0,0,0,2.0609808,0,0.39871895,0,0,0.1950917,0.7901738,0,1.7292929,2.785802,0,0,0,1.4152981,0,0
