x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047
991,0,0,0.6945712,0.5522908,0,0,4.62357,0,0,0,0,0,0.78453726,0,0,0,0,0,0,0,0,0,0,0.15142535,0,0,0,0,0,12.220124,0,0,2.8133304,0,0,0,0,0,0,0,0.43206137,0,0,3.1849904,0.6230662,3.4252944,0,1.8799813
992,0,0,0,0,0,0,0,0,0,0,0,0,0,4.941353,0,2.5878427,0,7.188219,10.756378,0,0,0,0,0.47988942,0,3.6114588,0,0,0,0,3.1418056,0,0,0,0,0,4.463048,3.5518956,3.578034,0,0,2.4662316,0,6.0178165,2.6633239,0,0,0
993,2.07657,0,0,0.31370258,0,0,9.0886965,0,0,1.2025937,13.240616,0,3.2325656,2.1095603,0,0,2.9187596,0,0,0,0,4.1920753,18.979536,0,3.8881884,0,0.7053613,0,4.369521,0,0,0,0.750709,1.040987,1.49471,0,0,0.8114017,9.090301,0,0.8873769,3.7483711,0,0,0,0,0.053553246,0
994,3.4493954,0,0,0.30585784,0,2.0072656,0,10.645596,1.4753022,3.2608018,0,3.6374688,0,0,0,3.752378,0,0,0,8.964203,2.868364,0,0,0,0,1.0752071,4.4379716,0.5453397,0,0,0.49514827,0,4.3303123,1.6641805,1.3050534,2.0041919,0.85766,4.272375,0,0,0.78213996,1.3027604,3.7767622,3.1298993,0,2.7300382,0,2.9616077
995,0,3.5748522,0,0,0,0,0,3.5246212,0,0,0,0,0,5.368045,0,0,1.6534871,0,0,5.07681,0,0,0,0,0,1.5151018,0,0,0,0,0,0,0,0,2.5818925,5.9635296,0.2386405,0,0,0,0,0,0,0,0,0,0,0.31432754
996,0,0,0.012785926,0,0,0,0,8.854495,1.5194849,0,13.057735,0,1.6543173,18.433144,0,2.5471463,0.5350759,0,0,0,15.443869,21.648071,3.2543638,2.4724827,3.0967245,0,0,0,0,0,0,3.522927,0.39788744,0.46512258,0,0.54875547,0,0,12.019551,0,2.5327768,0,0,0,0,0,3.217,0
997,0,0,0,0,0,0,11.729564,4.5922813,0,0,0,0,0,0,0,0,0,0,5.120879,4.3098955,2.4745471,0,8.136596,0,0,0.09419088,0,0,0,0,0,0,8.742128,0.10832524,0,0,2.709772,0,4.849409,0.11093188,0,0,0,0,0,0,3.5735142,3.6292894
998,0,0,3.0146227,0,1.8228269,3.2515469,0,5.1531086,0.62228876,4.470896,0,3.7102928,0,0,1.0175884,0,0,9.856772,3.8956156,3.04034,9.100393,0,1.5619818,0,0,0,0,1.4168086,3.6837847,1.9694055,1.7098476,0,0,0,0,0,0.71890515,2.5594645,0,0,0,0,0.5117642,5.036044,0.7933631,3.604517,3.4881973,4.811815
999,0,0,0,0.3604228,4.806596,0,0,6.6712523,0,1.2683151,7.159547,0,1.8935403,0,0.94794464,0,0,1.539878,3.9664593,6.303536,0,0,0,0,0,0,0.7527401,0.80802476,0,0,2.4123697,0,0,2.1032767,0,8.66044,3.1904461,4.556061,0,4.082083,0.63189167,0,1.9335902,3.99583,0,2.7890286,0,0
1000,1.4830192,0,0,0,0,3.2763414,0,12.40885,0,0,0,6.798467,0,0,0,0,0,0,5.1684813,0.8661574,0,8.80863,0,0,3.057594,0,0,1.000129,0.998357,4.0503373,1.8215673,0,0,0,2.2720652,0,2.7965326,0,0,0,0,0,1.3570292,0,0.07025759,0.3085215,0,1.5101043
1001,0.85824823,6.7032843,0,0,0,0,0,5.3220215,0,0,0,0,3.0367389,0,3.3490286,1.4047244,0,0,0,0,0,3.5221357,10.475922,1.8161845,0,2.4707704,0,4.081778,0,0.74390435,0.7940573,1.4798732,0,0,0,0.5023845,0,1.1840692,11.509744,0,2.3168848,1.0543007,1.8907628,0,0,2.2446854,0,0
1002,0,0,1.8080434,2.4945421,0,0,0,4.159025,0.92074114,1.0216027,0,0.07497943,0,0,2.4739068,4.0738864,1.7811397,0,0.67637163,2.4498994,4.6773376,0,0,1.8859351,0,0,0,0,0,12.769299,0,2.4683838,0,0,0,0,0.45546263,0,0,0,0,2.9525387,4.141079,2.7603545,0,0.49031156,0.49489924,0
1003,2.918557,4.470391,0,0,0.1366526,2.9013517,0,2.7960339,0,0,2.2971873,0,0,0,0,0,1.924229,3.7088678,0,0,4.556802,0,0,0,0,0,1.0018033,0.7631191,0,0,4.7741365,3.5385387,0,0,2.6869419,0,0,0,0.6688809,1.0347925,0,0.35198087,0,0,0.78587365,0,0,0
