x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037
52,0,0,0,7.4684157,0,0,0,0,0,2.4115179,0,0,0,2.0061188,0.43258303,3.3864746,0.5592677,0,0,3.8036103,6.91364,5.8772902,0,0.6559319,2.8695862,9.206145,9.785633,1.9092342,0,0,0.09695635,0,0,0,0.12508658,0,0.62631786,0
53,0,2.6125076,0,0,0,0,4.0754066,4.5156345,0,1.7116272,5.171641,0,0.5895333,0,1.9893581,0,0,0,0,0,0,0,0.70138365,0,2.5494142,0,3.9608335,0,0.67746335,0,0.38841677,4.9477763,1.1972483,0,0,2.4421244,0,0
54,0,5.3314066,0,0,7.7237363,0,0,3.6213682,2.0907512,1.5632035,0,0,2.7335856,2.1722045,0,0,0,5.6680317,0,2.815234,8.349341,0,0,14.234651,1.9836202,4.8830647,3.5785432,3.9808552,0,0.5061179,0,0,3.2931015,0,1.3493142,0.32135865,0,2.509778
55,2.1640975,0,0,0,0,2.9959662,0,0.11690116,0.8523084,0.871908,0,0,0,0,1.4284303,0,0,0,0,0,0,1.3081155,0,6.1124697,0.5100195,0,0,0.47196704,0,0,1.2061371,0,0,0,1.2371099,2.4919314,0,3.5921483
56,0,0,0,0,0,1.3476986,1.4031991,0,1.881995,0,0,0,0,0,0.40781567,0,0,2.3002336,0,0,0,0,5.565676,0,3.1730082,0,0,0,2.5904982,3.2155433,0,0,0,0,0,7.345779,0,0
57,0,0,1.9210781,0,0.81804425,0,1.3437619,0,0,0,0,0,0,0,0,0.5789017,0,0,11.059718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,4.4672084,0,0,0,0,0,0,0,0,0,0,0,0,2.627673,0,0,9.097373,0.7649074,0,0,0,0,0,0,0,0,1.487578,0,0,0,0,0,4.0215135,0,0,0
59,0,0,11.494753,0,11.528466,0,0,0,0,0,0,0,0,0,0,0,0,0,16.214523,0,0,0,0,0,0,3.6499655,0,0,0,0,0,0,0,0,0,0,0,0
60,2.959344,0,3.0293365,0,0.43480656,1.2734172,0,0,0.21647479,0,0,1.2038097,0,0,0.26235434,6.7274494,0,0,1.2814534,0,0,0,0.7353706,0,0,0,0,0,1.2555395,0,0,0,0,1.5459738,0,0,0,3.950022
61,0,0,4.043858,4.065895,0.98396385,0,0,0,3.2235417,0,1.5331599,1.4116558,1.4581777,0,0,0,0,0,9.244626,0,0,0,0,5.3646193,0,0,0,0,0,0,0,0,0.12895897,3.995134,1.1883346,0,0,0
62,0,0,1.3886597,10.290132,5.223901,2.769113,0,0,7.906843,0,0,0,0,0.32215112,0,0,7.0796537,0,6.1400204,0,0,0,0,0,3.3185344,0,0,0,0,0,0,0,0,0.21022187,0,0.3676366,0,2.805018
63,5.289043,0,4.9251804,0,0,1.032635,0,0.73869276,12.701577,0,0,0,0,0.9259668,0,0,0,0,0,0,0.93934166,0,3.6682732,0,1.2016073,0,0,2.4886663,1.1652501,2.2779956,0,1.5803452,0,0,3.1533954,5.836392,0,0.07993253
64,1.178921,5.3865924,3.4110656,0,0,16.063177,0,0,7.3493557,0,0,0,0,0,0,0,0,0.33100623,0,0,0.72287184,0.71511894,0,14.588478,0.15738486,0,2.148045,0,0.97432053,1.1065238,0,0,0,0,0,0,0,0
65,0,0,14.10035,0,0.13170671,1.035045,6.256993,0,3.144068,0,0,0,0,0.51078844,0,0,0,0,0,0,0,0,0,0,0,2.9961247,0,0,0,0,0,1.4794755,0,1.0169742,0,0.43455675,0,2.260278
66,0,1.8113153,0,0,15.090289,10.368921,0,5.901736,2.948656,0,0.5346305,0,0.001884364,0,0,0,0,2.369336,14.897996,0,0,0,0,0,2.6326869,0,0,0,4.0974565,0,0,1.7707514,0,0,0,0,0,1.1874696
67,0,14.968065,11.705733,8.1164465,0,4.249791,0.49800724,0,0,0,1.0036765,0.6501448,0,0,1.8980718,0,0,0,0.3815617,0,0,0,0,0,0,0,0,2.406416,1.2259972,0,0,0,0,0,1.5762353,4.909291,17.074951,11.322271
68,1.092551,3.0726652,1.4707509,0.4990298,0,6.9754596,0,2.8451936,0,0,0,0,0,0,0,4.831343,0,0.5229262,0,0,0,5.569295,0.4035007,7.6320767,2.4215496,0.90275913,0,2.2669063,0,3.6345546,4.2375283,3.6363182,2.923,0,0,0,2.5113657,0
69,2.469813,0,25.96075,0.58147985,6.441418,2.837977,4.5902224,14.496148,0,1.0413212,0,0,0,0,0,0,0,0,12.679052,0,0,4.285306,0,0,0,1.632901,0,0,2.2731926,0,0,0,0,0.62324274,0,0,0,1.2161983
70,0,0,0,0,0,0,2.473409,0,0,9.331043,0,0,1.9107189,0,0,0,2.974592,0,7.93144,0,0,0,0,0,0,9.016202,0,0,0,0,0,0,0,0,0,0,0,1.9079574
71,0,0,8.317957,9.420569,5.200034,5.808045,0,7.043646,0,0,0,0.41967723,0,0,0.60976857,2.7460318,0.39256108,2.5177143,0,0,8.290289,0,0,7.686239,3.8658364,0,0,0,0,1.1216183,2.79172,0,0,0,0,0,13.020238,0
72,0,0.37927675,0,1.2476318,0,0,0,4.9501348,0,0,0,1.1635349,0.37690848,0,0,0,0,0,5.694282,0,0.34555352,0,0,0,0,1.000467,0,0,0,0,0,0,0.22678658,0,0,0.7289823,2.2329018,0
73,0,6.883328,8.572936,0,0,0,0,7.0510464,1.8567314,0,0,2.98909,0.83336014,0,0,0,3.7647667,0,0,0,0,0,0,0,0,0.8789417,0,0,0,0,1.4567637,0,2.3062534,0,0,1.4041858,0,4.9904113
74,2.2044206,0,0,0,0,4.9488845,0,0,0,0,0,0,0.8290268,0,0,1.7717298,0,0,11.523288,4.621875,0,0,1.0364724,0,0,0.30712834,0,0,4.61517,0,0.97581106,0,0.1758241,0,0,0,0,3.8221977
75,0,0,0,0,0,1.3624582,5.8039417,3.527011,0,0,0,1.9256996,0,0,1.7154355,5.974726,0.12571716,9.064818,1.757778,0,8.588319,8.616188,0,2.7627199,0,0,0,0,0.6219826,0,0,0,0.38880444,0,0.30908167,0,0,0
76,0,0,8.312656,22.513689,0,1.8723648,0,15.682376,10.343059,5.319872,1.4935589,0.41767433,0,0,0,0,0,2.8120558,2.4120681,0,0,2.0571856,3.6455941,3.8071048,0,0,0,11.888928,0,0,0,0,0,0,0,0,0,0
77,0.68777573,0,0.35962948,3.251456,0,0,1.21426,18.834835,0,0,0,0.5292639,0,3.138676,1.2444261,1.8244497,0,2.372529,0,0,0,0,0.58142513,0,0,0,7.084026,0.6258235,0.7189226,2.299648,0,0,0,0.310255,0.55757856,0,0,0
