x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033
35,0,0,0,3.924919,0,0,0,1.8350197,0,0,0.05461244,0,0,0,1.1921674,0,5.502941,5.866595,0,0,10.411212,0,0.5758861,6.3061967,11.879893,5.8978004,0,0,6.10512,1.4673355,0,1.6488647,0.68596965,0
36,0.661775,0,4.094873,0,0,0,0.27490667,0.096385285,0,0,0,0.62947375,26.489336,2.205352,0,0,0,0,3.2085629,0,0,6.4561453,7.19772,0,8.852165,0,0,0,0,0,0,0,4.6832943,0
37,0,0,0,0,6.2920356,1.2024091,2.0339565,1.8674136,0,0.115014866,1.7205726,0,0,0,0,0,5.8248744,0,0,0,0,0.32224092,0,0,0.0564415,0,0,0,9.111203,0,0,0,0,1.5507978
38,0.19809857,0,0,1.6793481,0,0,0.67339236,10.040701,0,0,1.2443806,0.48864934,0,0,0,0.48340535,1.8936104,0,0,0,1.6266209,0,0,1.1305027,2.9341116,0,0,0,0.16361514,0,0,1.6266478,6.3361473,1.2882798
39,0.74988073,3.3162146,1.5453647,0,0,1.9761713,0,0.4397153,5.8384056,0,0,0.5476854,7.131261,1.5744216,9.11818,0,3.6952908,0,0,12.58473,0,2.8472788,0,0,0,0,0,9.302399,0,0,0,3.2366893,0.41273922,2.3848977
40,0,0,0,0,3.7058573,0,2.5059335,0,0,0,0,0,9.451232,1.8974454,1.9452077,0.18298416,0,0,3.9626265,0,0,0,8.781482,0,10.112474,3.9290617,0,0,0.31393054,1.7006289,0,0,0,0
41,0,0,0,2.0206964,0,0,0.2216696,4.253986,0,0,0,0.6169139,0,0,0,0,1.6839654,0,0,0,14.437735,0,2.0082955,4.4404693,3.5498,0,4.6130576,0.67878616,0,0,0,0,0,0
42,1.3397313,4.70156,2.418764,0,2.1915245,0,3.1950963,10.923536,0,0,0,0.86925894,0,0,0,0.29425445,0,16.032104,0,0,0.43220463,0,0,2.874402,14.362333,0,0,0,0,0,0,2.6970735,0,0
43,0,0,2.742371,1.9482096,0,2.032187,0,0,0,0,0,0,0,0,0,0,0,0,1.6843827,0,1.5107986,2.344153,0,0.4360123,0,0,0,0,0,0,4.9024143,0,1.7294965,0.47780675
44,1.5536608,5.802884,2.6011598,0,0,0.44770932,2.402467,0,0,2.486807,1.7773099,0.7232111,0,2.6837087,0,0.22263575,0,5.1400976,1.9770074,11.173566,0,2.8054006,2.7224329,0.5820489,0,1.2822143,0,0,0,1.7194756,0,9.366807,0,3.6889691
45,0,0,0.32607073,0,3.0717592,0.6262883,0,0,0,0.16673645,0,0.110072665,0,0,0,3.2079525,0,4.3355656,5.707793,14.874484,0,0,0,0,3.7905498,5.3077393,3.0574934,0,1.6713073,0,0.18070349,2.3590515,0,0
46,0,0,0,0.60900664,3.4201632,0,3.6017354,0.31331375,9.097428,4.230366,0.74525654,0.6967854,0,0,3.4482388,0,0,0,0,0,0,0,0,0,0,0,0,0.85035884,1.5214255,0,0,0,0,0.5119447
47,1.0522705,3.8329086,0,1.0792285,0,0,1.7015709,0,2.7107654,0,1.9632545,4.570135,0,0,0,1.15824,3.4674673,0,2.2320242,0,6.122679,0,4.7057977,0,0,0,3.4003172,1.127611,0,0.32167777,0,0.24334602,0,0
48,0,0,0,0,4.290081,0,0.5102546,2.887578,0,0,0,0,0,0,0,0.7303234,2.9205472,0,0,0,17.574186,0,0,0,10.340013,2.135964,0,0,0,1.2288475,0,0.17831747,0,2.5734525
49,3.5428536,1.1675979,0,0.47255564,0,0.11007483,0.44743955,0.7639922,0,0.35575402,0,0,0,0,0,1.045984,0,16.240608,0,0,0,0,2.0205758,0,0,0,0,0,4.359442,1.7113091,0,0.7296143,0,0
50,0,0,0,0.9300229,0,1.2451249,0,0.24270262,0,0.7048196,0,0.35070926,0,0,0,0,0,0,0,7.9741807,0,0,2.6860008,0,0,0,1.391085,1.6978699,0,0,0.8980146,0.5306209,0,0.9549248
51,0,0,7.2678227,0,0,0,0,0.12013352,6.1167655,0,0,0.6219041,19.73231,0.5653122,3.7502754,3.2258449,0,0,0,4.7721977,0,0,0,0,0,0,0,0,1.625783,0,0,0,0,0
52,0,0,6.453262,0.7824491,0,0,0,0.6806099,0,2.706046,2.7762964,0,0,5.322596,5.0868516,0.5793048,0,0,0,14.789923,0,5.106169,0.09069759,0,0,11.17013,0,0,0,0,0.4127418,0,0,0
53,3.6948624,0,0,0,0,0,0,0,2.5386164,1.2225944,0,0,0,0,3.763823,0,0,0,3.5881908,4.554606,0,0,0,0,0,0,0,0,0,0,2.160443,0,0,2.079791
54,0,0,0,0,7.136171,1.1278611,0,0.68295294,13.540702,2.0408328,0,0,0,1.4347881,0,2.831035,0,0,16.225595,0,0,0,0,0.49066225,0,3.15437,0,0,0,0,0,0,0,0
55,0,0,0.18991983,1.221154,0,0,0,0,0,0.67746234,0,0,0,0,3.582448,0,3.2414074,10.810403,0,6.9647417,4.606927,0,0,0,0,5.173061,0,6.097923,0,1.1628135,0,9.283514,1.5378947,1.1643052
56,0,3.7616417,0,0,6.4280734,1.6537147,0,0,0,3.9498713,0.07892635,0.9186448,2.7306023,0,0,0,0,0,2.1478918,0,1.5130008,1.4786725,2.769732,4.2897286,11.264513,3.1840239,3.1942084,0,9.340288,0,4.1491656,0,0.39158314,3.8774056
57,0,1.0574274,0,5.148411,0,0,0.6806575,3.884909,0,0,2.844352,0.8689865,0.21131696,3.1208346,0,0.10598759,0,2.7522643,8.47769,0,0,0,0,0.60749865,0,3.0290596,3.1491377,10.311964,0,0,0,0.80843896,0,1.3255075
58,0,0,0,0.9881916,0,0,1.3449354,0,0,0,3.8545172,2.886416,5.0940986,0,0,2.0643575,4.474698,0,1.053668,0,19.597094,0,0.82904625,1.1586531,6.066753,0,0,0,0,3.9456606,0.78288645,2.4968822,5.7487283,4.251363
59,0,0,0,0,0,3.40035,0.02966824,0.338876,0,0,0,5.547444,26.562702,0,0,0,9.604441,0,0,0,0,6.776868,0,0,24.441687,1.384915,0.012756807,0,0,2.777088,0.29161873,0,0,0
60,0,1.6937424,1.6799365,0,8.863722,0,0,2.4639578,0,0,0.6594684,5.911251,0,0,0,2.5979586,0,0,0,0,0,0,0,0,0,0,0.31084254,0,6.8868847,0.31532222,0,2.7679439,3.3063104,0.18299155
61,2.13753,0,1.8996407,1.1615937,0.53212214,2.1317143,0,3.8428838,0,0,0.7956582,0,1.1704292,0,0,1.8204211,1.5149568,0,0.32874283,0,19.362709,10.738465,2.024829,2.1176305,0,9.882806,0,5.625303,0,0,9.695865,0,7.501687,1.3257524
62,0,6.620548,0,0.53168964,0,0,0,2.1304686,3.1504672,0,0,0,0,0,0,3.4313514,0.48957738,5.169426,1.5948073,0,10.129933,0,0,0,0.5215069,0,0,3.3875537,5.037942,2.601218,2.4291997,4.2109222,1.7931731,0
