x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031
393,0,2.2308922,0,0,1.3392506,0,0,0,1.5984334,1.5410947,3.5321746,0,0,2.233761,0,0.51179236,0,0,0,0,0,0,0,0,0,0,2.360658,0,1.8320913,0,2.394858,0.24097735
394,0,4.2409725,0,9.356851,0.20389736,2.9030566,3.5370603,0,0.63189286,0,0,0,0.2463931,0,0,0,0,0,0,5.8094244,0,1.5099998,0,0,2.2982266,3.556414,0,7.4528503,0,0.9203863,2.7425766,0
395,0,0.54929674,0,0,1.3708366,3.280587,3.2241051,0.74720687,1.6527069,0,0,6.1552463,6.29117,2.5983114,0,9.929631,0,6.483978,0,0.111965604,0,2.9063575,0,0,0,0,0,5.9101872,0,0,0,4.6019244
396,0,0,1.086717,0,0.32088903,0,0.96964604,3.6400836,7.135593,0,0,2.1436574,1.8269194,0,0,1.2821226,0.04336719,2.6274858,0,0.9970842,0,0,0.74038196,1.5960606,5.24852,4.0176606,0,0.28317565,0.867994,0,2.162612,0.5424987
397,2.4648523,0,0,0,0,2.4261477,0,0,0,3.5431807,0,4.3112526,0,0,0,4.4510736,0,0,0,0,0,0.003158659,0.70998794,0,0.4449587,0,0,3.1885138,7.3707347,4.3720546,0,0.02587405
398,2.317394,0,0,2.026301,0,5.745923,0,0,2.1066322,0,0,1.3170924,0,1.942607,0,0,0,6.0481963,0,3.2654572,0,8.698194,0,1.7179075,0,0,0.6839445,0,0,0,1.4944721,0
399,0,2.9045525,0,2.0729077,3.8621545,2.1655827,0.20172572,0,0,0.12525056,0,0.37381408,0,0,0,2.4930205,0,0,2.2420073,0,0,0,0.3898702,0,5.104211,2.9930599,2.116611,0,0.80451447,0,1.9153578,0
400,0,6.280501,0,0.3658552,0,0,0,0,0,0,5.2839184,0,0,0,0,0,6.297903,0,0,1.2748793,0,0,0,0,0,0,1.0672629,1.3317165,0,0.18741196,0,3.009806
401,0,0,0,0,0,0,1.7469325,14.467372,0,0,0,0,4.3376274,0,9.794903,1.628327,0,2.3545582,0.70730275,0,30.072773,0,4.141872,0,0,0,0,8.67559,0,0,0,4.519127
402,0.28086925,0,0,2.5130372,0,0,0.91374713,8.761383,0,0,0,5.2011094,3.6309366,0.014626702,0.00242567,0,0,0,3.780512,0,15.090465,0,0,1.487592,0,0,0,2.789817,0,0,0,0
403,0,1.7839259,0,6.5476713,0,1.2568405,0,0,1.3091477,0,0,0,0,0,0,2.126156,3.426557,0,0,0,0,0,0,2.661771,0,0,1.4071294,0,0,0,0,0
404,0,0,0,1.2959324,0,0,0.3324589,0,0,0,0,0.86563265,3.477972,0,4.726336,0,0,0,0.23959655,0,0,0,0.68690133,2.8370278,3.0885127,0,1.6030501,0,0,0,0,0
