x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052
1010,0,0.21745114,0.9967243,0,9.571914,0,0,1.829324,6.311459,0,0,2.7903655,0.00119872,0,0.6359633,3.4595835,0.09851723,0,0.5482958,0.84433675,1.7382939,0,0,0,0,0.18727155,0,0,0,3.1467323,0,0,0,0,0,0.61116064,0,4.394661,2.374598,1.842175,4.6665483,0,5.1690826,0,0.73140776,0,0,0,0,0,0,0,10.922848
1011,0,0.20901152,0,4.021345,0,0,0.33188394,1.8131429,1.9411153,0,7.992379,0,0.3003013,0,5.2179294,0,0,0,0,0,0,0,5.9200373,0,0.5193295,0,0,0,3.7475972,1.5551553,0,0.6613061,0,0,0,1.5719543,0,8.885366,0.1285532,1.0008559,0,0.7056001,0,4.9700303,0.75405,0,4.092578,0.6614218,1.7612392,0.08029135,0,1.9009634,0
1012,1.6113039,0,0,0,0,0,0,0,5.7831182,0,3.6653993,2.2619393,0,0,3.4241073,0,0,6.9579844,0.8465963,0,0,0,0,0,0,0,0,0,0,4.066992,0,0,0.8898868,0,0,0,0,2.7244134,0.27542084,1.1546158,2.6561742,0,0,0,1.018069,0,0,0,0,2.2534237,0.730794,0,0
1013,0,0.36446917,0,0,0,2.5072272,0.17336302,0,4.646154,0,0,4.256407,0,14.019775,0,0,6.0739,0,0,0,1.1163481,0,0,0,0.62940615,8.123006,0,9.204695,0,0,0,0,3.0822823,2.915276,0,0,0,0.335545,0,0,0,0,6.060694,0,0.4994381,0.92080384,0,0,0,0,0,0.05776748,0
1014,1.4582565,0,0,5.8440323,3.6830113,0.79627126,0.9020464,2.370315,2.5831602,0.46992877,0,0,0.9948444,0,0,2.8490958,5.7125077,0,6.137726,0.04978228,0,0,0,0,1.7254584,0,5.9421463,0,0,0,1.7518253,0.520253,0,0,0,1.8621598,0,0,0.31173116,0,2.6009467,0,0,4.4030304,0,0,0,0,0,0,0,0,6.1974535
1015,0.18936147,0.41756058,0,1.2656623,8.447413,0,0,0.6258089,0,0.11652109,0,6.225701,4.8415885,0,0,0,0,0,2.5947685,0,0,0,0.6094035,0,1.1651654,11.248716,4.638761,6.1835303,4.8330245,1.0999653,0,0.97818995,0,0.78184783,0,0,0,0,1.306878,0,2.1812975,2.957977,0,2.3822381,3.001018,2.4916022,0,0,0,0,16.369955,0,9.7179785
1016,0,0,2.0417383,2.0938427,0,0,0,0.34814698,0,0.1335885,7.076513,5.18659,0,0.13303047,0,0,2.170124,0,5.2517037,1.89901,5.2866306,0,0,0,0,0,10.241699,0,3.1463318,0,1.8352466,0.19976588,0.4763377,0,3.521797,0,0,0,0,0.0686414,0,0.117094345,5.0025034,0,0,1.3565567,5.0595865,0.14150506,4.632646,6.449296,0,0,0
1017,0,0,4.8757586,2.3474498,0,0,0,1.4877752,0,0.9319422,0,0,10.475692,0,7.4450974,1.7198709,0.6810949,3.4925878,0,1.276305,0,1.9606081,0,2.4427638,0,0,0,0,0.10800118,2.536589,0.97863424,0,0,0,2.2624273,0,0.9043136,0,0,0,0,0,0.08362103,0,0.3829126,0,0,0.7863678,2.9139926,0.22528291,0,0,0
1018,0,0,2.361875,0,0,2.0139766,10.931223,2.9167738,0,0.1056911,0,0,2.7680736,0,2.4554486,4.4670415,19.849934,10.978403,12.712378,0,1.1289743,0,5.91546,1.58148,0,0,0.30682436,0,0,0,0,0,0,0,13.437005,0,12.420054,0,0,3.1236506,0,0,0,0,0,0,0,0,0.63560534,0,0,0,0
1019,1.0725201,0.26715225,5.56268,0.9472331,0,0,4.862895,7.259999,1.431648,0,0,0,15.141463,0,4.7371984,6.665866,0.546966,0,8.406278,0,4.6407557,0,0,0,0,0,0.15723625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2283629,0,0,0,0,0,0,5.9392276,0,0
1020,0.23101291,0,0,0,22.058426,2.5862222,0,0,0,0,6.4389663,1.2205025,0,0,0,0,0,0,0,0,0,2.1193836,5.865856,3.3828783,2.342503,9.599818,0,11.744821,0,0,1.15262,1.222017,1.3080442,0,0,0,0,0,3.4649765,1.378395,0,0.21855207,0,0,0,0,0,0,0,0,0.81020296,0,0
1021,0.10782007,0,0,0,0,4.1111317,0,1.7391045,0.49894863,0,0.45646393,0,0,1.429481,0,4.2349,3.1659405,0,2.4817553,0.9073421,1.3345354,1.5548084,0,4.02513,0,0,15.405876,4.162031,1.3233701,0,0,3.535515,1.8920702,3.8182569,0,0,0,2.688797,0,5.1707697,0,0,2.2022216,0,0,0.21509393,4.296378,0.7138324,5.9089456,3.6043243,0,0,0
1022,0,0,2.2324522,0,2.821418,0.36696827,0.8389459,5.3271985,6.258509,0.14531817,0,0,9.47796,0,0,1.5768744,0,3.4030387,1.8067636,0,0,0.7043385,11.199286,6.7350097,0,0,0,0,0,1.5534443,1.3086742,0,0,0,15.332445,0.15294188,1.5764153,5.5463066,1.6402537,8.053061,0,0,0,0,0,0,0,0,2.8688073,8.050284,0,4.527417,3.44147
1023,0.055671472,0.1266054,2.7976155,0,0,0,1.7227254,0,3.4716542,0,11.704817,0,19.758087,0,5.9653864,0,0,0,7.1191745,0.17068335,0,3.420784,0,0,0,0,0,0,0,0,6.5405946,0,0,0.8997113,2.3428507,0.08403022,1.5511304,0,0.36894074,1.7882285,0.9696169,2.616123,0,3.2577362,0,0,5.358567,0.37629813,0,0,2.695989,2.396728,0
1024,0,0.30666032,0,4.6822762,24.673677,0,0.761479,1.3968967,8.921851,1.0377719,0,1.1078147,0.49607491,0,0.49116278,0.57428515,4.5078015,0,7.107597,0,1.8647168,0,4.6708727,0,0,0,0,0,1.501264,6.099334,0.616132,0,0,0,0,1.6004914,0,2.9424784,0,0,0,0,0,0,0,0,5.4938946,0,0,0,0,0,0
1025,0.40024164,0.062344503,7.776892,0,0,0.90035063,0,0.3546314,0,0,0.39065903,0,0.03393399,0,1.9123385,0,2.9458995,0,2.4201403,0.97154486,2.4612682,0,0,1.8502014,0.78721887,0,14.777054,0,5.8947453,0.4712326,4.4276876,0.9602367,0,0,0,0,6.8531523,0,0,2.0555413,4.4643755,0,0.682254,0,2.211193,0.54833084,0.71652466,0.07106278,0,3.121875,0,1.445638,10.268196
