x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053,y0054,y0055
1053,1.334076,0,0,0,0,0.08845211,0,0,0,0,0,2.1302044,0.31371805,3.7248862,1.845813,1.28695,0,2.7660077,0,0,0.039857563,0,0,0,0.029141283,0,0,0,8.60961,4.7430015,0,0,0,0,0,2.5001903,1.9039687,2.7221625,0,1.1190251,0,1.8493797,0,0,0,0,0,2.4885907,0,4.252633,2.58291,2.7432332,1.174574,1.0863113,0.1444177,0.16965482
1054,0,0,0,0,1.091632,0,4.988151,5.272176,0,0,2.2531624,0,0,0.5298001,0,0,0,1.7475922,0.11657192,7.3162937,7.5441847,0,0,0,0,2.675944,0,0,0,0.7740035,0,0,0.5754162,9.575579,0,0,0,1.1447034,0,0.7272505,0,4.5825934,0.7826979,0,0.024831112,0,0,2.9027264,7.175965,0,0,0,0,0,2.620952,4.701756
1055,0.0690399,2.576167,0,2.759773,0,0,0,0.9868325,0,3.5808442,0,3.4633627,17.61677,6.4654884,0,0,0,0,0,5.6964087,4.3736043,0.8930899,0,0,0,0,0.9605479,0,0,0.6980832,0,0,0,0,0,0,0,0,0,1.9485973,0,0,2.1643858,0.46632242,3.083752,0,0,15.996826,6.0820756,0,0,0,11.386925,0.13702978,0,0.17669402
1056,0,0,2.9933634,1.4861181,3.8879845,0.9769252,0,0,0,0,0.2661497,8.068855,0,0,2.3147066,0,0,0.8744189,0,12.115586,0.95467794,0,0.48817617,3.179393,0,0.5457586,3.4352818,0,0,2.985363,0,0,0,5.679003,0,0,0,0,0,0,0,0.025299983,0,0,0,0,0.8844474,0,6.187479,0,0,6.559311,0.16345336,0,0,1.3342535
1057,0,0,0,0.0861747,0,0,3.0499914,0.8264987,0,0,0,0,10.552917,1.9311947,0.46706516,0,0,0.3400737,1.925664,0,0,1.5689384,0,5.234189,0,0,4.386101,0.42064583,0,1.5025892,0,0,0,0,0,0,0,0,0,0,0,4.0256386,0,4.831193,0,2.2893631,0,4.3902874,0,0.9514854,6.596415,0,0,0,0,1.0391892
1058,0,0,0,1.455229,2.5826674,0,4.2502475,2.462156,0.34502837,0,0,0,4.630299,0,0.13899712,0,0,0.99908143,2.5868483,0,0.20898741,2.530653,0,0,0,0,0,0,0,0,1.2319502,0.6650794,0,0.3882636,14.0130415,0.45443073,0,0,16.430893,0,0,0,0,0,0,0,0,5.5142097,0,0,4.3831515,15.448126,0,2.5715525,2.2761245,2.0316553
1059,7.2887692,4.413515,4.7349515,0,0.9228722,0,0,0,0,0,2.7186825,0,0,4.1649065,0,1.8126806,0,1.8334002,0,0,0,0,0,0,0,0,1.3314012,0,3.841591,0,0,2.0845702,7.1864963,3.2131937,0,0,0,0.5727509,0,0,0.9924369,0,0,0,0,2.291874,2.4724994,0,0,1.07148,0,0,0,3.2153482,0,5.402787
1060,0,0,0,2.3629813,0,0,0,4.97109,4.249037,0,0,0,0,0,0,0,2.622621,5.4029193,2.7210824,0,10.354339,0,5.145865,0,0,0,0,0.6454068,3.5915504,0.39430565,1.1418272,0.6388897,2.0973,8.6991825,0,1.4132944,1.5790657,0,0,1.3076977,0,0,0.42586905,0,0,0,0.5337893,0,5.841233,0,0,0.17995098,6.2352777,0,0,0.097261615
1061,3.2868843,0,0,3.1606438,1.6390829,0,0,4.5574822,0,0,0,3.801584,0,6.311313,0,0,0,0,2.518372,0.9405775,6.8187585,0.18986928,0,5.382428,0,0,1.5251173,2.4883146,0,4.709023,1.2708092,0,0,0,0.2984766,1.3088642,0.9153959,3.3146226,0,0,2.1406164,0.27428094,0,0.36920902,0,0,0,0,1.808326,1.8221247,0,3.401151,3.4579546,0,1.742407,0
1062,0,0,0,2.8315215,0,0,3.3477616,0.051252246,1.276509,0.781736,3.9002726,0,5.1539283,0,1.1317723,2.5747726,3.217124,0,0.3648292,0,0,0,7.4712367,1.5770878,0.60780513,0.6059007,0,2.665982,0,0.2082739,1.9789104,0,6.3352184,0,0,0,0.6447332,0,9.126264,0,10.321557,0,0,0.6672608,0,0,0,0,1.9172789,0,0,1.0160586,0,0,2.2077258,0
