x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053,y0054,y0055,y0056,y0057
348,15.774541,0,1.0535442,0,0.14488351,0,0,0,0.5901473,0,0,0.2964935,0,0,0,0,0,0,0.22256836,0,0,2.0303733,8.795104,0,0.8929345,0.75600153,23.730366,0,0,2.0090082,1.5849524,0.50296474,17.367556,1.8748477,0,5.300996,0,0.13272198,0,0.7548919,1.45196,3.742509,0,0,4.904869,0.001194316,0.5795944,3.1836407,0,6.6278663,0,0,0,1.5205307,2.6793494,0,0,0
349,8.507361,0,1.9419272,11.177634,0,0,0,0,0,0,0,1.5261985,0.87447536,0,0,0,0,0.40227306,0,0,0,0.82634556,7.041323,3.7502792,0.30820346,0.8513614,18.064701,0,0.11802234,8.352734,0,0,9.964327,0.47547662,1.327718,7.3486032,0,0,1.7911013,1.4377286,0,0.5692956,0,0.20231405,0,0,0,0.5984672,0,0,3.947563,0,0,0.9778674,0,0,1.0936517,0
350,7.9312944,14.876906,0,0,0,4.585366,0,0,0,2.659632,0,0,4.171896,0,0,0,0,0,0.2449703,0,0,0.06507784,0,0,0.27492476,0,0,0,2.0583472,1.4622576,0.28025243,0,7.535238,2.994752,6.5684958,8.096699,0.39148256,0,2.6805108,1.0587771,0,2.4630172,0,0,0,0,0,0,0,0,0,0,0,0,0.12818943,0,0,0.76175135
351,8.400225,0,0.17283759,0,2.0615587,0,1.2541126,0,0,0,0,1.9581237,0,0,18.988811,0,1.4083054,0,0,0,0,1.6331594,8.36345,0,1.8298082,1.4395522,0,3.2289238,0,1.515546,0,0,0,0,0,0,0.9865864,2.0033112,4.2107687,0,0,0,0,0,0,0,0,0,0,0,2.4711614,0,2.7109544,0,0,0,0,0.8460943
352,7.090747,0,0,0,0,7.567766,5.264825,0.14873429,0,0,2.3125732,6.8661447,0.23915093,4.3677735,0,6.1626577,5.4754925,5.0898037,0.6420059,0,0,0,1.7806638,0,0,0,16.470627,0,0,0,0,1.9983969,41.696087,0,0,21.198107,0,1.7179416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9677745
353,10.192909,0,0,14.568287,0,0,0,0,0,0,0,0,2.5329638,0,7.231817,0,0,0,0,0,0,0,0,0,3.2999425,0.5399379,11.620315,0.35879397,2.9134402,5.530963,1.0740236,0.7251046,13.92432,0,0,8.946742,2.4790652,1.1591297,0,0.3028323,0.87582994,2.095893,0,0,0,2.047906,2.6446908,2.2864785,0,0,0,0.97878695,0.23480728,0,1.430723,0,4.385665,0
354,5.4783077,2.148978,0.47436434,0,0,0,0,0,0,0,0,5.857906,3.0111215,0,8.2188225,0.48624307,0,0,0,0,0,0,3.9592538,0.3240998,7.4960546,0.4682505,17.13684,0,0.00221809,0,0,0,8.907799,0,0,4.1268067,0,0,0.55923504,1.3473601,0,0,0,2.2822242,0,0,0.0539592,0,0,0,0,1.1987356,0,0,0,0,4.210239,0
355,0.6851813,0.9784962,3.0163949,0,0,0,0,0,5.119193,0,10.269599,6.991958,0,0.18756962,0,0,1.7533295,0,0.21989639,1.5668204,0,0.8456359,0,3.9434679,8.485701,0,18.959835,0,0,0,0,0,1.5678343,0,0,11.231968,0,0,0,0.5951626,0,1.3297094,5.516844,1.6001968,0.86910444,2.6428454,0.38173804,0,8.717882,17.044334,9.60978,0,3.7457662,0,0,1.9474692,0,0
356,5.987863,0,0,2.8578136,13.398253,2.3069742,1.4695383,0.35071787,2.5732968,0,0,6.796442,0,3.3184912,0,0,1.5011641,4.106778,0.12728618,0.69998753,6.313633,1.3668082,0.63430727,0,15.264402,0,1.8617504,0,0,0,0,0.70636404,8.227831,0,0,2.3011966,0,0,0,0,0,0,12.431468,1.3930594,4.344927,0.4481109,0.19929308,0,4.1443715,0.108250126,3.4990456,1.761161,0.9777646,0.024162417,2.0354636,3.2231932,4.5424223,0
357,5.9115477,0,0,0,0,0,0,0,4.389662,0,9.866498,14.938828,0,9.389633,17.950434,0,0,1.2288582,0.4150368,0,8.5389185,3.8233573,13.1640415,0,20.226799,0,15.615597,0,0,0,0.2992916,0,19.507006,0,0,15.318466,0,0,0,0,2.0121539,0,8.603283,0,16.054457,2.382203,0,0,12.217594,2.2001092,16.958054,1.7832571,0,0,0,1.9312577,1.0134435,0.8983554
358,7.7942247,0,0,0,26.634138,0,0,0,0.7615173,0.91152644,0,8.313724,0,0,0,0.27019462,0,2.890901,0.87477136,0,0,7.4319134,0,0,13.530217,0,16.139439,0,0,0,0,0,7.335646,2.8004825,0,2.112263,0,0.26917064,0,5.7134643,0,0,0,0,6.820187,2.5654511,1.04226,0.32130405,0.6864907,0,10.161774,0,0.30358705,0,1.9769051,0.15227146,0,0
359,0.68159026,0,0,7.0246024,0,0,0,0,0.6119371,0,0.7631457,5.6222067,0,8.032331,0,0,0,8.003207,0.15884657,0,1.6938658,7.2139406,6.388433,1.0504534,9.823159,0.34233755,15.39397,0,0,0,0.32545814,2.0484655,9.442307,0,0,12.12427,0.55426335,0,2.103364,11.493293,0,0.16698797,2.9653647,2.6129138,0,0.38619164,1.167475,0,4.539136,2.9106643,0,0,2.6255548,1.3037617,1.4299437,2.5428622,0,1.2531329
360,1.5731528,1.8186842,2.001243,0,0,0.91593623,0,0.26260424,2.2690952,0,3.4414852,4.9500017,0,1.4259722,0,0,0,0,0.839604,0,0,7.8181343,0,0,6.1310573,0,2.652221,0.932008,0.77491355,0,0,0,2.4493098,0,0,6.841223,0,0,0.07794073,5.506867,0,1.0809131,0,0,0,0,0.81213975,0,0,0,5.7280087,0,0,0.033833154,0,3.0298939,5.835869,0
361,1.9750166,10.190338,6.4087443,0,0,0,1.9376284,0,0,23.914124,0,5.7342243,0,0,21.793056,0,0,0,0,6.549687,0,2.0613449,0,0,0,0,0,5.9410906,1.2996387,12.020766,0,0,0,9.091367,7.7544146,0,1.9518025,0.06763546,4.456306,7.485119,0,0,0,0,0,0,0,0,0,0,0,0.7492031,0,0.7907692,0,0,1.6448195,0.5997518
362,1.1659033,12.248036,0,0,0,0,0,0,0,0,0,0.011617648,1.6435529,2.1609654,0,0.27203652,0,0.93818253,0,0,0,5.7857437,0.4030321,0.6012389,4.8835645,0,21.380348,0,2.3562903,1.3952373,4.071104,0,5.2528744,0,0,0,0,0,0.6125025,2.4652567,3.3105514,0,0,0,0,0,0,3.55283,0,3.7352986,4.397526,0,0.801028,0.9688989,0.736618,0,0,0
363,3.689321,2.696696,0,0,0,13.472766,0,0.1814941,0.3319083,0,1.2551137,4.2288384,0.35215232,1.6048514,13.822249,2.5436528,0,0.47369015,0,0.9037555,0,0.52154315,0,9.502886,2.40253,0,11.727721,0,1.2652342,5.937384,2.2431488,2.8974297,0,0,9.189729,0,1.8737965,0.37420693,6.4569163,3.2022698,0,0.5046207,0.40119156,1.0924245,0,0,0,2.851313,0,0,0,0,0,0,0,0,0,0
364,4.335809,27.171383,1.3666321,0,0,0,0,0.08676909,0.96774995,0,0,2.7743723,0,10.532013,7.875194,0.8492458,0.6548547,1.5441664,0.015054395,0,0,2.5461893,10.745995,0,1.4995776,1.9411925,30.90379,2.8040528,0.6016447,0,0,0.65027493,2.1705487,0,0,0,0,0.9248843,4.5361333,8.848492,0,0.47340497,0,0,2.1822603,0,1.0817332,2.3618104,0,1.5410191,0,0.4312333,0.003934993,0.7056556,0.21364056,0,0.4801469,0
365,8.131986,0,0,0,0,0,0,0.3294997,0,0.3497948,0,1.2894706,0.9645869,0.027906807,0,4.311121,0,6.512988,0,0,0,1.4805975,3.387605,3.5110643,2.0878906,0,13.634366,0,0,0,1.7120856,1.2220433,1.9454213,0,1.5801973,0,0,0,2.8028114,2.8586423,0,0.32281977,1.9332188,0,0,0,0,0.063827954,0,0,0,0,0,0.25934795,1.2983447,0.31936836,2.5618815,0.44441238
366,3.333782,0,1.7242565,0,20.343546,0,0,0,0,13.5329075,0,0.2577331,3.490396,3.6366417,2.6268966,0,0,0.28122687,1.5241199,0.8533554,12.58339,0.12337233,0,6.227875,0,1.3118804,11.037207,0.38168657,1.2792414,1.8401842,0.49431565,0.7249199,2.1168,0,0,2.0740116,0.49435452,0,12.1374235,0,1.7120597,0,0.91315126,2.2964494,0,0,0,0,0,0,0,0,0,0,0,0.49039963,0,0
367,0.46226773,0,0,8.205856,0,0,5.886138,0,0.22528765,0,0,1.572698,3.1920247,0,0,0,3.1126769,0,0.5972681,1.8089728,0,0,0,0.673666,0.91402096,0,9.778921,0,0.17820309,0,1.4456801,1.6168777,0,0,3.3204267,0,3.2277858,0,1.6201384,2.7130234,0,1.8122246,0,0,0.8693821,0,1.1626922,3.8164897,0,0,0,0,0,0.16457199,0,0,5.6187143,1.0259377
368,3.2983434,55.072075,0,6.4034076,0,3.6104589,1.3700193,0,0.36203986,0.3884826,0,1.4416866,0.32078165,0.7072646,0.39001602,0.9792404,0,0.4703198,0.19701853,2.1269906,0.8501471,0,0,0,0,0.2865624,2.2733846,0.63458,0,0,0.85664904,0,0.8991667,5.818427,3.1508887,0.11405623,2.2222962,0,2.7947803,0.9465166,0,1.5137312,0,0,0,0.6542775,0.3608699,0,0,1.8392606,1.6869379,1.1301674,2.0097122,0,0.003140423,0,0,0
369,0,0,1.1602112,0,0,0.76744735,2.8361833,0,0,0,0,1.1000885,2.7566712,0.97018975,8.958804,1.4273331,0,0,0.16310535,1.4751765,4.5771203,0,0,6.186567,0,0,9.261061,0,0,0,0.09512021,0,0,0,3.1245797,0,0,0,4.881929,1.0562651,2.790012,0,0,2.315705,2.512971,0,1.289177,1.3310794,0,0,0,0,0,0.27740362,0,0,0,0
370,0,1.9063218,0.48917714,0,0,0,0.2255792,0,0,0,0,0,6.138906,0,0,0,0.55104375,0,0,0,0,0,0,3.7926197,0,0.25715515,0,1.2080702,0,5.4719195,1.3787379,0,0,0,0,0,0,1.6204569,6.6850567,0,0,0,10.3693495,0,1.9101782,0.67615473,0,0.66666657,0,0,0,0,0,0,0,0,0,0
371,0,9.236047,2.4509084,0,0,1.0085702,0,0,0,0,0,0,0,0,1.4991606,0,0,0,0,1.7075814,0,0,0,4.8214107,0,0,0,5.46994,1.8810452,4.920042,0,0,0,6.9811707,14.011558,0,1.3715007,0.39431104,15.927228,1.2335467,0,4.484913,0,0,0,0.000229604,0,0,0,0,0,1.2555709,0,0,0,0,2.2911496,0
372,0,8.010876,5.745772,15.996118,5.01365,0,0,0,0,19.31885,0,0,0,0,0,0,0,0,0,2.9449074,0,0,0,0,0,0,0,3.0896108,0,0,0,0,0,0,6.167019,0,3.3846781,1.4302223,8.371472,4.882204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4231277,0
373,7.4078307,0,0,0,0,0,0,0.7697659,0,0,0.8147479,5.2998524,0,8.616348,40.96233,0.003395509,0,2.142065,0,0,11.083904,0.90158516,19.833786,0,0,0,23.563507,0,0,0,0,0.102715075,0,2.1054869,0,0,0,0,9.543047,5.7476234,0.38862765,1.2510029,0.906423,0.67495716,0,0.7784598,1.1230583,0.28261125,13.883535,12.414972,14.91951,0,2.4569135,0,0.3591335,4.350565,0.75282973,0
374,0,15.522658,0,0,0,0,2.4099631,0.26499534,2.8581905,0,5.7712703,6.8362026,0,16.393166,2.566747,0,1.7807765,4.8466578,0,0,2.7397614,0.6038339,6.7707567,0,0,0,10.232715,0,0,0,0,1.3323346,5.912568,0,9.961777,10.70613,0,0,0,0,0.61773515,0,5.3184714,0.16301607,4.244195,3.1269746,4.9976697,0,10.710659,0,12.477728,0.36281797,0,0,0,3.9174852,0.72516096,0
