x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028
475,0.22935258,2.169055,0.4534758,0.16740893,0,0,0,0,0,0.09184367,0.8705749,0,0,0,0.837863,0,0,0.6969939,1.3803755,0,0.89292294,0,1.2635564,0.41855085,0.06724956,0,0.090079695,0,0.67468536
476,0,0,0.5232273,0,0,0,1.6580553,0.37091115,0,0,0,0,0,1.2452341,1.9982734,0.059788488,0,0.9095506,0,0.8432488,0,0.94421035,0,0,0,0,0,0,0
477,0,0,0,0,0,0,0,0,0,0.91161764,0,2.0711884,0.8129285,0,2.6570423,0,2.198439,0,0,0,0.2084697,0,0,0.9131127,0,0.025897272,0,1.856902,0.6828875
478,0,0,0.7852479,0,0,0,0,0.5191238,0,0,0.38875908,0,0.47573882,0,0,0,0,0,2.6985424,0,1.0434756,0,0,0.35477373,0,0,0,0,0.32026333
479,0.46085766,0,0,0,0,0.89246315,0,1.3174301,0,0,0.10205548,2.23633,0.24584346,0,2.5156922,0,1.1735407,0.7874348,0.16692412,0,1.4100708,0,0,0,0,0.6574185,0,1.2253344,0
480,0,0,0,0.37941533,0,0,0,0.32965207,0.62895006,0.7913393,0,0.69556093,1.2087451,0.64200056,0,5.5352006,0.11146944,0,0,0,1.9438249,0,0,0,0,0,0,0,0
481,0.20548299,0,0,0,0.4212982,0,0,0,0,0,0,0,0,0,0,5.5840974,0.74536026,0,0,0,0.9346762,1.4395442,0,0,0.96539986,0,0,0,0
482,0.49937683,0,0,1.5305132,0,0,1.7056212,0,0.4191135,0,0,0,0.7551821,0,0,3.0704484,0,0.5604599,5.544618,0,0.38593495,0,0.8447817,0,2.2193701,0,2.363599,0,0
483,0,0.004048111,0,0,0,0.12556787,2.7381475,0,0,1.3597082,0,0,0,0,0.95160717,0,0,0,0,1.3297662,0,0,0,0,0,2.5433128,0,0,0
484,0.38510844,0,0,0,1.5349786,0,4.41705,2.4413679,0,0,0,0,0,0,0,1.711628,0.9436207,0,0,0,0,0,0,0.79209995,0,0.030932482,0.54023665,0,0
485,0,0,0.2391123,0,0,0.73062897,0,0.2601404,0.2761054,0,0.39858446,0,0,0.69826895,0,1.1057341,3.1913562,0,3.669655,0,0,1.0572604,2.0228877,1.165322,0,0,0,0,0
486,0,0,0,0,0,1.249335,1.9787185,0,0.39268026,0,0.5743892,0.16897725,0,0,0,0,0.45224762,0.4111882,0,0,0,0.8298171,0,0.6053021,0,0,0,0,0
487,0,0.5473442,0,0,0,1.334231,0,0,0.7777854,0,0.00926401,0,0.048060644,1.5224454,0.8594225,0,0,0.90667284,1.8644053,0,5.1972456,0,0,0.47139275,0.20776285,4.303167,0,1.1184527,0
488,0,0.13886876,0,0.005684407,0,0.3846313,0.70025474,0,0.7826988,0.003002619,0,0.23511751,1.9394886,0,0,2.5707889,0,0.23763728,0,0.9294414,0,0,0,0.6381106,0.112394355,0.709292,0,0,0
489,0,0,1.2373239,0,0,0,0,0,0.21978875,0.8600317,0,0,0,0.6183517,0.6565216,0,0,0,4.4241385,0,0,0,0,0.26427448,0,0,1.414627,0,1.1860076
490,1.4905573,0,1.1900102,0.83816403,0.026409434,0,0,0.616796,0,0,0,0,0,0.31366104,0,0,0.017079873,0,0,0.09062731,1.0424953,2.2768483,0.016577937,0,0,1.1036497,0,0.5473375,0.5444035
491,0,0,0.41304672,0,0.051385682,0.5277143,4.991338,0,0.25024423,0.84152025,0,2.7016757,0,2.0253425,0,0,1.4201413,0,0,0,0,0,0.4026737,0.854578,0.87962806,0,1.2628342,0,0
492,0,1.3797319,0,0,1.3854598,0,0.054786116,0.43381682,0,0,0.9516437,0,0.31101784,0.593119,1.2187452,0.010269637,1.5173122,0.60345083,0,0,0,0.16684048,0,1.7837082,0,0,0,1.1397543,0
493,0,0,0,0.5981851,0.659149,0,0,0.8544975,0,0,0,1.5487703,0,0.1631683,0,0,0.80199724,0.518421,0,0,0,0,1.704945,0.09934582,0,0,1.1445707,0.86313665,0
494,0,0.98527014,0.027549861,0.6135248,0,0,5.2046337,0,0.68357176,0,0,0,0.64872277,0,0,0,0.6282431,0,3.3756714,0,0,1.3105754,0,0,0,0,0.41201586,0,0
