x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053,y0054,y0055,y0056,y0057,y0058,y0059,y0060,y0061,y0062,y0063,y0064,y0065,y0066,y0067,y0068,y0069
701,0,1.3028132,0,1.5842305,0,0,1.12111,0,0,1.7846555,3.7551765,11.613052,0.17753522,0,0,0.7177996,0,0,0.7926481,0,0,8.93994,0,0,0,5.14168,3.5059588,0,0,0,0,1.6403382,0.4552651,0,0,0,0.45685863,10.807078,7.316596,2.802806,0,1.4991857,0,0,3.9779513,0,0,8.958876,0,0,0,0,0.8422001,0,10.358245,0,0,0,7.298778,0.76920414,0,0.5671326,0,0,0,0,0,0,0,1.8835497
702,0,1.3165995,0,0.21513923,0,0,1.9280885,0,0.26573768,0,0,0,0,0,0.5389157,0,0,0.9437936,0,0,8.903307,0,5.4600945,0,0,0,3.613859,0,0,0,0,0,3.1301694,0,0,0,0.8234953,0,3.1127934,4.4769077,0,0.4352021,0,2.8999994,0,2.1099644,0.9490103,0,3.9912674,0,0,0,4.2446265,0,0,0,0,0,0,0,0,2.3255122,0,0.63781375,0,0,0,0,0,0
703,0,1.4904954,0,0,1.2616841,0,0,0,0,0.36004278,0,4.389857,0,0,0,0.7950753,4.3845925,0,0,0,0,0,0.7092254,3.5376139,0,0,1.9844697,0,0,0,0,1.6427524,0,0,0,3.345103,2.4184794,3.3149073,3.8914325,0,0,7.12457,0,2.6029644,2.0731523,4.7689247,0,0,19.439789,0,0.6919731,8.421305,0,0,0.9560575,4.355248,2.4526045,0,0,0,0,6.773601,0,11.344838,2.9796684,0,0,1.1188918,3.1222167,0
704,0,0,0,1.4313816,0,0,0,0,0,0,1.9239528,1.15406,6.295728,0,0.41120413,0.8262986,0,0,0,1.1542037,1.3309598,0,4.009835,1.2815462,0,5.965738,4.531314,0,11.603034,0,0,0,3.7173696,0,1.2379681,2.949894,0.6302577,4.4698486,1.2284786,6.3231907,0,0.33675224,0,15.183379,1.9190861,5.571016,1.9555364,0,5.9777718,3.603349,0,9.972004,0.36269695,0,5.6423955,0,0,0.90410066,7.2052,0,0,6.751581,0,3.2077909,0,0,0,3.3035827,0,6.2467203
705,0,0,0,6.2960405,0,0,0.92718816,0.48896345,0.8682509,3.6077037,4.114783,5.31577,4.259691,0,0,0.2311002,1.2094316,1.8083607,0,0,1.7248939,7.55135,17.249062,1.3362862,0,0,1.5162636,0,19.949295,0,0,0,15.60193,0,0,1.33581,5.275038,2.9905913,3.9401283,14.056775,18.300123,8.837854,3.4414933,5.263936,4.8316503,26.033714,3.4924738,0,4.5568395,9.168114,6.519787,2.8123035,6.4403906,1.1181595,23.433365,3.4856105,0,0,2.9880853,0,7.558051,6.8520465,0,11.337053,0,0,0,7.1356363,0,16.726805
706,0.4376529,0,6.511582,5.574451,0,0,0,0.23266563,0,5.9584394,5.28023,2.5688212,9.367925,5.644882,1.2170659,7.5661497,9.115643,0,0,0,0.9590567,20.307692,16.86216,0,0,1.443588,0.8021346,0,12.961094,0.073075615,0,6.0887375,10.167342,0,0,4.7376385,0.06398652,0,6.4562197,12.054198,10.567208,10.610872,0,0,8.311352,13.148605,7.673659,0.9933227,10.008526,5.9845495,3.7165346,0,2.3565,1.6604121,22.89676,20.518375,0,3.6327682,17.333395,0,4.977405,5.624723,0,28.901024,0,2.1702392,0,0.98179364,0,20.065653
707,2.1805847,0.47119397,0,0,4.1099844,1.4184498,2.6495223,0.4629509,4.184084,11.557682,0.15696996,14.224722,3.0362864,0,0,1.8992065,1.3140335,0,0,0,5.3471866,0,4.9319277,1.2310165,0,13.941929,10.295611,7.2481623,15.752573,6.0948157,3.8820453,3.0879626,5.872161,9.980486,6.646512,2.143368,1.2755588,0,14.844074,11.245772,4.02181,2.6751473,1.2760328,10.479181,3.093092,3.9045236,4.631152,6.3382654,1.621914,0,6.60503,11.895755,4.7230825,4.2506275,7.678685,19.24964,7.5161476,8.476477,12.537843,18.138933,2.5352592,9.0799055,18.309359,15.960737,8.584045,8.683372,13.758391,7.8908935,1.5824317,3.6653306
708,4.398061,1.284142,0,4.7668605,11.944021,6.9283943,5.7725487,0.38798872,0,3.1674898,6.0411572,6.221197,0,0,0,7.761831,5.1444793,2.0756788,3.7480526,0,5.2351346,1.8190362,4.834623,0,0,0,8.293773,0,8.71734,0,0.39491105,9.245113,12.526052,0,0,0,2.3084612,1.6962239,16.690578,9.669618,2.8561325,3.4542353,0,0,3.5559099,9.283141,3.1356072,5.5604777,1.8470142,3.2902074,1.8881909,4.093628,4.190611,1.5947057,11.150823,0,0,4.6305146,2.1689548,12.988241,6.2720375,4.0192723,0,27.906637,13.838996,3.8878884,0,2.0451028,0,6.2531757
709,0,0,0.51787835,0.42504814,0,0,6.613772,0,0,1.4197274,7.281567,5.1292634,3.4610775,4.8289323,2.315992,5.1839867,10.148662,3.7047665,7.4899983,0,2.0505943,7.6038847,13.609938,0.4435961,1.650586,14.80822,8.710415,0.73064893,3.394817,14.315306,6.4112735,6.2363014,10.081779,7.1261578,0,2.8469427,1.6006508,11.814916,14.275593,19.292955,0,5.795052,0,2.5212474,5.641028,8.54427,7.930488,0.80973667,11.98969,0,1.6649945,0.11543048,3.508857,0,10.440638,0,0,5.0271316,10.711914,0,1.5764598,0,0,8.286923,4.6714377,0,0,3.5635302,0,16.91895
710,0,0,10.935483,5.3566594,0,0,4.479318,0,0,3.3546898,1.4505997,29.255636,6.0151844,0,0,3.409525,3.57282,0.7929813,11.955782,0,0,0.76723164,0,1.0558205,0,0,1.536017,0,0,2.0397346,0,4.6586785,11.619706,3.2315636,0,0,2.3343189,4.7482624,10.667731,11.316249,0.55244356,2.4351096,0.38203597,7.5693436,0,9.779586,2.9387093,19.358355,5.9441075,0.73385805,3.7384508,0,0,1.4487113,11.477061,3.7600098,5.285359,5.035028,7.442475,10.671381,9.977808,10.200298,8.899015,20.138777,3.3824697,0,0.8398661,0,0.91280854,3.3140233
711,2.223985,0,0,2.9196029,0,0.51511186,2.7041578,0,0,6.883643,2.8665206,5.643198,0,0,0,3.6554472,1.8091443,0,4.650357,0,0,9.267088,6.2020507,0,1.7510794,5.0029025,11.519235,5.7550983,0,13.553901,0,5.5284357,9.241068,0,0,0,0,12.85283,11.585839,0.2563386,8.379884,8.034916,0,0,0.9975914,16.587908,1.8402693,25.866114,8.132369,0,1.8519876,2.5464032,3.2305963,0,11.687772,0,0,1.3639296,4.5783715,0,1.9986408,13.441744,0,10.496089,7.9463367,3.6235976,9.955703,2.9963057,0.23643988,0
