x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024
112,0.73455125,0.6113873,1.4299781,0,0.9946727,0,0,0,1.1069797,0.5854045,0.8649581,0.3690656,0,0.5532277,0.8716944,0,0,0.67178845,0.7018115,0,0.9673072,0,0.44484317,0,0.12111729
113,0.57654506,0,0.1505056,0.34346613,0,0,1.7765455,0.87045753,0.90102595,0,4.9307666,0,0.92941606,0.29784346,0.19846086,0,0.9270403,0.23187363,0.64214426,0,0.101577304,0.4047641,0,2.8814993,0
114,0,0,0.7353333,0,0,0,0,0,0.999121,0.4649701,0,0,0,0.2721711,0.6452296,0,1.299311,0,0,0,0.1711364,0,0,0,0
115,0.2323711,0,0,0,0,0,0,0,1.7855878,0.34358412,0.41596955,0,0,0.2706143,0.37900597,0,0,2.5285504,0,0,0,0,0,0,0
116,0.27923164,0.33532545,0,0,0,0,0,0,0,0,0,0.7344976,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0.29514867,0.7081638,0.46923107,0,0,0.48697844,0.7422562,0,0,1.0241874,0,0,0.030422775,0,0,0,1.2298211,0.5638368,0.19369575,0.43650612,0,0.08667946,0.16151766
118,0,0,1.8495933,0,0.44106513,0,2.7002556,1.1173282,2.913858,0.46537244,0,0,0,0,0,0,0.15633677,0,0,0,0.3447646,1.2553481,0,0,0.6635458
119,0.17460576,1.1723552,0,0,0,0,0,0,0.07401039,0,1.7827744,0,0.66152894,0,0,1.2663554,0,0,1.4347498,0.20441964,0,0,0,0,2.1197426
120,0,0.48576942,0,0,0,0,0,0,0,0.03546409,1.2473699,0,0.32869107,0,1.2287364,0.12368574,0,0,0,0.3222441,0,0,0.25170612,0,0.41082153
121,0,0,0,0,0.2754109,0,0,0.77568847,0.5163153,0.24499571,0,0.6950316,0.19438861,0,0.81185055,2.8563163,0,0,0,0.6025483,0.86672014,0,1.2226146,0,0.55806464
122,0.16744134,1.1261852,0,3.418101,0.28584573,0.25813368,0.1047031,0,0,0.79002917,0,1.2234185,0,0.646839,0,0,0,2.5907483,0,0,0.068345495,2.1833255,0.30241218,0.9740415,0
