x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0025,y0027,y0028,y0029,y0030,y0031,y0032,y0034,y0040,y0042,y0043,y0044,y0046,y0047,y0049,y0050
39,0,0,0,0,0,0,0,3.7722769,1.4546428,0.19829084,0.37032056,0,0,0,0.61377543,0,0.61939365,0.45355782,0,0.26710904,2.8928275,4.0254016,0,0,0,10.0864525,1.0126401,3.7261379,1.0987381,3.3422716,0,0,2.0341804,2.84602,0,0,5.2411237,0,0,0.20849875
40,0.66350275,0,0,0,0,0,0,0,0,0.30662858,2.2370455,1.3741745,1.1360773,0.33497763,0,2.6912386,0,0,0,1.6179156,0.33674598,0,3.8262835,0,0,0,0,0,0,2.2192972,0,1.7914535,0,0,0.83570355,0,0,0,2.618729,0
41,1.6424919,0,0,2.842693,0,0,0,0,0,0,0.9747738,0,4.168582,0,1.1714131,0,0,0,0,2.4591918,0,0,0,3.2591155,4.486476,4.8100524,1.0799816,0,3.101509,0,1.6999749,0,0,0,0,0,0,0,1.5633019,0.32763803
42,0,0,0,0,0.68157357,0,0,0,0,0.56351054,0.81238025,0,1.8099163,0,0.16518185,0,1.2482879,0,0,0,0,0,5.6534486,0,0,0,5.5362864,1.3332622,2.135688,2.1088417,0,0,0,0.4779607,1.0827222,0,0,2.381584,0,0
43,0,0,0,0,0,0,0,0,0,0,0,2.4514174,0.8512083,0,3.3819296,0,2.4941034,0,0.017746592,0,0,0.60553974,0,0,1.0163121,0,1.0373822,0,2.7307198,9.818792,5.920246,4.4341664,2.7257147,0.59108025,2.9490707,3.110954,0,0,0,0
44,0,2.0660203,0,0,0,0,0,0,0.31187838,0,0,0,1.0638556,0,0,0,0,0,4.2410655,0,1.5799657,1.071714,0,0.8398381,0,0,1.7217432,2.1987064,0,0,2.043875,0,0,0,0,2.4417703,0,1.9856951,0,0
45,0,0,2.520577,0,0,2.4946427,0,2.5062635,0.20764285,4.9106765,5.197081,2.786925,0,0,0,2.6002667,0,0,0,0,0.032094378,0,4.34093,0,2.2127247,1.9464788,0,0,0.35265523,3.2662604,0,0.78331614,0,0,0,1.9097607,2.9731443,0.11504502,0,0
46,0,0.24931301,0.64296675,0,0,0,0,0,0,0,1.4325552,0,3.0561998,0,0,0,0,0.30775666,0.22040285,0,0,0,0,1.1793904,0,0,0,0,0,0,0.5313715,2.4703844,0,0.6533999,0,0,1.9620316,0,0,0
47,0,0,2.2724864,2.016483,1.287738,1.6355376,0,0,1.9163096,0,0.56435525,0,0,2.197954,0.031631473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0309496,0,0,0,0,0,0,0,0,1.9415158,0.6628256
48,0.06238199,1.9648391,0.7752928,0,1.1036756,6.067574,1.5743641,0,0,0,0,0,2.7393723,0.06662576,0,0,0,0,0.7898551,0,0,2.1560407,0,0.6852347,0,0,0,1.4795786,0,5.1272407,0.4743495,0,0,0,0,0.60922235,0,0.85861576,3.2194314,0
49,2.506288,0,0,0,3.3369286,0,0.9489383,0,0,0,0,2.652489,0.29857314,0,1.5039057,0,2.4619052,0,0,0.062162403,0,0,0,0,1.934754,0,0,0,0,0,0,0,1.8495952,0,0.18514131,0,0,1.5608782,1.1682159,1.2727228
50,1.8969249,0,5.9057436,0,0,0,0,1.5200876,0,5.1670384,0,0,0,4.0872474,0,0,0,2.8070934,0,0,0,1.8979579,0,0,0,9.071473,0,0,0,0,0,0,2.3515558,0.821598,0,3.0577586,0,0.3783329,0.048286054,0
51,0,0.5400673,2.519242,0.16570672,0,2.6509316,1.4027864,0,0.30322072,4.8702726,3.9451444,0.96035945,0,0,0,0,0,0.047435917,1.0522395,0.79577327,0,0,7.8330173,0.9204118,0,0,0,0,0,4.1409945,1.9377954,0,0,2.2341945,1.2604275,0,5.164227,0,1.1406943,0
52,0.9433601,2.367452,0,4.431357,0.35997993,0,0,2.1572447,0,2.8627563,0,0,0,0,0,0,4.689526,0,0,0,0,0.30114406,0,0,1.5595338,0,0,0,0,0,0.708827,0,0,0.9260289,0,0,1.2273651,0,0,3.101401
53,0,3.7784548,0,0,3.0769928,0,0,0.18377456,0.53614324,0,0,0,0,0.8413256,0,1.9130372,0,0.91728455,0,0,0,0,0,0,0,0,0,5.5913944,0,5.9148154,0.124281704,0.04529283,0,0.72641337,2.5478115,0.5663405,0,0,0,0
54,0,0,0,0,1.0287372,0,0.003581791,3.117024,0,4.4079437,0.864066,0,1.7370968,1.1832777,0.14932603,0,2.571873,0,2.0939467,0,0.2101508,0,0,0.5412881,0.4647001,2.2393641,0.33239204,0,0,0,0.60979044,6.835601,0,0,0,0.86025155,3.9426193,1.0538528,8.319344,0
55,0,0.79059106,0,0,0,3.6276531,0,0.4107348,0,1.5125715,0,0.84311515,0,3.0885603,1.0980365,0,0,0,0,0,0.64646125,0.803901,0.46920884,0,0,0,1.9583434,2.588385,0,0,0,0,0,0,2.0806985,0,2.3576856,0,1.5966623,0.77114296
56,1.2310488,0.29195964,0,0,0,0,0,0,0,2.8640866,0,0.21722597,3.4718692,0,1.6727383,5.0187974,0,0,0,1.8029027,1.7856976,0,4.706261,0,0,0,1.9612373,0,3.252791,0.14146629,2.0493228,0,0,1.5652784,2.0559225,0,0,0,3.0829003,0
57,0,2.7227042,0,1.5570391,0,0,1.8122344,0,0,0,3.0899892,0,0,0,0,1.3239233,0,0,0,0.5854702,0,0,0,0.018392818,0,5.257238,0,0,2.326522,0,0.7015132,0,0.22523159,0,0.5180299,0,0,2.5292034,0,0.5444841
58,3.3022478,1.1601182,0,1.090356,0,3.1138685,0,0,0,0.89197576,0,0,0,1.7462788,0,0.79931086,4.3329535,0.65290344,0,0,0.36654878,0.028319398,0,0.7812516,0.43209946,12.414208,0,0,0,0.18247473,0,1.7729332,0,0.031472627,1.0357893,0,0,0,0,0
59,0,0,0.26055303,0,1.3180808,0,0,2.1409378,2.6874783,0,0,0,0,1.8815966,0.44048324,2.9247417,0,2.224393,2.8826206,0.12657067,0.33230507,2.259842,1.6514628,0.82705134,0,0,2.1641717,1.2616488,0,2.948646,4.6350064,0.848495,0,2.1606927,0.89628285,0,0.94856316,0,0,0
60,0,0,5.09843,0,1.1773578,0,0,1.740189,0.21140856,0,0,2.8758512,1.9778703,0,0,3.992402,0,1.8615401,2.90299,0,0,0,6.0535364,0,0.81651783,0,0.07072081,0.027531434,0,0.8849338,0,0,1.6895783,0,0,4.943724,3.5187593,2.0763867,1.2780626,2.9005513
61,2.1471605,0,0,0,0,0,1.7869338,0,0.010029187,1.3656565,0,2.0116189,0,0,0,0,1.3513849,0,0,0,0,0,4.4759254,0,0.9328679,1.8856423,0,3.4787064,0,0.20794658,0.05657417,0,0,0,2.3290668,0,0,0,3.6781697,0
62,0.58720773,0.24158312,0,0.41437775,0.43245906,3.9448347,0,0,0,0,0,0.003558044,0,0.9810922,0,0.23791645,0,0,4.523692,0,0,0,8.6073,2.2150452,0,0,0,0,1.6340367,0,3.5547686,0,0.4300985,0,0,0,0.27331722,0,0,0
63,1.5597878,0.81981385,1.9531908,0,0,1.7039977,2.3193324,0,0,0,0,0,0,0,0,3.6531746,1.2414979,6.6991906,2.3138835,0,0,0,0,0,0,5.0366635,0,0.8952639,0,0,0,0,0,0.5779926,0,0,0.8675087,0.35982624,0,0
64,0,0,2.3905737,0,0,0,0,0,0,0,0,0,8.24145,0,0.4958186,0,2.1662283,0,0,3.785409,0.8069404,0,0,0.83970964,0.19667839,0,0,1.5138664,1.0200416,0,0,0,0,0,0,1.8281647,1.276634,6.0760865,0,1.1917517
65,0,0,0,1.3734105,0,0,0,0,1.6377282,0,0,0,0,0.7179579,0,5.590511,0.20987028,0,0,0.3268269,0,0.46633646,0,0.29324612,0,0,3.924912,2.6742065,1.8653089,0,0,4.6774626,0,0.55102974,0,0,0,3.968252,0,0
66,0,0,4.4220867,1.1173505,7.643639,0,1.6134943,0.7409884,3.8550456,0,0,0,0,0,0,1.4061736,1.3548424,0.1054327,0,0,0,0,0,0.096125014,1.6576084,0,1.5806513,0,0,2.010208,0,5.2077394,0,0,0,0,0,1.3437926,4.7080874,0.8927608
67,0.12591682,0,0,0,0,0,0.09560037,0,0,0.95058584,0,0,2.3703601,0,0,0,3.3109891,3.154651,0,0.40955222,0,0.1459649,0,0,0,0,0.6697441,0.5053584,1.1675344,1.761335,0,0,1.2004303,0,0.024766758,4.358727,0,0,0,0
68,3.2123256,0,0,2.1674192,0,0,1.4517919,0.23108369,0,0,0,0,1.0172274,0,3.744342,1.5466082,0,0,0,0,0,0,2.1466768,0,0,0,0,4.2864537,0,0,0,0,0.11525337,0,0,0,0,0,0,0
69,0,0,0,0.20676082,0,0,0,0,1.7793233,0,0,0,0,1.3230476,0,0,4.4075193,0.1774891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29996,2.179654,0,0,0,0
70,0,0,0,0,0,12.148244,0,0,0,0,0,0,0,0,0.4260759,0,0,4.676591,0,0,1.3201499,0,3.546705,0.2636557,0,0,0,0,0,0,0,0,0,0,0.3516854,0,0,0,0,0
71,0,0,0,0,0,4.3598685,0,0,1.255353,0,0,0,0,0,0,0,1.9004998,3.1669848,0,1.152715,0,0,0,0,0,0,0,0,0,0,0,0,1.3500571,0,0,3.1243062,0,0.7884976,5.945223,0
72,0,0,0,0,0,0,0.86466706,0,0,0,5.685773,2.2334428,1.6727872,0,3.077912,2.815618,0,0,0.41996995,0.81792367,2.0621815,0,0,0.06938703,2.7039177,1.1732959,2.6389587,0,0,0,0,1.5692337,0,0,0,0.19486097,1.3379936,4.5387588,0,3.123941
73,3.393879,0,0,0,0,5.54828,0,0,2.3964248,0,0.36439493,0,2.251416,0.046102546,1.0978011,7.8703017,0,3.1163464,0.36519217,1.8683481,0,1.5011779,0,2.6185024,0,0,0,0,0,0.7059268,1.3421584,0,0,0.55753726,0.2317778,0,2.572811,0,3.0833035,0
74,0,0,0,0,2.3656585,0,0,1.6077317,0,0,0,2.914879,0,0,2.2118576,0,2.87097,0,2.0518124,0.9169936,1.1450188,0.08506516,0,0.6584046,0,0,0.69454104,0,0,2.523143,0.30676252,2.2871182,4.218648,0,5.196438,0,5.104635,0,4.647793,0.17890102
75,2.8158302,0,1.0584475,0,0,0,4.5047574,0,3.9303389,5.314254,0.5623189,2.2291565,0,0,0,6.433041,0,0,1.8172357,0,2.0120533,0,0,1.4572035,0,17.04627,1.4394661,2.6821811,0,2.9036431,0,0,0,1.3890185,0,0,0,0,0,2.9986825
76,0,0,5.2706203,0,0,0,1.3742152,1.7394657,0,0,1.384426,4.0596576,1.2302433,5.3184576,0.38289204,2.8586543,3.1794283,2.101257,0,0,0.7737723,4.354605,3.9466739,0,0,1.8390872,0,4.9476333,0,1.948603,0,2.0361624,0,0.40773612,0,1.0224664,4.7511716,0,1.7570274,0
77,0,0,0,0,5.0294294,0,0.9927425,5.2173657,0,0.4851909,0,0,0,0,1.4596777,5.1527677,0,0,0.86105835,0,1.3837343,0,0,0,0,8.495504,0,1.5333326,0.32218817,2.8191404,6.3381953,0.2513515,0,0,0.09988962,0,1.6957175,0,0,0
78,2.5113282,0.7895867,0,0.31168038,1.7567987,0,0.044527866,0,0,0,0,0,0,0,0,0,2.8042965,3.3031807,0.099619664,0.37186038,1.087164,0,0,3.0400598,1.2824848,1.8698006,0,0,0,0,0.58897007,2.2430713,3.4754233,0.4915509,0,0,0,0.66672623,0,0
