x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053,y0054
408,0,0,0,0,0,2.8066425,0,0,0.6045847,0,0,0,0.6285111,1.756756,0,0,1.5244343,6.583353,0,0,0,3.552737,3.7662487,0,0.06817918,0,0,1.3809278,0,2.1387353,0,0.6108752,2.031207,0,0,0,0.45536208,0,0,0,2.1581519,0.81088716,2.3888001,2.213101,0,0,0,2.6787841,1.5742152,1.925565,0,0,0,0,1.5791543
409,0,0,0,0,0,0,0,0,0,0,0,6.5300384,3.4314747,4.863518,0,6.9033723,0,2.4169393,0.9386413,2.7295048,0,0,0.081448235,2.341913,0,1.423851,3.1142662,2.3564436,4.4026875,0,0,0,0,0,0,1.7483578,5.568685,0,0,0,0,0,0,0.18863206,2.3843267,1.6845338,0,0,0,0.3274629,0,0,0,1.6068542,0
410,0,3.1300535,0.027018642,0,0,1.2962874,0.31880775,0,0,0,0,0,0,7.6915994,1.4929488,0,0,0,1.4826554,0,2.706973,1.507798,0,0,3.331612,0.1594864,0,4.8608747,1.2407433,0.23350056,0,0.19681257,0,0,0,0,0,0.22854538,0,1.578608,0,0,0,0,0,4.943681,0,0,0,0,0,0,0,0,1.222544
411,1.7627709,0,0.025334343,17.455153,6.8681993,0,0,0.9824897,0,0,0.66097784,3.9174821,0,4.468378,4.7044406,0,1.1453868,0,0,0,0,0,0,0,0,0,0,0,3.6418402,0,0,1.3595549,1.8838602,0,0,0,0,6.2690086,0,7.228896,3.3704052,0,0,0,6.690754,1.7150241,24.196178,0,2.6389549,1.8363348,0,0,2.7706141,3.2102764,0
412,0,0,0,0,3.6055548,0,0,0,12.590757,1.6762726,1.7252345,0,0.53296477,0,0,0,0,0,0.2705913,0,1.7643187,0,0.47010002,7.5286593,0,0,0,0,0,5.674846,0,0,1.4399897,2.247633,0,0,0,0,0,0,0.8604803,0,0,0,0,2.5200229,7.5961814,0,0,0.52558786,0,0,0.6406716,7.7434945,0
413,4.462074,0,2.008511,0,0,0,0,0.5075002,3.694648,1.9966944,0,0,0,0,0,0,4.322901,0.69753355,0,0,0,0,0,0,0,1.747209,0,4.9548187,0,0,3.3166945,0.16228428,0,0,0,0,0,0,0.8596403,0,0,1.9061742,4.324036,3.052196,0,0,0,1.4270006,0,0,4.7382784,2.9292233,0,0,3.8808138
414,0,0,0,0,0,0.17446479,0,5.0176744,4.7293067,0,0.25225452,0.23396078,0,0,0,3.9619076,0,0,0,0,6.4099503,0,0,11.079223,0,0,1.7417705,0,0,1.3228884,0.21293241,0,0,0,0,0.6503163,2.6129446,0,0,0,0,1.6077319,1.8967675,1.5262161,0,0,0,0,0,0,0,0,0,0,7.1167407
415,6.5985823,5.168877,0,0,0,0.20683146,3.1566901,0,2.056216,2.6603935,0,0,3.6261258,0,0.7988781,0,0,0,0,12.662264,0.2684286,0.69593,3.1454215,2.3489091,0,0,4.218408,1.3528527,0.21437089,0,0,0,0,0,0,0,1.6106882,0,2.5555668,0,0,0,0,0,0,0,0,0,0,0,5.541728,0,0,0,0.844507
416,0,0,0.6096697,0,0,0,4.4348683,1.9186195,0,0,0,0,8.699802,0,0,1.5203044,0,0,0,0,3.759181,7.817415,3.337429,0.837624,0,1.146011,0,0.17009988,0,0,9.479671,0,0,0,3.51042,6.133043,0,0,0,0,0,4.515983,5.6813416,5.092553,0,0,0,0,1.577389,0,0.8839276,8.412935,0,0,0
417,0,0,6.584824,0,0,0,2.9232721,0,0.47263294,0,0,0,2.1533012,0,0,8.240041,0,0,6.235138,0,0,0,0,5.604126,1.9225893,1.0415281,0,8.1865015,0,0,0,0,0,2.4662685,0,2.4239705,3.3834457,0,0,0,0,2.1341152,0,2.1067529,0,0,0,12.449634,0,0,0,0,0,0,1.5421461
418,0,0,2.3213332,11.857963,0,0,0.59785104,0,4.587723,1.5942386,0,3.4722567,0,0,2.4235277,0,0,0,0.41336015,1.2576016,4.3597293,0,0.60831624,0.861043,0,0,0,1.2933388,0,0,0.59089684,0.26134476,0,1.2689354,0,0,0.08401111,0.16443941,0,0,0,5.9743266,0,0,0,0,0,0,0,0,0.46800318,0,0,0,3.5812802
419,1.0128689,0,0,0.98522806,0,0,2.0257952,0,0,0,0,0,0,0,1.8010119,0,0,7.4563146,0,0,11.576633,0,0,0,0,0.7098345,0,0,0,0.058055524,0,1.5450087,0,0,0,0,0,0,0,0,0,1.3239996,0,6.0196614,5.1601486,0,0,0,0,0,0,0,0,0,0
420,0,0,1.2366111,0,4.462349,0,0,4.1531734,0,0,8.50398,1.2065119,0,0,0,0,12.908409,13.698279,0,0,0,0,0,0,1.7308888,0,0,0,8.97367,5.896909,0,0,5.3228846,2.862635,7.312611,0,0,3.6061194,0.25647518,4.2773037,2.191472,0,0,0,0,0.09582212,0,0,0,2.9648747,1.594487,0,3.3791428,0,3.8429623
421,2.3153937,5.7543855,0,0,0,1.4795039,0,0.41558033,0,2.1767483,0,0,0,9.774256,0,0,7.450629,14.869372,0.9877799,0,0,0,0,0.2658794,2.8503847,0,9.85745,2.2079651,0,0.9496928,5.0362854,3.10166,0,0,0,0,0,5.187315,0,4.8182917,2.6720572,0,0,0,6.5558133,6.2546434,16.292406,0,4.3889318,1.7308385,0,1.9944264,0.3972858,0.21711709,0.10937138
422,0,7.969892,0,0,1.1335655,0,0,0,0,0,0,6.0759726,0,2.7449706,0,0,0,2.1371691,0,0,0,0,0.68494093,0,0,0,3.3861315,1.0593187,0.8072073,0,1.5915637,0,1.1194836,0,0.6477776,0.5489648,1.6138252,1.7479532,2.4096627,3.1840353,4.6080494,0,0,1.3926634,3.7444181,0,2.0222287,0,0.015343729,0,0,5.780955,3.2778428,2.9901268,0
423,0,0,2.5714006,8.025444,2.6752586,0,0,0,0.31115654,4.954472,0,2.019529,0,0.40818813,0.11275854,0,0,0.24869947,0,0,0,0,2.5226471,0,0,0.5776644,4.5414667,0,2.5256112,0,0,0,0,0,0,1.1178025,2.1282692,0,1.0102338,2.7037063,0,1.5984601,0,0,0,0,0.2350731,0,1.1911807,1.4963427,0,1.6154348,1.7147217,0,0
424,4.512456,0,2.6418731,0,0,9.24919,0,0,0,0,0,0,0,8.807417,0,3.3903847,0,2.545505,0,7.022638,0,0.5744136,1.5056266,2.9806168,0.7967006,0,2.6850197,0,0,0,1.3763173,0,1.5224819,0,0.33956072,0,2.9180732,0.51123756,0,0,3.1676738,0,0,2.9904304,1.8187848,0,4.8121843,0,0.045542106,3.1348524,0.33551466,0,2.6155837,0,0
425,0,1.1056895,0,12.551496,0.09526036,0,0,0,0,0,6.5457196,0,3.2266898,5.1466713,0,0,0,0,0,10.447175,6.9384894,0.5913566,0,0,1.0677023,1.7425318,8.628276,0,1.8896732,2.7827168,0,4.6759295,1.5203911,0,13.620388,4.95596,0,1.2507684,0,3.9582245,2.2330425,0,0.01260062,0.45599636,14.709662,0.7909716,0,0,0.6823941,0,2.3613572,4.647777,0,0,0
