x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021
91,0,0,0.99208343,0,0.17431362,0,0,0,0,0,0,0,0,7.1673455,0,0,0.053325266,0,0,0.49904767,1.9040686,0.014809843
92,0,0,0.49801418,1.1210155,0,0.9639469,0,0,2.2164035,0,0,0.9563414,0,6.082129,0,0.549447,0.87341046,0,0,1.3690251,1.008106,0
93,0,2.2599847,0.9441356,0,0.68231845,0,0,0,0.7309666,0,0.3854531,0.27776507,0,4.3642344,0.15713441,0,1.0944875,0.18245779,0,1.0421747,0,0.51603526
94,0,1.7914475,0,0,2.0990598,0.5105641,1.2559612,0.7154678,0.76663095,0.64778346,0.095009595,0,2.3509755,1.0744538,0,0,0.07458197,0,0.31736642,0.03453819,0,0
95,1.0561029,0.08005405,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2804372,0,0.37062258,0,0,0,0
96,2.2647862,0,0,0,0,0,0,0.86168015,0.59385294,0.34341893,0,0,0,0.6741928,0,0,0,0.90792674,0,0.77767414,0,0
97,0,0,0,0,0,0,2.0471137,0.7506312,0,0,0.030091342,0,0,0.47904745,0,1.8883765,0,0.046748094,0,0,0,0
98,1.1605893,10.468672,0,0,0,0,0.509594,0,0,0.30165324,0,0,0,0,2.304115,0,0,0.7142498,0,0,0,0
99,4.502915,0,0,0,0,0,0.26709282,0,0,0,0,1.4127522,0.13879529,0.584096,0,0,0.10500772,0,0,0,0,0
100,0,1.37145,0.4747122,0,0,0.6202232,0,0,0,0.045470264,0,0.11109558,0,0,0,0,0,1.3705398,0,0,2.161656,1.0406396
101,0,0,0,0,0.4800085,0.49337804,0,0,2.8628604,0.79521453,0.3155012,0.04365992,0.11757454,0,1.0812957,0,0.3030328,0,0.24087597,1.5505443,0,1.4213948
102,0.561097,0,1.5891403,0,0.22065818,0,0,0.65858454,0,0,0,0,0,0,0,0,0,0,0.7614839,0.22108151,0,0
103,0,0,1.1091452,0,0.18323462,0,0.481583,0,0.2523279,0.6468791,0,0,0.30230233,0,0,0.68850046,0,0,0,0,0,0
104,0,0,0,0.4719994,1.2008222,0,0,1.2387677,0.3554764,0.32186574,0,0.33443946,0.4139072,0.18224896,0,0,0.9826992,0,0,0.42755044,0.065415055,0.54077953
105,0,0,0,0.009628095,1.5605016,0,0,0.70712835,2.551612,0,0.24627627,0,0,0,0,0,0.6984717,0,0,0.5430896,0,0
106,0,0.77838683,0.13806258,0,0.23666419,0.3271372,0,0.25412393,0,0,0,0,0,0,0,0,0,0,0.06726403,0.03602764,0,0
107,0,1.5116214,0,0.020085778,0.016670452,0,0,0,0,0,0,0.1540184,0,0,0.6609211,0,0,0,0.68901926,0,2.1005037,0.8144112
108,0,0,0,0.6125877,0.5641407,0.013706747,1.7770112,0,0,0,0.46637008,0,0,0,0.09196099,0,0,0,0,0,0.58845234,0.33715513
109,0,2.8317227,0,0.032705482,0,0,0,0,4.5514617,0,0,0.1016328,0.43705702,0.90521365,0,0,0.657023,0,0.71432394,0.32961065,0,2.6152263
110,0.2330054,0,0.42443657,0,1.6732632,0,0,0,0,0,0.35664457,0,0,0.7559296,0.05531942,1.9225987,1.6630502,0,0,0,0,0
111,0.9102692,11.618958,0,0,0,0.63005716,0.9289695,0,1.142342,0,0.16721845,0,0.9224572,0,0.5087812,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0.50285536,0,0,0,0,0,0,0,0,0,0.2104949,0,0,0,0
113,0,0,0.9626478,0.40784797,0,0,0,0.4390874,0,0,0.39140275,0,0,0.221109,0,0.99795336,0,0.124432474,0,0,0,0
114,2.1979785,0,0,0,0,0,0,0,0,0.05569869,0,0,0,0,0.7338932,0.36194342,0,0.5312567,0,0,0,0
115,0,3.6310031,0.19857693,0.27882802,0,0.35691628,0,0.27824283,0,0,0.22350866,0,0,0,0.33825412,0,0,0.26711264,0,0,0,0
116,0,0,0,0,0.18573399,0.415599,0.74605054,0.016013715,1.3200165,0.008508333,0,0,0,0,0.14809954,0,0,0,0,0,0,0
117,0.6337766,5.779491,0.38855538,0.5159461,1.2702676,0,0,0,0,0,0.11842074,0,1.0633365,0,1.4243922,0.72461903,1.7127627,0,0,0,0,0.50314724
118,0,0,0,1.3903463,0.59231883,0.46992362,0,0,0,0,1.1395333,0,0.70836425,0,0,0,0,0,0.28136894,2.1487215,1.0747283,0
119,0,0,0,0.12466325,0,0.6350684,0,0,0,0.1655357,0,0,0,0,0.34458604,0,0,1.4978539,0.6400985,0.16259576,0,0
120,1.8828571,0,0.06528826,0,0,0,1.4821851,0.23228517,1.8384241,0,0,1.1186053,0,0,0.20333308,0,0.19642192,0,0.16630574,0,0,0.49186775
121,0,0.08480755,0,0.45882523,0,0.17154348,0,0,0,0,0,0.10981857,0,1.2934127,0,3.9377446,1.1525759,0.30040014,0.25087255,0.184042,1.7008488,0.17208616
122,1.376698,0,0,0,0,0,0,0.4352678,0,0.5412972,0,0.9667878,0,0,0,0.6729624,0.13764134,0,1.3810396,0.5859257,0.38649666,0
123,0,0.2195302,1.5404066,0,0,0.015377912,2.2444985,0.22782804,0,0,0,1.2466886,0,0.9217532,0.00983655,0.95239484,0,0.09523426,0.7628087,0,0,0
124,0.34596747,0,0,0,0.17382382,0.16417299,0,0,0.27044892,0,0.16574469,0,0.18458003,0,0,0,0,0,0.4941798,0,0,0.10776343
125,0,0,0,0.6940298,1.6540583,0,0,0.059787303,0,0.7396172,0,0,0,0.19118947,0,0,0.009789361,0,1.7540189,0,2.2237346,2.0069137
126,0,6.388978,0.12227994,0.42012456,0,0,1.1664683,0,0,0,0,0,1.4133393,0,0,0,0.7016511,0,0,0.027563076,0,0
127,1.0225325,0.66222036,0,0,0,0,0,0,0.011377787,0,0,0.73547924,0,0,0.52499557,0,0,1.6812742,0.5296035,1.2411026,0,0
128,0.78121257,0,0,0,0,0,0,0,0.3218435,0,0,0,0,0,0,0,0.5098664,0,0,0,0,0
129,0,0,0,0,0.048582748,0.5036471,0,0,0,0,0,0,0,0,0.37346295,0,0,0.18839176,0,0,0,0.5360093
130,0,0,0,0,0,0.10338982,0,0.89221174,0,0.3630093,0.32864007,0,0,0,0,1.624827,0,0.006918277,0,0,0,0
131,0.64763474,2.2676275,0,0,0,0,0,0,0,0.16816667,0,0,0.31480652,0.86928725,0,0,0,1.0225431,0,1.1891139,0,0
132,0,0,0,0,0,0,0.63526076,0,0,0,0,0,0,0,0,0.4001066,0.70341873,0,0,0.9278265,0,0
133,0,3.0123994,0,0.9442417,1.418628,0,0.015201732,0,0.8458968,0,0.2586951,1.7876301,0,0,0.62257165,0,0.070105515,0,0,0.7706194,0.23616573,0.60465986
134,0,0,0,0,0,0,0,0.27778903,0,0.023105374,0,0,1.6559157,0,0,0.16784322,0,0,0.33288753,0,1.3905034,2.1788824
135,0,0,0.39674756,0.001241947,0.7030657,0.3785224,0.71610963,0,0.47756484,0.07552376,0.401494,0,0.25378808,0,0,0,0,0,0.5478372,0.2833134,0,0.9364796
136,0,0,1.8336238,0.37368783,0.24513882,0.320968,0.6137235,0,0.21478903,0.2355572,0,0,0,0,0.35148782,0,0.37031507,0,0,0.44165063,1.2068006,0.3160242
137,0,3.199793,0.36820394,0,0,0,0.16516183,0.05954039,1.6400125,0,0,0.4977554,0,0.060200352,0,0,0.9225364,0,0.5869368,0.4638742,1.5456953,0
138,0,0,0.09515282,0,1.2177787,0,0,0,0,0,0.21450356,0.36576512,1.0612929,0.12342074,0,0,0,0.48755214,0,0.25242406,0.079550855,0
139,3.6074028,0.3396917,0,0,0,0.1294676,0,0,0,0,0,0,0,0,0,0,0,0.16658871,0.31266102,0,0,0.3085914
140,0,2.542559,0.8559208,0,0.18834893,0.16701041,0.7919295,0.05259431,0,0,0,0.9290708,0,0,0,0,0.76474065,0,0.49996665,0,0.27098772,0
141,0,0,2.3006797,0.12890555,0.3351884,0,0,0,1.5496404,0.80356246,0,0.4463757,0.2828562,0.5101114,0.009793502,0,0,0.9924302,0,0,0.33043694,0
142,0,1.8744677,0,0,0,0,0,0.42024517,0.054783624,0,0.7365402,0.14862743,0.89429283,0,0,0,0.7522288,0,0,0,0.21340433,0.38271344
143,0,0,0,0,0,0,0,0,1.7232972,0,0,0,0,0,1.7957644,0,0,0,0,0,0,0
144,2.9553967,0,0,0,0,0,0,0,0,0,0.189779,0.3423772,0,1.6148428,0,0,0,0,0,0,0,0
145,0,2.820109,0,0,0,0,0.22551923,0,0,0,0.111418724,0,0,0,0,1.3149072,0,1.2380589,0,0,0,0
146,0,0,0.18411401,0,0,0,1.394727,0,0.20697254,0.15087456,0,0.79368865,0,0,0.07799106,7.971314,0,0,0,0.062320616,0,0
147,0,0,0,0,0,0,0,0,0,0,0,0,0.33561647,0,0,0,0.24352595,1.9598833,0,0,0,0
148,0.18463215,0,0.4557754,0,0,0.11122444,0,0,0.3179179,0,0,0,0,0,0,4.282191,0,0,0.5294424,0,0,0
