x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034
642,0,0.69091636,3.476555,0,4.20389,0,0,0,0,0,0,0,0,0,0,0,0,2.6860669,0,0,0,0,0,8.293776,0,0,0,0,0,6.967436,1.3288271,2.8900146,0,7.6189966,0
643,0,3.3209882,0,0,0.6629836,0,0,0,0,0,0,0,3.8369553,4.784065,0,0,0.18273582,1.374582,0,0.9647813,0,8.190222,0,0,0,6.3761873,0,1.9970053,1.9477044,0,0,0,1.4655477,0,0
644,0,0,4.823893,0,0,0,0.3350842,0,0,0,0,0,0.55252856,0,0,0,0,1.4307243,5.3458314,5.5469556,0,0,0,5.9062333,9.297862,0,0,0,0,0,0.34802324,0,0.92795193,0,20.644049
645,0.66326696,0,2.5093787,0,0,0,0,3.6519115,0,0,2.0656874,0,1.1365575,0,0,2.2044377,0.24281752,6.6660767,1.349184,1.6335323,0,0,0,0,1.4762218,0,0,0,2.2060096,0,2.808103,0,1.010309,0,0
646,5.146526,7.0812693,0,8.199397,0,0,0,0,4.7644477,0,11.775302,11.143582,0,0,4.449698,0,0.13807532,0,0,0,0,0.8029965,2.6154144,0,0,0,0,2.9345136,0,0,1.9521224,0,0.43922383,0.3587602,0
647,0,0,0.061763037,0,0,0,3.358247,6.261862,4.2822676,2.5935755,9.702765,2.9719388,0,0,4.975532,9.910939,0.9773743,0,0,0,2.4850478,0,10.729928,0,0.35150957,9.509007,0,0.7670276,0,4.8125825,0,0.21184273,2.1039019,0,0
648,0.028861882,1.0271752,0,7.8913317,1.4716265,1.5372229,3.4931977,12.701849,15.828568,0,0,0,0,0,9.585845,7.673233,3.4965446,0,0,8.275483,1.358929,8.999974,6.239336,0,0.26849213,7.474077,0,0,2.6740599,0,4.984776,0,1.3778039,0,8.931233
649,3.2386687,4.3920007,0,11.827821,5.4266763,2.9916255,2.2742548,6.199809,19.432524,0,6.9774218,0,0,0,1.2339646,4.91812,0,0,0,4.3047414,0,15.7273445,1.6076356,0,0,4.718738,1.2036974,0,0,0,0,0.4504204,2.9795873,0,0
650,5.499728,0,0,22.153103,1.6910242,3.078572,0,1.7428082,7.9950666,9.03453,0,2.8956273,0,0,4.859056,1.1146324,0,0,0,0,0.4851965,6.39687,0,0,6.049158,25.907545,0.27914935,0.87612826,0,0,0,0,0,0,2.4833229
651,3.1176624,1.2825351,0,0,0,0,0,7.823185,1.3788188,2.0326748,11.204083,16.028048,0,0,0,1.5840403,2.6384697,0,0,8.382588,1.4348222,1.3750781,6.740929,1.1470048,0,0,2.235205,4.433315,0,0,3.0827527,0,2.9386404,0,0.937814
