x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028
52,0,0,0.44830772,0.659274,0,0,0.7041295,0,0,0,0,0.28281912,0,0.5127998,0,0.49276984,0.007857278,0,0,0,0,0.37522402,0.006127278,0,0,2.4054456,0,0,0
53,1.0669162,0,0.32339537,0,0,0,0,0,0,0,0,0,0,0.31768557,0,0.9313052,0,0.17142655,0.8459484,0,0.8440106,0,0,0.22419986,0.9266151,0,0,0.7861747,0.40992898
54,0,1.9782609,0.45865387,0,0.13530737,0,0,0,0.60170394,0.6414392,1.5071094,0,0,0,0,0,0,2.0292618,0,0,0,0,0,1.7744945,0,0.3508835,0.18007305,0.85236907,0
55,3.5227723,5.0656543,0,0.23415893,0,0,0.132664,0.51193494,0,1.3506125,0,0,0,0,0,0,0,0,0,0.04290461,0,0,0,3.912319,0,0.26901174,0,0.49676144,0
56,0,3.5086372,0,0,2.5273554,0.9589073,0.6640349,0,0,1.1178911,0.07875715,0,0.25672597,0.23034185,0.56624675,0,0,0.1810183,0.3763514,0,0.54256403,0,0.010237676,2.8937874,0,0,1.8130925,0,0.96345055
57,0,0.88763386,0.56793106,0,0.19081686,0,0,0,0.70977277,0,0,0.61287874,1.0565234,0.4307232,0,0,0,0,0,0,0,2.1384177,1.6687074,2.3754537,0,0.5275362,0,1.1634583,0
58,0.5033877,0,0,0,0,0,0,0.5301741,0,1.6865786,0,1.3033662,0,0.9938686,0.4179236,0.08964324,0,0.5238639,0.8374222,0,0,0,0,0,0.22558342,0.3367113,0.74077,0.7015928,0
59,0,0,0,0,0,0,0,0,0.16007751,0,0.33760712,0,0,0.05858141,0.013785098,0,0,0,0.011615371,0.010935307,0.83870846,0,0,1.285141,0.8473969,0,0,0.2934647,0
60,0,0,1.2716994,0,0,0.60849303,0.37353513,0,0,0,0,0.14790875,0,0,0,0,1.008503,0,0,0.014709541,0.798925,0.51797175,0,0.017187964,0,0,1.01995,0,0
61,1.7545774,0,0,0,0,0,0,0,0.9903914,0.14301057,0,0,0,0.31698048,0,1.2969239,0.46324104,0.5373418,0,0.058009613,0,1.1097162,0,0.49240795,0.39860755,0.31596377,0.36063662,1.1926379,0
62,0,0,0.10601504,2.283082,0,0,0,0.005599294,0,0.3048743,0,0,1.4372162,0,0.52800536,0.21531273,0,0,0,0.9003053,0,0.10952967,0.33630103,0,0,0,0,1.8594365,0.8323511
63,2.8787053,1.607385,0,0,0,0.19866621,0.65105814,1.054451,0.6729249,0,0.10800896,0,0,0.0937525,0,1.465046,0.39664707,0.24635307,0.45765623,1.0845395,0,1.1175913,0,6.445184,0.42009723,1.4640316,0,0,0
64,0.4575984,1.8363317,0.386784,0,0,0.88169825,0,0,0.08729555,0,0,0.047783107,0,0,0.808357,1.464117,0.8357779,0,0.2120108,0,0,0,0,0,0,0,0.79432714,0.4440554,0.78360665
65,0,1.037162,0.46575683,0.9881852,0,0,0,0,0,0.8247541,0,0,0.21124448,0.61624235,0,0.21133406,0,0,0,0,0,0,0,0,0,0,1.3985903,0.96395,0
66,0,0,0,0.45645905,0.01812159,0,0.09725298,0,0,0,0,0,0.08076442,0.22685479,0,0,0,0,0,0,0,0.065785445,0.01775971,0,1.2006155,0,1.120767,0,0.14253724
67,1.6956127,0,0.50761044,0,0.5446839,0,1.5584025,0,0,2.0602825,0.43029517,0,0.42481506,0,0.96277064,0,0,0,0,1.0700932,0.5792354,0,0.19580768,0,0,0.1673014,0,0.73811704,0
68,0.1099172,0,0,0.3677415,0,0,0.775022,1.2332544,0,0,0,0,0,0,1.2000359,0,1.1146282,0,0,1.3179225,0,0,0.20644328,0,0,0,0,0,0
69,0,0,0,3.0815642,0,0,0,2.3087568,0,0,0,0,0,0,0,0,0,0,0,1.5070049,0,0,0.1264047,0,0,0.029857429,0.1556887,0,0
70,0.16650684,0,1.6513911,0,0,0,0,0,0,0,0,0,0,0,0,0.8664163,0.015257795,0.39010558,0.09657994,0,0.79673815,0,0,1.3339673,0.32920745,0,1.5440922,1.2792853,0
71,0,0,0.19619365,0,0,0.3933191,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24397291,2.3871944,0,0,0.5207401,0.38941464,0,0,0,2.3121514
72,0,0,0,1.1419265,0.021058058,0.26908058,0,0,0,0,0.4737403,0.44482937,0.16130866,0,0.41113544,0,0,0,1.8028246,0,0,0,0.69383734,4.153827,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0.3256042,0,0,0.018060524,0.058632255,0,0,0,0,0,0,0,0,0,0,0,0.401618,0
74,0,0,0,1.1675996,0,0,0,0,0,0,0.09185494,0.5053437,0,0.43987325,0,0,0.3971726,0,0,0.60213125,0,0.40487567,0.28244743,0,0,0.24652313,0,0,0.33194518
75,2.2852094,0.7824626,0,0,0,0.870089,0.55430204,0,0,2.1223135,0.018193863,0,0.6578675,0.11466422,0,0,1.0700492,0,1.5428511,0,0,0.28466725,0,2.829882,1.0017066,0,1.8509889,0,0
76,0,0,1.2415226,0,0,0,0,0,0,0,0,0,0.07615649,0,0,2.2358413,0.76108545,0,0,1.2644136,0.10090612,0.12608604,0,1.9115524,0,0,0.37540653,0,0
77,0,0,0,0,0,0,0,0,0,0.3109763,0,0.48018166,0,0.6947977,0,0,0.6173776,0,0.49121064,0,0,0,0.041344307,0,0.0029646,0.21633518,0,0.8179988,0
78,0,0,0,0.03611038,0.59269965,0,0,0.27877396,0,0,0,0.39249444,0,0,0,1.4679639,0.001418223,0,0,0,0.2836141,0.21564509,0,0,0.78311294,0,0,1.5286585,0
79,1.817994,0,0.18656519,1.6193856,0,0,0,0.41017085,0.45465457,0.1639983,0,0,0,0,0,0.07274952,0.38451308,0,0,0.39788905,0,0,0.86412555,0,0,0,0,0,0.66521597
80,0,2.3059263,0,0,0,0,0,1.38698,0.6061191,1.8300823,0,0,0,0,0,0,0,0,0,0,0,0,0.67961466,0,0,0,0,0,0
81,0.38682917,0,0.7910437,1.7585942,0.19938229,0.14553347,0.42917573,0,0,0,0,0,0,0.22022755,0,0,0,0.003239567,0.1743374,0,0,0,0,0.9606759,1.3131702,1.1769011,0,0,0
82,0,5.3824997,0,0,0,0.5263132,0,0,0.16661863,0,0,0,0,0,0.24401113,0,0,0,1.3600234,0,0,0,0,1.7173998,0,0.70543087,0,0,0.72658634
83,0.35117176,0,0,0,1.4932566,2.2139025,0,0,0.52343893,0,0,0.0842174,0.32207036,0,0.055947334,0.57914275,0,2.5998442,0,0,0,0.8409272,0,0,0,0.13043678,0,0,0
84,1.492574,0,0,0,2.213158,0.44768792,0,0,0,3.0973055,0.36825597,0,1.2542561,0,0,0,0.7335452,0,0,0.1328362,0,0.11635533,0.84659684,0,0,0.4362713,0,0,0
