x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050
652,0,1.9040667,0,0,0.8027907,0.6868245,0.18347615,0.35550994,0.5241684,0,0,0.29476768,0,0,0.019841745,0,0.7392283,0,0.98893243,0.87924373,0,0,0.37861305,2.1040213,0,0,0,5.2775927,1.247451,0,1.61368,0,0,0.58194053,0.5649218,1.1598071,0,0,0,0,0,0,0,0,0,0,0.10792742,0,4.7679133,0,0.00064244
653,0,0,1.7716783,0.9298873,0.014974844,0,0,1.2305124,0,0,0.4227212,0,0,0.20851289,0,0,0.33474466,0.74726623,0,0,3.345049,0,1.5679097,2.0707972,1.4149557,3.4590673,4.78205,4.4193006,1.3407905,0,0,0,0,1.2774179,0,1.4842628,2.1481535,0,1.8363775,0,0,1.9844857,2.5593808,0,1.6079046,0.21838881,0,3.4959145,7.4447393,1.329729,1.0675845
654,1.2029868,0,0,0,0.058899608,0,0.016377425,0.8449167,0,0,0,7.690373,0,0,1.5638682,0.1880305,0.44472164,0,0,0,5.3171887,0,0,4.7129626,0.35822457,0,0,0,0.9977484,0,0,0,0,0,0,0.29952523,2.3784184,2.1145732,0,0,1.8423512,0.91348785,0,0,0.44266155,5.76077,0,0,0,0,0.61362725
655,0,0,0,0,0,0,0,0,2.5440934,0,0,16.287485,0,0,0.14605242,2.8380513,0,0,0,7.9549975,0,0.3221068,0,0.5328593,0,1.119485,0,0,0,0,0,0,0,0.3403059,3.181919,0.6315632,1.4966122,0,0,0.14964007,0,0,0,0,0.18711108,0,0,0,0,2.412361,0
656,0,1.3064566,0,0,0.014479149,0,1.9752629,0,0.99122804,0,2.446561,0,1.2055465,0.77781934,0,2.9001923,1.9823282,0.88630474,1.5113966,0,7.2989764,0,0,4.3579926,0.38832736,0,0,6.691434,1.9265141,0,0,0,0,1.8661821,0,0.85299027,2.233943,0.464264,1.7753285,0.3403554,0.18913622,0,0,0,0,0,0,0,0,0,0
657,1.7271098,0,1.1691405,0.45104125,0,0,0,0,0,0,1.5598005,0,0,0,0,1.5807036,0,0,0,0,2.7306242,0,0,4.621442,2.465553,0,5.3328958,1.9655316,0,0,0,0,0,0.4307929,0,1.0182879,2.594865,0,2.138431,0.1008038,0,1.4982271,1.4212551,0,1.5169646,5.049513,0,0,2.9059837,0,0
658,0,0,0.40604696,2.1782503,0,0,1.1030415,0.89875245,0,0,0,0,1.9069091,0,0,0,0,0,0,0,0,1.7348427,5.6359363,0,0,0,0,5.368597,0,0,0,0,0,1.3207588,1.0116644,0.4386348,0.5117318,1.8092223,2.5073805,0,1.9237248,1.6657732,2.0583935,0,0.6771164,0,1.0526651,0.24151638,4.1274943,0.5707372,0.23774493
659,3.2533727,0,0,0,0.09539177,0.31302583,0.55542624,0.36409774,0,0,0,0,0,0.20313847,0,0,0,0.3097073,0,0,0,0,0,0,1.6027721,0,0,0,0.83282,2.5199,0.21056768,1.5600711,0,0,0,1.1588014,1.6357936,0.6579761,0.1208021,0.37427205,0,1.4243804,0.19289991,1.9060241,1.0886333,2.653094,4.404312,0,4.289929,0,0.34433588
660,2.5824673,4.1971197,1.1411996,0.5692301,0,0.8774893,0.07807543,0,4.877117,1.9453449,0,0,0,0,1.1993734,9.218056,0,5.0863714,2.1199024,0,0,0.6425346,1.275758,0,1.0726074,1.1585991,7.469072,0,0,0,0.038944777,0,0.78673977,1.2073197,0,0,0,0.6592257,0.38398245,0,0,0,1.5428082,0,0,6.256299,2.301848,2.420613,6.6104813,5.5561447,0
661,0,0,0,1.7408389,0,0,0,3.5930288,0,0,3.643158,3.3433223,1.2108339,1.170591,0,0.84671307,1.8332971,0.10194441,0,6.4773736,0.3533668,0,0,0,0,0,0,10.895653,0,0,0,0,0,0.22711788,0,0,1.8505987,2.5864737,0,1.0524582,0,0,1.4136134,0,0.025993997,3.7996163,2.3331382,0,1.013053,0,1.1448277
662,2.2682483,0,0,0.25885162,0.005177404,0,0,2.0087934,0,0,0,1.2982831,1.5070335,0.5885697,1.929553,0,0.5503306,4.2693877,0,0,0,0,1.8215761,0,0.90709746,0,5.0588894,0,0,0,0,0.918396,0.45671546,0.5304658,0,1.0231227,0.55246586,0.5010538,1.3560221,0,0.8620376,2.1302743,0,0.3375459,0,0,0,0,2.9745653,0.34529522,0
