x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053
373,6.1550603,0,0,0,0,0.58443373,0,4.7582,6.2428627,0.37210703,2.4518523,0,0,0,0,0,6.818185,2.1237783,0,0.45258307,0,0,0,0.008283533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.203494,6.29029,0,0,0,0,2.455585,0,0,0,0,0,0.002792671,0
374,0,0,11.064268,0,0,0,0,0.9124095,8.368965,3.442015,2.8344743,0,0,0,0,0,1.0542722,3.301255,3.9144053,10.608697,3.170463,2.3833475,0,0,0,1.5492756,7.924121,0,0,8.103126,0,0,2.5098536,0,0,0,0,0,0,5.90714,4.543052,0,0,0,0,0,2.0194633,29.540232,0,0,4.1622005,0,6.0699053,0
375,3.1894827,0.48808378,3.4451888,0,0,0,0,8.237684,3.0601566,2.8604527,0.6202608,5.7940407,0,0,0,0,8.443394,0.7899066,0,2.6609976,8.0244875,31.559702,0,1.8634394,0,2.1625369,3.9453773,0,1.785972,2.1953568,2.7785125,0.7426302,3.888257,0,0,0,0,0.5514361,0,0,0,0,0,0,0,0,0,4.878448,0,0,3.1971936,0,5.9075027,0
376,3.9531486,6.8052797,1.7421775,5.650164,0.68916,0,0,0,0,0,1.7417372,0,0,0,0,0,0,2.1660287,0,0,7.2632895,0,4.6927767,0.1933045,4.930269,2.4220443,0,0,0,0,0,1.4761082,1.16595,2.0014918,20.135172,3.6103218,28.276083,1.5763059,16.99743,0,0,0,8.133608,0,0,0,0,0,0,0,3.6002495,0,10.681913,0
377,0,1.4250698,0,0,0,0.22172171,6.0515604,0,0,1.7433326,6.4295545,0,0,0,0,0,4.6389127,3.5263953,6.042088,0,0,5.359808,5.2940917,0.7543358,0.31428087,4.3358207,7.075369,0,0,0.6696688,1.3400215,0,0.3576218,0,0,0,0,0,0,4.2613173,3.4344957,0.7055444,0.23322734,0,0,0,0,1.0289981,0,4.7484045,0,4.2056475,0,3.4053147
378,0,1.6801009,0.59956217,0,3.3214087,0,2.9794307,0,0.72720623,0,0,0,1.4069519,3.899935,17.682726,0,0,0,1.1379476,1.0212646,9.399115,13.596076,0,2.871906,4.91772,0,0,7.105667,3.969511,0,0,2.374273,0,7.8510346,4.804163,0,0,0,0,0,0,0,0,0,0,0,5.2693644,6.934098,0,0,0.7228062,0,0,0
379,0,0,1.4743212,0,0,3.7228894,4.8283286,0,0.7136425,0,0,0,5.776874,2.2450573,0,0.32074842,7.8430667,3.0796056,0,5.4238725,2.0476675,19.671421,0,0,1.5099058,3.616918,0,4.301752,1.7676394,0.74860626,0.79145765,2.8593402,0,11.691862,0,0,0,0,0,0,3.0402265,5.065368,0,0,0.29835916,0,1.5847523,0,0,0,4.5577025,9.249181,0,2.0083253
380,4.469652,0,0,0.68542904,0,0,0.61124396,3.0130274,0,0,0,1.0433464,0,1.7318517,11.672433,0,0,3.6847444,3.2562497,0,0,0,2.8218906,3.5469263,0.57536995,0,0,0.13931473,0.7516789,0,0,6.238677,0,25.16767,17.99186,0,12.803649,4.4555917,4.394152,12.042811,5.942585,3.0731559,0,0,0,0,0,6.2412887,0,0,0,0,0,0
381,0,0,0,0,5.2118087,4.941697,0,0,0,4.246158,0,0,0,0,0,6.041058,0,0,8.003012,0,0,0,0,0,0,0,0,0.7328774,0,0,0.054413777,2.771163,4.012194,0,11.85124,0.152586,20.002205,1.8791528,2.4526534,11.146233,0.18955605,2.549379,2.1800787,2.293698,1.7146019,0,0.92558944,0,0,1.4786174,1.9522984,0,14.598024,0
382,1.7966338,0,6.464612,0,0,0.06001986,0,2.7873592,0,0,9.891709,0,0,0,0,0,0,1.4162532,0,6.200542,9.754632,22.302721,0,0,0,0,0,0,0,0,0,0,0,0,2.2921953,0,0,0,0,5.36803,1.641139,0,2.2148626,3.2482855,1.7285463,0,4.7893353,0,0,2.7369647,0,0,0,1.9227495
