x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029
235,0,0,0.37007093,2.5587955,0.27774218,0.2405184,0,0,0,0,0,0,0,0,0,2.4259548,1.5031121,0,0.06473983,0,0,1.0379373,1.2349526,0,0,0,0,0,0.2694053,0.25670964
236,0.7268211,0.32232496,3.8893354,0.057423387,0,0,0,1.942783,2.5709107,0.63214976,0,0,0.7831401,0,0.73134923,0,0,0,0,0,0,0,1.3640773,1.0727657,0,0.5200111,0,0,0,0
237,0,0,0,0,0,0,0,0,1.2818491,0,1.2874119,0,0,0,0,0,0,0,0,0.45928875,0,0,0,0,0.09400112,0,0,0.5687876,0,0.63096243
238,0,0,0.88231087,0,0,0.08482084,0,1.6311718,0.39791906,0,0,0,0,0,0,0,0,0.2544729,0,0.5053871,0.31694,0,1.0987343,0,0.6277101,0.86585724,0,0,0.46930712,0
239,0,0.6048388,0,0,0,0,0,0,0.81980807,0,1.961402,0,0.034008026,0,0,0,0,0,3.880103,0,0.1268414,0,1.5512897,0,0,0.8071945,0,0,0,0
240,0,0,0,4.526571,0,0,0,0,0,0,0,0,0,0.99217093,0.4669199,0,0.7241174,0.5008075,0,0,0.15817882,0,0,0,0.07502579,0,0,0,0,0
241,0.4190302,0,5.0649805,0,0,0,0.19533616,0.20043634,0,0,0.51896507,0,0,0,0,0,0.8828888,0,0,0.117607266,0.13517056,0,0.9573,0,0,0,0,0,0.2876061,0
242,0,0,3.7102175,0,0.74417526,0.9890835,0,0,0.7213915,0,0.4302511,0.033623204,0,0,0,0,0.95263195,0,0.11501566,0,0,0,0,0,0,0.16383389,0,0,0,0
243,0.021965448,0,2.1109812,0,0.003596527,0,0,0,0,0,2.1151378,0,1.521109,0,0,0,0,0,0,0.338564,0.29331094,0.58428794,0.17505413,0,1.3471276,0,0,0,0,0
244,0.4544522,0,0,0,0,0,0.090254165,0,0.09682025,1.541928,0,0,0,0,0.71224713,1.7618005,0,0.17229345,0.36127803,0,0,0.43540645,2.475768,0,0.4359068,0,0,0,0,0
245,0,0,3.3677804,0,0.47745427,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56354797,0,0,0.54687095,0,0,0,0,0.18012965,0,0.49300835,0
246,0,0.12386056,0,0,0,0,0.39713982,0.12925752,0,0.2630422,0,0,0.40081635,0.97624266,0,0.5641557,0.62474597,0,0,0,0,0,0,0,0,0,0,0,1.0681213,0
247,0.16871755,0,0,0,1.5066717,0,0.37827697,3.5698068,0,0,0,2.9016554,0.83200145,0,0.30247623,0.05739411,0,1.9775606,0,0,0,0,0,0,0.69401664,0,0,0,0,0
248,0.9487319,0,0,0,0.1250854,0,0.83383304,0,0,2.733491,0,0,3.1303415,1.4630113,0,0,0,0.9786734,0,0,0.7871094,0,0.7644903,0,0,0,0,1.3066344,0.56250226,2.0137227
249,0.79373235,0,0,0,0.3504836,0.63811463,0,0,0,0,0,0.52325004,0,0.40794557,0,0,0,0,0,0,1.0507708,0,0,0,0,0,1.634746,1.6535697,0,0
250,0,0,0,0,0.0901285,0.54353607,0,0,0,0,0.79427874,0,0.3153063,0,0,3.0664396,0.3148087,0,0,0,0,0,1.5240594,0.3221026,0.21756397,0.84525996,0,1.2365596,0,0
251,0,0,0,0,0.71189135,0.008310728,0.48691022,0,0,2.5848527,0.31708,0,0,3.3381448,2.0640352,0,2.4335146,1.307136,0.3712832,0,0,0,0,2.3971655,1.3794249,0,0.9986011,0,0,0
252,0,0.17111999,0,0.5826461,0.303121,0.70190567,0,0,0.05272133,0,0,0,0,0,2.8286388,0.32149804,0,0,3.5267546,0.13730398,0.03331647,0,0,1.9194123,0,0,0.16928448,0,0,0
253,0,1.3551222,0,0.5886617,0,0,0,0,0,1.1225507,0.2942052,0,0.022302344,0,2.1919487,1.0367749,0,0,0,0,0,0,1.2296116,0,0,2.4413917,0,0,0,0
254,0.7197811,0,0,0,1.1463625,0.554225,0,0,1.5899414,1.9690897,0,0,0,0.3954405,4.897424,1.5777013,0.614477,0,0,0.40694478,0,0,0.11529211,1.7464764,0,0,0,0,0,0
255,0,0,0,0,0.066737026,0,0.499337,2.9313617,0,0,0.5349706,0,0,0,0,0,0,0,0.7472094,0,1.1067328,0.89450866,0,1.1011127,0.3056465,0,1.188464,0.9998077,0,0.3297576
256,0.5703129,0,1.3680763,0,0.10107226,0,0,0,0,1.9225161,0,1.3147653,0,0.19741441,1.8554034,0,0,0,0,0,0,0.43595448,0.85962415,0,0,0,0.7190736,0,0,0
257,0,0,3.1180384,2.00071,0.39096436,0,0,1.2293458,0.4769553,0,0,1.8777124,0,0,1.2030456,0,0,0,1.275444,0,0.060221076,0.40125942,0,0,0,0,0,0,0,0
258,0.7436215,0.21088532,0.008252515,0,0.1452008,0.06837056,0,0,0,0.6496368,0,0,0,0.22984222,0,0,1.7544874,1.7997243,0.1796375,1.785617,0,0,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0.19597188,0,0.7496934,0,1.524614,1.4812896,1.7281452,0,0,0,0.13130312,0,2.4267435,0.27382252,0,0,0.5340077,0,0.11771419,2.3972597,0.47505012,1.3461992,1.2806966,0.65497667,0
