x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053,y0054,y0055,y0056,y0057,y0058,y0059,y0060,y0061
21,0,0.20603247,3.1001034,0,0.31484428,0,0,0,0.8720526,0.14373742,0,0.52670187,0.7462596,0,0,0.3900319,0,0,0.86140096,1.9702464,2.7385573,3.0595167,0,0,0,0.14789072,2.5995684,0.28429195,0.6579147,2.8478322,1.8016722,0,0,5.6807446,0,0.34348476,0,0.009449253,0,0,2.1245644,0.3040347,0,0.08152909,3.8392198,1.100092,0,4.8684907,0.75755334,0,0,0.93428797,0.6582211,2.393855,0,0,6.206935,0,0,1.6721696,0.500617,0
22,0,0,0,2.1327972,2.0533988,0,0.29637378,0.37498027,0,2.5344703,0,0,0.92256486,1.4194355,2.7811835,1.6973567,1.51256,0,0.58761847,1.2773168,4.8981194,0,0,0,3.995114,0.12916815,0,0,0,0,0.4589872,4.344294,0.08390786,0,0,0,0,0,0,0,0.25642487,0,1.7216618,0,0,0,0,0,0,6.034282,3.353679,0,0.121254444,0.04919844,0,0,0,0,0,1.0207187,0,3.0475092
23,0,1.4125733,0,0,0,3.4055274,0,1.0292472,0,0,0.05230707,0,0,0,0,1.8343154,2.1591346,0,0,0,0,0.4855211,5.1697526,0,0,0,3.6295128,0,0,0,0.39850363,0.53345376,1.2652277,0,0,0,0.4418966,0.16763982,0,0,1.9309676,0.08617372,0,1.3431,0,0,0,0,0,7.426501,0,0,1.7549059,0,1.8962493,0.77694064,0,0,0,0,0,0.620207
24,0.36331668,0,0,0,2.257345,3.6607573,8.322104,0,2.647255,0,1.719981,0,0,0,0,0,0,1.6725152,0,3.6401603,0,0,0,0,0.75371605,0,4.583814,0,0,3.7738416,0,0.60775775,0,0,0,1.2614098,1.0863256,0.420714,4.622322,0,0,1.1066791,1.5268266,0.64359564,0,0,0,0,6.5307913,0,0.75094944,0.79408604,0,0,3.7943757,0,1.2822239,0,0.27508882,0,0,0
25,0,0,0.3689387,0,0,0,0,0.098407805,1.3377858,1.03738,0,0,0,0.56980664,0,0,1.748318,0,0.39372626,0,0,0,0,0,0,3.0926735,2.4641721,0,0,0,0,0,0,2.9203966,0,0,0,0,1.9324813,0.95984524,0,0.04428589,3.7041984,5.373643,0,5.6732183,0,0,0,8.417236,0,0,0,0,0,0,0,2.5965807,0.046843022,0,1.6237856,0
26,0,0.10854155,0,0,0,3.357962,6.869688,1.4998286,0,0,0,0,0,0,0.51240706,0,2.406358,0,0.19866495,0,0,1.3647048,0.25507414,2.6220636,0.25463685,0,0,0.05004202,0,0,0,0,0,1.3718286,1.1633677,0,0,0.7535013,1.4574498,0.9679093,4.5413866,0,0,0,0.5971488,0,0,0,0,0.69868857,0,0,0,0.7212748,0,3.3598285,0,0,0.5869022,3.9549532,1.3513098,0
27,0.65335774,3.1759446,0,16.833334,0.5724653,16.329144,0,0,0,0,0.18179992,0,0.36568618,1.4810469,0,0,0.8429754,0,0,0,0,0,0,3.6493533,1.8095038,0,1.1455948,0,0,0,0,0,3.7130992,4.0044174,4.69258,3.2141676,0,4.7153893,0,2.035267,0,0,0,0,0.9126926,0,2.4293988,5.2870593,0,6.8882275,0,0.9346273,0,0,0,0.3717289,0,4.439877,0.08077229,0.03673181,0,0
28,0,0,0,0,0,0,0,0.4372691,0,0.46162117,1.0239844,0.37419492,0,0,0.12756546,1.0282917,0,0,0,0,0,0,6.080384,0,0,0,1.9798084,1.487711,1.3973967,0,0,1.468855,0,0,0,0,1.028275,1.4405671,1.7771182,0,0.67799836,1.7704715,1.8567746,0,0,0,6.6437697,0.009301982,0,0,0,1.7477267,0.24440742,0,0,0.8296127,6.645379,0.9239732,0,0,0,1.3526071
29,0,0,0,0,0,0,0,0,0,0,0,1.0414271,0,0,4.2864137,0,0,0,0.9693887,3.8894944,2.2331986,0,0,0,0.45205757,0.30973044,0,0,0.50373894,0,0,0,0,0,2.528456,0,0.5084343,0.2511783,0,0,0,0.6490574,0,0,0,0,0,0,0,0,4.9051595,0,0.19265157,0,0,0,0,0,1.1041913,0,0,0
30,0,0,0,0.8989991,0,0.053841308,0,0,2.6564429,0,0,0,0,1.8006736,0,4.7797384,0,0,0,0.08344643,0,0,0,0,0,3.643857,0,0,2.9864745,0,0,4.129211,0,5.876498,0.8767388,0,0,0,0,0,0,0.13662957,0,0,0,0,0,0,0,0,0,0,0,0,10.86486,0,0,0,0.0480725,0,0,0
