x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024
74,0,0,6.741507,6.5914545,18.578623,0,4.8145084,0,0,0,0,5.844052,0,0,0,0,9.675486,2.4747546,0,0,5.3561006,0,0.66068894,2.5695043,3.9515355
75,6.6461515,0,5.3016877,6.0389633,2.2478592,13.707237,0,1.1852202,7.377958,0,0,15.129817,3.9993062,0,0,13.177634,4.6625814,4.52199,0,0,15.808967,0,0,0,0
76,0,0,0,0,13.470471,15.93666,5.077361,0,9.015214,25.100746,0,0,0.30828074,0,0,2.9305117,11.846883,0,0,0,0,0,1.8064717,0,0
77,0,11.910826,2.8632753,6.46596,2.8541398,21.524061,4.281486,1.7594117,1.2041482,0.5698691,0,10.076062,8.00651,0,0,0,2.3196542,3.3497725,0,0,0,0,0,0,6.726972
78,2.253522,0,4.842234,0.8248856,8.484821,10.317157,0.64316714,3.3269854,12.573781,4.1975365,0,0,3.9834266,0,0,17.515366,3.3672059,2.3298411,0,0,21.47078,0,0.44108152,0.06041748,8.301511
79,0,19.960821,3.7067575,0,0.59119827,5.6204,3.0026941,0,10.945783,7.2085123,0,3.160743,0,0,0,0,0,0.6331812,0,3.982123,12.189619,0,2.2178051,0,0
80,0,0,5.850946,4.9819646,5.2899876,0,2.8407412,3.5711713,16.590918,2.8785105,0,11.683163,0,0,0,2.1328235,5.9750805,0.73567474,0,0,0,0,0,0.49155146,0
81,2.0142274,0,0,0,0.78523344,0.057991233,0,4.3226576,0.16544425,12.0526085,0,0.35071054,0,0.41520274,0,0.3055795,10.969311,2.3995106,0.19876526,0,0,0.26170364,0,2.267674,0
82,2.0700405,0,0,0,4.365049,7.074943,4.3847666,0,0,0,0,0,0,3.4389892,2.1277804,0,0,0,0,0,0,0.39582303,0,0,0
83,0,3.075312,0,0,0,0,0,0,0,0,5.281864,0,0,4.1066275,24.412663,0,0,0,2.9554222,0,0,5.5293283,0,0,0
84,0,0,0,0,0,0,0,0,0,0,5.557484,0,0,2.411125,7.494917,0,0,0,0,6.573302,0,3.774189,0,0,0
85,0,5.1984515,0,0,0,0,0,0,0,0,2.848432,0,0,1.2982802,24.751038,0,0,0,0,10.719996,0,0,0,0,0
86,0.46578622,0,0,3.8027406,0,0,0,0,0,0,5.322675,0,0,3.8354876,21.603117,0,0,0,1.5617845,1.5564859,0,0,0,0,1.2725767
87,0,0,0,1.054763,0,0,0,0,0,3.165003,2.046313,0,0,0,0,18.78502,0,0,0,2.980958,20.173145,0,1.0258263,1.9825073,5.978431
88,0.5910179,0.054648522,0,1.1156298,20.501553,0,0.5872946,3.9203904,7.1232567,8.214035,0,0,3.958467,0,0,0,0,5.669472,2.86913,5.354387,4.662368,3.7995334,1.1323438,1.3570325,0
89,0,1.8770796,4.5193176,0,3.537712,16.702951,0,0,6.716343,0,0.7897886,1.921199,5.4242225,0,0,1.1052762,0,0,2.134579,0,12.254471,0,1.9114457,0,2.2928908
90,0,0,2.0497463,0,5.9237156,4.0428953,2.563114,5.8179708,5.2338696,0,0,0.49081174,0,0,0,0,0,4.3702483,6.775953,0.16981807,10.734079,0,0,0,0
91,4.665221,0,0,0.3935153,0,10.146209,0.44381928,2.003201,0,18.641054,0,8.771819,0.35985667,0,0,0,6.467129,1.1837869,6.617613,3.4840577,1.7086135,0,0,0.9192065,4.676322
92,0,10.5531435,6.886776,5.20599,5.4103117,6.1534395,3.0389664,0.37635267,0,0,0.2577823,0.36682257,7.5001426,0.75789267,0,0,0,1.1821327,6.5986414,0.23021922,3.3303406,0,7.455737,0,0.33017272
93,6.4227605,0,0,0,0,1.4927187,2.4976604,0,0,2.8282483,0,0,1.943711,1.0775392,0,3.0199077,3.8773766,1.9999708,3.232219,1.1949226,0,0,0,2.6356034,2.0530047
94,0,0,6.3645544,3.8387728,12.860606,2.6211877,0,0.74719834,1.085466,17.523167,0,0,0,1.6825479,4.0621247,0,5.548461,0,0,0,9.904793,0,1.4455955,0.4879378,5.241906
95,2.8569632,0,3.716718,0,4.690199,2.881358,0,1.3571926,0,15.639725,0,8.357667,0,0,0,23.203257,4.9279985,1.0204349,0,0,0,0,3.6775637,1.8989084,0
96,1.953133,1.5417628,0,0,6.362645,0.4371053,6.3514075,1.6815846,0,0,1.3137144,5.79732,0,0,0,0,0,0,0,0,4.891561,0,0,2.2046072,1.3713943
97,0,0,0,0,6.697629,9.777879,2.7678432,0.653689,23.935875,1.4401819,0,5.2836823,0,0,0,4.607875,0,1.1633872,4.148381,0,10.804103,0,0,0,1.7938324
98,0,0,0,0,4.5882716,2.746332,3.8247087,0.37788287,0,0,0,0.78682935,0,0,0,2.7964876,0,0,2.1433284,1.6610981,0,0,0,0,0
99,0.002776803,3.7491698,0.720326,0,0,7.2186246,2.1792445,0,0,0,0,9.59429,0,0,0,0,0,0,0,8.001076,0,5.4453993,0,0,0
100,0,0,0,0,0,0,0,0,0,0,9.869835,0,0,7.1425104,7.766081,0,0,0,0,0,0,3.5118728,0,0,0
101,0,1.3223373,0,0,0,0,0,0,0,0,0.3890007,0,0,0,12.929902,0,0,0,0,0,0,0,0,0,0
102,2.229884,0,0,0,0,0,0,0,0,0,7.144817,0,0,0,6.0171695,0,0,0,0,14.369756,0,0,0,0,0.5574064
103,0,0,0,1.4420842,0,0,0,0,0,0,2.5237017,0,23.964375,0,2.9598172,0,0,0,1.1590346,6.627168,0,0,2.3501341,0,1.5592539
104,0,0,0,3.30469,12.714681,0,0,2.583299,0,0,0.18402463,0,0,1.0086029,2.7852285,2.908732,0.32987577,5.167194,0,0,6.805691,0,0,0.57847977,1.7311909
105,0,0,0,0,1.1915481,0,0.2602221,2.051493,16.70372,12.696635,0,1.4757107,7.2584467,2.9133804,0,5.714484,0,0.454341,2.9368327,0,3.3493962,0,0,3.3948483,0
106,0,0,3.0356128,0,5.161662,3.7846658,1.3663795,1.349502,12.494637,0,0,3.7491586,4.6811237,0,0,11.674941,11.418461,3.2434807,1.7662076,1.7402134,11.759068,0,2.6078107,2.4311848,0
107,0,0.3051872,1.2307825,1.0637287,13.069186,4.0617523,3.0768986,0.12967026,0,0,0,0,0.09531516,0,7.4321976,5.168096,2.7107904,0,11.308075,0,0,0.07342572,2.3248322,0,1.924248
108,0,0,5.8036118,5.6297007,0,2.7852316,3.1318169,0.022176798,11.751634,3.4012954,0,3.7702239,0,0,0,0,0,0,3.089411,2.4888787,0,0,0,0,0
109,0.885657,2.7218466,4.6022954,0.6936287,0,0,1.3654443,2.1643493,0,9.54776,0,0,0,0,0,0,1.1820912,0,6.200452,4.173676,0,2.2284203,1.4824955,2.6438332,5.1833224
110,0,0,0,0.7611148,0,15.511215,0.16913229,3.1774147,0,2.0478635,2.4509916,0,0,0,5.8152494,0,3.15204,3.0306742,0,0.20358796,6.7466693,0.6781179,0,1.2189232,2.1710458
111,0.5091356,0,0,3.8794363,0,0,0,0,0,8.750873,0,0,9.030837,0.3922568,0,0,0,3.9758892,1.222416,0,11.12789,0,0,0.29666808,0.74101657
112,2.6488235,10.936774,5.3217874,0.08014075,15.248569,7.8950315,0,2.1634135,7.2449255,6.005253,0,8.523605,4.7869205,2.4812694,0,0,2.2074075,0.6692684,0.007203132,0,0,0,0,1.2036852,4.1499543
113,0,8.919108,2.5533504,4.181334,8.749929,0.5606074,0,2.987172,4.982733,5.033631,0,1.3962324,10.924911,1.0884621,0,0,9.561037,0.95366126,0,2.7402024,9.139547,2.352568,0,0,0
114,4.0299907,0,0.74831307,0,0,1.2095627,0,0,4.4854584,0,1.1329424,0,0,1.4115901,1.8876083,3.0598788,8.009645,0.28315505,1.1118094,4.1289377,1.3870269,0,4.493799,0,0
115,3.9373205,7.332835,0,0,0,5.7661195,0,0,0,9.513008,0,0,6.968523,0,0,0,0,0,0,2.488619,0,0,0,0,0
116,0,0,0,0,3.8678217,5.817213,1.9879636,0,3.9841645,0,0,5.8125906,0,0,0,4.500373,0,0,0,0,0,4.3124723,0,0,0
117,0,0,0,0,0,0,0,0,0,0,3.433812,0,1.1021206,4.460388,28.970491,0,0,0,0,0,0,3.1843226,0,0.5058497,0
118,0,0,0,0,0,0,0,0,0,0,3.2016406,0,0,0,13.836326,0,0,0,0,0,0,6.2081375,0,0,0
119,1.0259584,3.2862465,0,0,0,0,0,0,0,0,4.02393,0,2.0090253,0,0,0,0,0,0,0,0,0,0,0,0
120,2.5774407,0,6.6726093,7.0881405,0,6.021465,1.2561777,0,6.337842,0,0,0,0,0,0,0,2.6723075,1.8961967,2.0116775,0.8227989,0,0,0,1.0595795,1.0353025
121,0,0,2.240927,1.0014771,5.9482193,10.268715,1.7807314,0,12.043449,2.0494566,0,0,6.28068,0,0,0,6.098043,22.797775,12.4260235,0,0,0,0,0,1.177598
122,1.1427977,14.459774,3.610926,2.53592,15.122761,1.9639682,2.2869043,3.4403825,8.436013,11.171924,0,1.0297415,0,0,0,1.4486381,0,4.3034225,0,0,11.313541,0,3.5889003,0,4.2048335
123,0,0,7.0249467,0,8.840631,14.577392,2.4906664,2.9720385,7.8451743,14.130145,0,6.597529,6.4641585,0,0,1.3709307,0,9.898818,0,0,8.799085,0,6.8666897,1.3226143,0
124,0,0,0,0,0,0,0,0.21584444,0,12.656809,0,4.9042544,6.6637,0,0,4.8620415,5.2955904,4.758587,0,0,3.5302038,0,0,0,3.70558
125,0,0,0,6.7764378,16.13154,19.876394,5.164821,2.762155,14.216744,5.516995,0.40224135,1.9433655,0,0.19389254,1.2132015,2.508719,0,0,0,0,5.088604,3.7757895,0,2.5298438,1.9830246
126,6.8993273,0,4.9900017,0,6.097683,0,1.4845753,3.3595996,0,0,0,0.9106555,2.1859376,3.9390059,0,1.1872278,0,1.4444519,0,0,5.943069,0,2.510709,0,5.645588
127,0,0,5.1724415,7.152138,19.08565,4.5088058,1.669211,1.3235649,7.2932897,11.101376,0,4.8202534,6.6214285,0,0,3.502497,0.42155802,7.1783767,11.857438,3.0098774,21.048822,0.38809115,0,0,0
128,0,10.191376,0.124281734,5.8694997,5.4608717,4.2965913,0,0.6890394,10.896225,4.084535,0,0,0,0,0,8.382255,0.66974497,0,4.858717,3.4379647,0,0,0.0823498,1.9529645,0
129,0,0,0.25819287,2.7329633,23.69854,0,3.0686343,4.5535192,3.6992838,0,0,8.2766285,0,0.6018964,18.893288,0,0,0,0,3.536207,4.3796782,0,1.7184995,0,3.961153
