x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0029,y0030,y0032,y0035,y0036,y0039
40,8.025258,9.815643,5.5194206,0,3.5575666,1.2771561,6.502141,14.219274,22.143957,6.616248,5.213363,10.813358,0,4.0039043,0.5425575,0,0,23.923582,19.753172,19.363676,8.811625,9.080233,4.5281963,0,8.767554,13.429021,12.71286,11.586672,9.349288,10.196873,8.766423,4.035556,3.258367
41,6.857021,15.733726,8.707576,1.9170196,2.5688412,3.8885477,4.0968227,7.414509,31.043919,0,5.6096563,7.9112306,8.183392,4.083546,5.8714724,4.3844585,1.1494861,8.28108,14.933605,0,1.9490228,6.736022,7.0510426,0.3166026,6.2818537,3.2549303,6.879178,8.810939,5.361766,0,11.938254,2.7768688,4.034593
42,5.1618924,3.588159,7.463694,10.651856,0,0,0,1.5030125,22.451208,6.573236,9.363834,3.6926563,7.4198728,2.4323964,5.6845016,6.275255,7.7198915,18.974262,17.190838,2.317647,6.4660993,9.252569,3.513646,4.210547,4.4844484,11.395022,4.15489,12.173389,12.052032,9.669026,16.568972,5.6323843,7.0056
43,7.102049,3.03121,9.461329,2.7260978,0.45178124,3.0428874,5.1848087,6.773493,31.196228,6.453832,0,1.0841094,7.6295886,0,14.622904,2.1320164,4.834173,9.279744,9.71401,0,0,3.590719,3.1906705,0,3.5420995,1.1560388,5.3676605,10.001796,9.393614,4.848249,10.240234,1.3454489,6.810063
44,10.803416,11.59483,11.36743,0,0,5.632318,0.44374847,5.3411283,18.63079,0,3.4406848,15.29784,9.821624,12.062347,0.79873323,1.3411807,6.621951,18.552803,21.001764,10.32011,5.3721128,10.136596,10.664856,6.597617,12.573614,12.90449,9.260468,8.016708,8.846652,9.147187,7.223752,6.494615,3.7037842
45,3.699805,0,3.1712077,12.893076,0,4.267946,14.329832,7.1064105,22.6096,14.351311,8.710498,12.550253,1.1371399,0.94895244,11.712578,7.122482,5.4531693,6.293067,10.038336,0,0,0,1.3611158,0.47994068,1.0933152,11.354712,11.626832,12.40229,11.411451,11.003485,10.740389,0.9054721,6.824025
46,4.8210793,4.6052046,6.6538258,9.496762,0.31254706,0,3.9230556,3.315842,9.151686,2.2321835,3.2827642,0,3.7471454,0,11.315987,0.29073346,5.5799108,19.990421,17.066547,6.6179347,0,5.573265,3.5898325,1.697388,3.2746358,1.9475331,2.3945637,2.8751996,9.494597,4.4179864,10.976149,4.420634,5.112097
47,6.0938535,29.435564,3.6369064,20.690342,4.2393613,2.9978697,11.921199,7.4109883,6.0857167,13.887139,9.550578,16.869888,0.14081146,16.48833,1.3208772,5.9999285,7.396512,30.03645,17.845884,18.6627,11.781381,13.860612,6.258329,18.60636,12.440047,8.279618,13.305118,16.767632,9.295444,9.3106785,8.822582,5.3417735,8.377945
48,2.0149596,8.175305,0.29246345,17.72138,4.7406178,2.4454694,8.978857,1.7490469,20.673338,2.028722,14.550669,10.255812,0,1.5628542,7.1825747,4.9942217,4.640912,32.526196,20.251944,11.916649,2.8400867,8.866081,7.664416,5.3887305,9.508999,16.840662,9.29545,7.972677,10.377123,12.408796,12.662355,1.2687196,5.4596887
49,5.828439,8.093378,5.338674,0,6.519091,4.609202,8.445655,0,6.731185,7.982687,6.5372515,3.7038734,0.11239054,6.888768,2.444156,2.7619936,7.84563,20.439543,29.236631,9.853494,4.548176,9.352631,3.1858675,2.322054,2.2602293,5.8276153,10.133697,8.931748,7.4610815,9.083365,10.856675,2.8981023,4.447955
50,3.8846316,0,1.1872447,15.012198,4.3094997,0.9789722,4.7580605,4.1345797,12.139759,4.864287,3.0280297,8.451885,0.2165103,5.773208,4.1216884,1.7459437,0.4815191,28.610905,16.98413,0.8561456,0.8540295,5.1590843,3.2700598,0,9.089232,7.834658,7.28839,8.845003,7.1369405,10.872589,6.374346,0.48787212,5.2999005
51,0.7879323,0,5.231833,2.8687215,3.1672266,0,2.1518826,0,0,0,10.524981,7.332911,0,3.6300554,3.684881,3.242145,6.943321,19.749567,13.53625,6.7250714,4.0885506,4.1484747,0,1.7452407,8.126849,3.2324188,4.1677675,4.897464,7.2960567,7.1944356,1.0077744,2.4372566,0.03415946
52,0.78290546,0,1.2247872,1.6921673,1.6110972,1.3933957,4.985452,0,13.853663,0,3.7993574,5.61774,0.037377257,7.700902,0,0.33957127,4.0626817,19.564014,18.34104,0,0,4.859228,1.227972,0.19044548,5.188383,10.043942,6.3364706,8.313905,0,4.445819,0.25654894,0,0
53,0.22862175,0,0.8521398,2.0310216,3.8277388,1.2293615,0,0,1.7030787,1.488671,5.433744,7.4334817,0,3.937984,5.6553087,0,2.235425,15.256495,6.194528,2.8250322,1.6427492,5.646025,0.8477274,0,7.56326,7.2162747,8.547693,0,0.95965755,0,0,0.36158082,2.883936
54,0,0,1.0683427,10.34611,0.4311599,0,2.4904346,0,0,0,5.676814,0,3.4240012,0,1.4956113,1.729804,2.0026276,18.097233,10.636653,1.2781031,0.4835049,4.003738,0,0,3.6111703,6.9451604,9.974258,0,0,2.778206,0,0,0
55,0,0,0.14699864,1.039885,0.82693934,0,3.3072298,0.4571703,0,0,4.9992385,0,0,0,1.904929,0,0,19.01464,10.221891,0,0.8700531,8.558923,0,0,1.7174987,3.724025,5.25132,0,0,2.8975666,0.5033222,0,0
56,0,0,3.2272456,3.09613,2.3604069,0.10021715,0.8369367,1.383194,0,0,0.12738727,0,0,0,2.9138417,0,0,7.4080634,17.079517,0,0,0,0,0,0,4.3305025,3.4647858,0,0,0,2.0999758,0,0
57,0,0,3.4740376,1.5795988,1.1051506,0.663408,0,0,1.0093507,0,0,0,1.0929546,0,9.412163,2.6440132,0.93367356,0,0,0,0,0,0,0,0,1.7931005,1.8779585,0,0,1.3553655,1.23321,0.21229735,0
58,0,0,0,11.4371395,2.2283726,0.3843778,0,0,0,0,0,0.17150934,0,4.5316567,0,2.1974285,0.78080493,4.9982414,0,0,0,0.16267613,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,21.21146,1.0574458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5225134,0,0,3.3910306,0,0,0,0,0,0,0,0
60,0,0,0,8.703422,0.8334599,0,0,0,0,0,1.6278533,4.4342604,0,8.881602,1.3247212,0.47157857,0,12.975283,0,2.1672602,0,0.37569958,0,0,0.7111801,1.3651485,4.1396923,0,0,0.8407503,2.9087021,0.5887104,0
61,0,0,0,12.627457,3.3889549,0.86707735,0.34060422,0,0,0,1.9920074,1.4201195,0,2.3348622,0.103963315,2.3064668,4.0784364,9.5360565,0,5.822814,0,1.9973618,0,0,8.360473,0,5.501912,0,3.6934624,0,5.167441,0.2215611,0.007971033
62,0,0,0,3.8645725,0,2.088266,0,0,3.4035041,0,0,10.524065,0.9656575,8.118545,0,0,7.6315327,14.898225,0,0.5295338,0,2.6475713,0,0,7.712027,0,8.345776,0,0,0,5.9768496,0,0
63,0,1.5787255,0,10.802032,0,0.85456765,0,0,3.2611845,0,0,2.2892296,0,5.9487667,1.753147,0,6.092016,7.084298,0,0,1.5245371,6.097494,0.1479671,0,0.93160206,2.5331888,6.754372,0,0,0,10.004354,1.5785494,0
64,1.1339273,3.0914886,1.7802362,0.56965387,1.993322,5.8632627,0,3.0866823,0,0.40930673,0,6.7585793,2.502171,4.278509,3.7035398,0,1.1831232,9.036849,0,0,0.04009687,5.247342,0,0,4.932294,10.797753,0,0,0,0,9.059524,0,0
65,2.8295252,0,3.0839057,6.571742,0,1.6125525,0,0,10.631179,0,0.6108904,0.9581968,7.1650586,0.67729855,8.033652,0,0.48310018,0,0.9350673,0,0,3.082035,0.98611146,0,3.625005,7.851715,7.5297837,0,0,0,5.5581694,0,0
66,0,0,0,0,0,0,0,12.006297,0.84812033,0.32072017,2.174408,0,0,0,15.401896,0,6.628767,0,0,0,0,1.4327856,3.510013,0,6.2663107,5.310958,2.5209494,0,2.3870938,0,10.68433,6.5966487,4.283604
67,1.2048825,10.141713,3.4422596,0.6021116,0,0,0,6.473634,0,0.754582,0,8.336834,1.2570654,0.19159923,7.2267447,0,2.7886717,0,0,0,0,0.7450766,2.5286622,0,2.558958,3.9964752,3.987963,0,0.6467198,13.983739,18.303856,2.385026,2.1537318
68,0,9.820254,0.29784638,10.414068,0.87712234,2.7105372,0,0.65823245,0,6.3529525,0,6.928334,0,1.986327,6.4595037,1.3459126,0,2.6693585,0,0,0,5.4516354,10.381858,0,5.599761,13.001596,10.510139,0,0,4.7835264,0,0,5.449385
69,0.47296295,20.739454,4.345413,6.397725,8.28072,2.1860514,0,17.168085,7.966009,0,1.3438202,0,2.5116417,12.667793,0,1.2063001,0.8932527,0,0,0,0,0,5.8345814,8.188461,6.324102,5.490027,6.262586,0,6.3959293,0,9.545947,5.6230936,0
70,2.1039295,2.1552145,5.035661,0.971937,0,2.8040326,0,1.7984211,0,2.4063482,2.9440618,11.073084,1.3553396,0.78142697,8.223886,0.37529603,10.753144,7.7205877,10.294281,0,0,6.8601437,8.652338,5.18195,3.1453192,1.3707225,7.148638,7.8465805,13.100401,6.081915,18.627401,2.071076,8.303393
71,0.52772593,15.030756,2.0720952,13.046244,5.284345,1.3820565,2.4118352,5.940619,0.62645936,5.0288196,10.654599,9.971716,0,7.8085403,0,0,7.8742056,15.044365,13.629118,0.024962677,1.5171001,11.815618,8.127134,13.8154545,7.237621,7.012822,15.806485,8.74718,6.806893,6.312798,9.847439,1.1462387,0.6204145
