x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0023,y0024,y0025,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0038,y0040,y0042,y0043,y0045,y0046,y0047,y0048,y0050
313,0,0,8.118385,0,0,0,0.3325502,0,0,0,0,0,0,0.09370065,0,3.2640173,0,4.0664015,0,2.3532374,11.050402,0.22767706,0,0.25406662,0,0,0,0,0,0.5223666,0,0,3.7630444,0.04723967,0,0,4.809943,0,1.040512,0,0,0
314,2.0177736,0.27484003,0,0.4887186,0,1.7027398,0.82731986,3.0923338,4.713267,0,3.824019,0,0,0,0.93327767,0,9.0306425,0,0,0,0,0,0,0,0,0.36499083,0,0,0,0.5781322,0,0,0,0,0,0,0.53741163,2.1939294,0,0,1.9388224,0
315,0,0,4.667313,0,0,0,1.2849543,0,0,0,0.14379604,0,17.90694,0,1.2829794,4.2652636,4.3261995,0,0,0,0,2.4991536,1.4083263,2.12122,2.1392179,1.1413491,3.6723428,0.39888176,0,0.84044063,1.6035213,1.8401439,4.7246494,1.4441116,1.5828108,0,0,0,0,0,0,0.29620436
316,0,1.9121743,7.2503133,0,4.1465054,0,0.27239302,0,4.4076166,0,0,2.6942363,0,0.18514845,0.5951105,1.2304333,0.50211793,0,2.551387,0,0,1.4887917,0.99484605,0,1.8125124,0,0,4.4579864,2.9831653,0,1.3757461,0,0,0,0,0,8.209225,4.480484,0.49150783,2.7758017,1.8077775,0
317,0,0,0,0,2.9778836,0.6836082,0,4.1632705,0,0,1.6379458,5.451355,0,1.020194,0,0,3.5669136,1.4096582,1.5492306,0,0,0,0,0,0,1.5993651,0,0.5570017,0,0,0,0,0,0,0.21615276,3.291853,0,0.7921869,0,2.2822893,0,4.0825977
318,0,0,0,0.003544031,0.44425485,0.023418665,0.09152169,0.548832,0,0.8651229,0,1.1398464,0,0,1.671197,3.2551615,0,0,0,0,10.163952,0,0.5968512,3.128043,2.2657063,0.8685581,0,0,0.39459673,0,0,3.556435,0,0,0,0,1.3701063,0,0.68783075,0,0,0
319,0,13.172466,0,0.015302589,0,0,0,2.516873,0.5271352,0,0,0,0.4587822,0.35509604,0,0,0,0,0,2.0671887,0,0,0,0,1.2522353,2.958712,0,0.9729997,0,0.49102,0.8087028,0,0,1.4097382,0,0,0,0,0.9382759,0,0,3.4367888
320,0.5638648,3.9628704,5.3565865,0,2.6288857,2.1145363,0,0,0,1.6497823,0,0,3.1728613,0,0,0,9.03556,0,0.36734498,0.5527132,0,3.6032312,0,0.3585362,0.25293127,0,0,0,4.6961665,0,3.1240206,12.597419,0,0,3.085272,1.1340085,17.093718,2.50677,0,1.2185756,0,0
321,0,2.859714,0,0,0,0,0,0,1.1989957,5.144038,0,1.711599,0,0,0,2.057132,3.8310375,0,0,0,0,0,0.3619986,2.0178058,0,0,0,0,0,5.1436534,1.2467866,0,0,0.7413382,0,0,0,0,0,1.4496164,0,0
322,0,0.04287875,0,1.6911422,0,2.0809624,0.3959042,0.29046497,0.5913603,0,0,3.0852864,7.288384,0,0,0,0,0,4.264277,0,7.486975,0,0,0,3.1743531,0,0,0,0,0,0.23218803,0,4.178403,0,0,0,0,0.4549458,0,1.9179002,0.44012368,0
323,0,0,0,0,0.1785549,0,1.2973067,1.1036335,0,1.2214044,0.086296305,0,0,0.62894446,0,0.8485763,0,2.8126876,0,0.06132853,0,0,0,2.0523355,0,0,0,0,0,1.9672785,0,0.5701761,0.038391307,0,3.8046978,0,0.8355355,1.6680092,0,0,0,0
